trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,29,20260624134028346645,success,,,,3.796015,66,261,197,125,1091,542,33,240,168,35,282,308
2,14229,20260624134028346645,success,,,,3.950959,85,257,216,130,1096,286,31,259,319,55,491,316
3,28429,20260624134028346645,success,,,,3.408456,86,251,201,131,450,626,30,286,382,31,139,354
4,42629,20260624134028346645,success,,,,3.593628,29,287,220,130,651,589,28,157,192,45,481,342
5,56829,20260624134028346645,success,,,,3.419242,62,267,207,128,688,214,37,568,188,38,271,331
6,71029,20260624134028346645,success,,,,3.094550,34,288,224,127,1039,189,36,137,121,33,273,167
7,85229,20260624134028346645,success,,,,3.497961,103,258,203,133,468,201,59,597,356,33,473,198
8,99429,20260624134028346645,success,,,,4.089860,57,281,213,242,1145,541,26,269,175,34,492,186
9,113629,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,3.019729,63,273,209,127,974,454,34,153,321,55,,
10,127829,20260624134028346645,success,,,,3.552583,43,276,216,222,581,593,41,136,360,50,506,103
11,142029,20260624134028346645,success,,,,3.532101,29,298,215,127,960,462,37,491,94,32,163,198
12,156229,20260624134028346645,success,,,,3.903002,84,257,215,128,1085,484,25,143,180,33,502,336
13,170429,20260624134028346645,success,,,,3.856942,62,259,326,126,1299,427,25,254,170,34,266,170
14,184629,20260624134028346645,success,,,,3.691366,51,264,627,92,656,502,32,547,108,35,145,186
15,198829,20260624134028346645,success,,,,3.763731,39,280,207,135,1091,477,28,492,91,37,266,168
16,213029,20260624134028346645,success,,,,3.775294,69,263,196,141,1087,292,26,277,93,54,494,336
17,227229,20260624134028346645,success,,,,4.246943,54,275,545,97,1120,535,20,490,324,33,161,162
18,241429,20260624134028346645,success,,,,3.139714,45,289,211,126,631,597,39,274,118,39,148,175
19,255629,20260624134028346645,success,,,,3.385000,67,270,198,131,635,599,35,280,109,35,257,327
20,269829,20260624134028346645,success,,,,3.497411,89,270,207,135,1072,550,37,128,176,33,269,102
21,284029,20260624134028346645,success,,,,3.368583,63,271,204,124,920,218,30,526,105,34,264,166
22,298229,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,2.939380,55,269,209,128,686,503,32,569,93,42,,
23,312429,20260624134028346645,success,,,,3.515380,53,297,211,132,1053,296,29,166,177,35,511,100
24,326629,20260624134028346645,success,,,,3.652598,104,239,205,245,1135,516,28,130,164,32,273,166
25,340829,20260624134028346645,success,,,,4.189459,84,252,207,131,964,542,30,494,313,72,489,172
26,355029,20260624134028346645,success,,,,3.261628,56,273,207,132,676,588,30,155,169,57,140,343
27,369229,20260624134028346645,success,,,,3.147403,96,248,215,127,658,296,39,158,113,40,542,183
28,383429,20260624134028346645,success,,,,4.408215,54,289,445,92,1196,438,30,485,100,41,465,362
29,397629,20260624134028346645,success,,,,3.544495,44,279,211,226,1043,439,39,136,182,36,151,339
30,411829,20260624134028346645,success,,,,3.257755,64,267,191,127,658,304,42,270,375,41,163,328
31,426029,20260624134028346645,success,,,,3.774413,76,267,324,130,1071,286,40,537,95,33,162,353
32,440229,20260624134028346645,java_exception,failure,B1,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,1.070320,98,254,217,135,,,,,,,,
33,454429,20260624134028346645,success,,,,3.364284,37,288,214,129,966,562,28,153,89,50,233,196
34,468629,20260624134028346645,success,,,,4.033409,38,283,221,124,1080,554,23,466,115,35,479,189
35,482829,20260624134028346645,success,,,,3.234308,28,289,221,124,978,220,33,153,102,36,276,324
36,497029,20260624134028346645,success,,,,3.788211,74,272,204,122,1107,557,29,490,89,33,267,101
37,511229,20260624134028346645,success,,,,3.681135,72,271,207,126,974,566,30,255,86,31,504,130
38,525429,20260624134028346645,success,,,,3.738673,93,256,206,230,1137,469,29,262,89,34,162,333
39,539629,20260624134028346645,success,,,,3.932494,83,248,332,130,1156,531,25,140,154,35,511,169
40,553829,20260624134028346645,success,,,,3.731879,37,278,354,117,1005,471,27,495,96,58,246,128
41,568029,20260624134028346645,success,,,,3.070955,45,282,202,125,454,544,32,151,385,40,267,115
42,582229,20260624134028346645,success,,,,3.270460,99,246,203,134,934,281,29,162,325,30,263,125
43,596429,20260624134028346645,success,,,,2.864518,54,265,220,132,636,306,32,169,187,48,174,188
44,610629,20260624134028346645,java_exception,failure,B1,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,1.026175,50,276,210,134,,,,,,,,
45,624829,20260624134028346645,success,,,,3.874860,98,245,340,128,416,629,37,554,108,34,499,331
46,639029,20260624134028346645,success,,,,3.897641,75,256,221,137,640,311,55,553,330,49,487,329
47,653229,20260624134028346645,success,,,,3.534989,54,275,316,133,1057,529,38,139,190,31,139,189
48,667429,20260624134028346645,success,,,,3.665406,65,268,304,140,1163,286,47,153,96,42,522,128
49,681629,20260624134028346645,success,,,,3.006589,40,287,231,126,656,215,42,278,94,67,183,357
