trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,79,20260624134028346645,success,,,,19.607698,170,6083,529,854,3856,824,78,1889,1138,169,1944,1242
2,14279,20260624134028346645,success,,,,16.366670,43,6039,508,458,2003,1877,114,1012,2046,110,554,784
3,28479,20260624134028346645,success,,,,16.331998,133,6074,510,479,1859,1248,86,1257,632,122,2028,786
4,42679,20260624134028346645,success,,,,20.419574,139,6270,822,476,5575,1106,72,1061,1136,224,2376,329
5,56879,20260624134028346645,success,,,,16.831431,114,6085,547,480,2020,1691,81,1098,805,153,1476,1409
6,71079,20260624134028346645,success,,,,17.461859,65,6010,511,460,2989,1746,73,1209,709,124,2096,649
7,85279,20260624134028346645,success,,,,21.828946,132,6038,549,510,3799,2428,101,2880,1556,117,2052,818
8,99479,20260624134028346645,success,,,,20.142250,65,6052,506,481,5610,1700,89,2369,1110,116,492,742
9,113679,20260624134028346645,success,,,,18.781776,92,6033,889,476,3966,2618,98,1022,618,124,511,1545
10,127879,20260624134028346645,success,,,,18.223046,114,6088,561,467,3918,1089,100,1921,714,117,1950,339
11,142079,20260624134028346645,success,,,,19.584436,86,6012,498,503,4072,1140,71,1988,575,133,2386,1305
12,156279,20260624134028346645,success,,,,20.027097,101,6086,519,467,5559,1186,109,1026,1853,126,1924,322
13,170479,20260624134028346645,success,,,,21.172438,68,6319,930,505,5430,2455,73,1840,357,110,1133,716
14,184679,20260624134028346645,success,,,,20.441203,34,6245,520,486,5589,2394,74,1087,700,108,1115,1287
15,198879,20260624134028346645,success,,,,23.634059,60,6157,504,1349,3970,1614,102,2937,873,119,2963,1392
16,213079,20260624134028346645,success,,,,21.597514,37,6056,540,457,2812,2345,91,2399,1163,142,3179,1523
17,227279,20260624134028346645,success,,,,19.737383,240,5949,516,472,3973,2504,103,1271,1915,120,1066,818
18,241479,20260624134028346645,success,,,,20.213588,103,5992,982,481,5557,1967,80,1150,678,118,1130,1216
19,255679,20260624134028346645,success,,,,16.205223,57,6300,951,497,1995,1526,113,475,1255,146,1323,836
20,269879,20260624134028346645,success,,,,21.612893,41,6223,519,1322,2767,1807,91,2147,1147,159,2602,1933
21,284079,20260624134028346645,success,,,,18.565576,61,6259,543,487,3780,1656,114,963,1154,120,1267,1258
22,298279,20260624134028346645,success,,,,19.282708,92,6165,500,475,3162,1132,83,1897,1905,119,1344,1664
23,312479,20260624134028346645,success,,,,17.003198,61,6079,518,893,2043,2363,113,1072,861,186,1180,824
24,326679,20260624134028346645,success,,,,20.323529,175,6077,902,483,2616,3457,76,1026,1875,225,1139,1406
25,340879,20260624134028346645,success,,,,18.193576,121,6211,512,924,3084,2446,104,505,605,116,2047,671
26,355079,20260624134028346645,success,,,,19.574861,65,6001,510,462,3174,2425,87,523,713,123,2659,2051
27,369279,20260624134028346645,success,,,,21.464549,68,6203,505,1308,3988,2519,107,1898,1910,139,1292,638
28,383479,20260624134028346645,success,,,,20.396708,65,6034,502,483,3974,1014,78,3031,707,111,2929,746
29,397679,20260624134028346645,success,,,,20.697662,100,6052,517,469,5348,1602,92,1078,557,113,2359,1535
30,411879,20260624134028346645,success,,,,20.360171,157,6245,531,469,2682,3572,91,1204,1885,118,1287,1234
31,426079,20260624134028346645,success,,,,23.642213,125,6246,521,519,5624,3504,85,442,1457,156,2599,729
32,440279,20260624134028346645,success,,,,19.718175,53,6104,502,489,5468,1101,95,468,1414,111,1085,1961
33,454479,20260624134028346645,success,,,,20.256172,185,6006,499,1366,1776,2490,83,2528,1489,143,1170,1725
34,468679,20260624134028346645,success,,,,20.912419,199,6216,514,844,3130,1708,83,3057,1808,121,2067,335
35,482879,20260624134028346645,success,,,,16.702595,82,6002,526,487,3174,1552,70,1991,707,209,546,470
36,497079,20260624134028346645,success,,,,17.532123,58,6106,518,475,2770,2421,86,521,1305,109,1065,1248
37,511279,20260624134028346645,success,,,,19.632026,126,6078,505,484,5636,2239,146,915,600,381,506,1220
38,525479,20260624134028346645,success,,,,21.859960,59,6146,529,527,3189,3643,235,1153,1284,127,2034,646
39,539679,20260624134028346645,success,,,,19.687121,86,6274,509,481,3947,1219,77,472,1959,124,2518,1256
40,553879,20260624134028346645,success,,,,21.139927,114,6081,949,460,3165,3723,73,2082,1221,131,1022,1303
41,568079,20260624134028346645,success,,,,21.372982,92,6029,1257,492,5509,2288,81,1113,278,123,2109,1133
42,582279,20260624134028346645,success,,,,24.008439,156,6027,526,486,5276,1643,76,1025,1461,115,3104,1642
43,596479,20260624134028346645,success,,,,19.208599,146,6241,523,478,3974,2520,96,1242,1149,207,1006,861
44,610679,20260624134028346645,success,,,,18.600813,250,6182,518,504,2768,1161,83,2013,867,111,2628,637
45,624879,20260624134028346645,success,,,,25.862076,136,6022,511,1644,5554,1642,88,1199,1986,177,3037,2146
46,639079,20260624134028346645,success,,,,18.364682,124,6189,540,493,3856,1080,98,2355,722,173,622,1327
47,653279,20260624134028346645,success,,,,17.809443,80,6078,523,461,2731,2329,82,1156,340,118,2093,776
48,667479,20260624134028346645,success,,,,17.592801,90,6175,544,451,3706,2324,104,1126,317,109,1230,632
49,681679,20260624134028346645,success,,,,20.502355,39,6046,535,477,3725,1649,96,3162,777,166,1360,1674
50,695879,20260624134028346645,success,,,,18.914710,136,6012,519,496,5584,1715,85,1172,737,117,1115,324
51,710079,20260624134028346645,success,,,,20.200085,121,6023,973,486,3774,1841,93,1895,336,141,2193,1498
52,724279,20260624134028346645,success,,,,19.506298,81,5993,553,452,5622,1660,86,1023,1221,117,1122,657
53,738479,20260624134028346645,success,,,,21.607915,196,6177,539,482,5545,3521,69,1222,279,118,1153,1505
54,752679,20260624134028346645,success,,,,17.981360,62,5986,525,436,3851,1833,112,442,1464,150,1086,1313
55,766879,20260624134028346645,success,,,,21.624921,62,6242,512,456,5558,2464,74,3019,555,119,575,1119
56,781079,20260624134028346645,success,,,,19.726335,67,6012,555,458,2777,1817,82,2038,1569,148,2632,662
57,795279,20260624134028346645,success,,,,21.235666,47,6039,506,906,3901,2374,121,1826,1210,134,2005,1255
58,809479,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,11.744775,111,6239,506,483,2707,1233,91,,,,,
59,823679,20260624134028346645,success,,,,19.474873,69,6262,509,478,3958,2462,112,2093,1115,184,999,334
60,837879,20260624134028346645,success,,,,21.091549,60,6247,502,476,3735,2423,84,1169,1467,119,1935,1922
61,852079,20260624134028346645,success,,,,26.279023,154,6241,545,758,5416,3712,84,2295,724,118,1967,1437
62,866279,20260624134028346645,success,,,,19.736511,150,6199,533,486,3172,3670,105,1980,744,107,1138,616
63,880479,20260624134028346645,success,,,,19.495025,100,6250,502,502,3940,1603,74,2167,687,111,1151,1227
64,894679,20260624134028346645,success,,,,21.556744,43,6211,524,841,3964,3566,92,1091,582,124,2364,1274
65,908879,20260624134028346645,success,,,,18.662656,60,6023,525,463,3164,1922,101,2400,769,118,1916,329
66,923079,20260624134028346645,success,,,,22.172256,41,6071,521,497,4005,2384,97,3085,291,120,3140,886
67,937279,20260624134028346645,success,,,,20.470119,40,6298,535,468,5349,2231,89,2247,411,109,1039,842
68,951479,20260624134028346645,success,,,,21.030056,40,6058,508,457,5544,1646,77,1927,567,110,1330,1938
69,965679,20260624134028346645,success,,,,24.404203,142,6279,1270,473,5501,3484,73,1990,1071,129,1413,1485
70,979879,20260624134028346645,success,,,,18.521218,53,6052,528,493,5518,1188,135,1882,292,120,1105,328
71,994079,20260624134028346645,success,,,,25.321585,55,6259,517,470,5569,2304,107,2841,1182,108,1118,1293
72,1008279,20260624134028346645,success,,,,24.554834,44,6284,505,459,5580,2324,124,1900,267,247,2338,1638
73,1022479,20260624134028346645,success,,,,18.361822,101,6244,536,465,2610,2455,85,1286,613,160,1237,662
74,1036679,20260624134028346645,success,,,,19.604036,99,5995,523,471,3124,1295,77,1990,1565,129,1906,1543
75,1050879,20260624134028346645,success,,,,20.784485,124,6263,520,896,2639,1990,91,1848,1182,116,1280,1304
76,1065079,20260624134028346645,success,,,,20.534977,35,6284,1006,481,1753,2389,157,3102,1224,116,2084,965
77,1079279,20260624134028346645,success,,,,22.069977,69,6271,509,478,2757,3696,109,3053,332,130,3046,809
78,1093479,20260624134028346645,success,,,,18.823258,46,6174,550,458,2797,2437,75,2151,652,112,2127,343
79,1107679,20260624134028346645,success,,,,18.075305,44,6268,513,462,3151,1265,79,2045,1179,271,1364,613
80,1121879,20260624134028346645,success,,,,17.225382,112,6020,521,473,1811,1087,78,2430,1284,112,2183,339
81,1136079,20260624134028346645,success,,,,22.488290,122,6222,509,454,3962,2531,92,2062,1372,169,3083,759
82,1150279,20260624134028346645,success,,,,22.503555,70,6233,517,492,5309,3666,75,2017,1439,122,1087,609
83,1164479,20260624134028346645,success,,,,21.089254,95,6146,868,471,5246,1729,105,512,1124,123,3093,719
84,1178679,20260624134028346645,success,,,,19.854276,141,5985,556,927,5243,1651,69,1274,1113,131,1169,730
85,1192879,20260624134028346645,success,,,,23.230848,35,6290,523,476,5406,3111,83,2111,797,129,3047,321
86,1207079,20260624134028346645,success,,,,19.427557,160,5996,529,465,3734,1883,73,1177,1879,197,1342,706
87,1221279,20260624134028346645,success,,,,17.941500,59,6058,497,534,3770,2436,103,1185,654,121,1049,703
88,1235479,20260624134028346645,success,,,,20.621048,141,6157,531,935,5526,2372,74,456,579,304,2356,325
89,1249679,20260624134028346645,success,,,,23.401282,115,6218,507,510,2682,3624,95,1939,1458,180,2170,1568
90,1263879,20260624134028346645,success,,,,15.992502,124,6267,531,456,2578,1078,171,1979,624,146,621,661
91,1278079,20260624134028346645,success,,,,16.339621,152,6144,507,474,1748,1896,120,2080,281,169,541,1377
92,1292279,20260624134028346645,success,,,,18.164415,136,6175,545,1269,1822,2304,109,1391,796,134,1093,1326
93,1306479,20260624134028346645,success,,,,19.659433,44,6302,493,488,2726,3585,160,1911,593,198,1065,1222
94,1320679,20260624134028346645,success,,,,19.891463,87,6002,907,493,2767,2397,87,2667,1174,300,1371,652
95,1334879,20260624134028346645,success,,,,18.889894,89,6257,516,442,3872,2428,134,2247,717,120,494,642
96,1349079,20260624134028346645,success,,,,24.330174,57,6063,1438,496,5220,2279,139,3113,296,116,2063,1252
97,1363279,20260624134028346645,success,,,,17.111313,81,5994,511,489,2646,1892,82,1209,610,109,537,2154
98,1377479,20260624134028346645,success,,,,15.578776,56,6030,499,456,2644,1653,79,469,662,126,533,709
99,1391679,20260624134028346645,success,,,,18.589256,85,6297,519,476,2744,1087,94,1923,1552,167,1258,1498
100,1405879,20260624134028346645,success,,,,23.321086,58,6027,531,483,3814,3634,85,1130,1181,122,3086,2049
101,1420079,20260624134028346645,success,,,,21.877602,172,6232,506,854,5531,2426,133,1044,593,121,2023,1299
