trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,57,20260624134028346645,success,,,,16.017985,120,1206,243,953,3074,923,70,2733,1377,63,2945,1693
2,14257,20260624134028346645,success,,,,16.864460,42,1194,636,178,3737,991,51,3066,1844,94,2747,1694
3,28457,20260624134028346645,success,,,,16.516903,46,1212,471,391,1721,2113,40,2910,1925,65,2853,2037
4,42657,20260624134028346645,success,,,,12.843685,117,1179,222,197,1856,952,54,1995,1803,64,1958,1817
5,56857,20260624134028346645,success,,,,17.668269,127,1155,1072,581,3664,798,49,2907,1736,71,2869,1926
6,71057,20260624134028346645,success,,,,17.748032,87,1193,218,1188,2455,1691,56,2844,1691,124,2952,2068
7,85257,20260624134028346645,success,,,,14.833810,37,1189,247,571,1384,799,57,2922,1692,67,2820,1319
8,99457,20260624134028346645,success,,,,13.619193,109,1183,463,584,1908,796,53,1866,1877,73,2496,1740
9,113657,20260624134028346645,success,,,,16.579037,40,1235,498,181,1901,2055,47,2986,1501,63,2791,2018
10,127857,20260624134028346645,success,,,,13.290282,93,1121,227,199,1874,771,42,1835,1708,62,3028,1842
11,142057,20260624134028346645,success,,,,18.457693,34,1250,403,797,4172,760,45,2740,2053,87,2718,2125
12,156257,20260624134028346645,success,,,,15.523955,77,1157,244,198,2458,951,82,2769,1673,141,2950,1574
13,170457,20260624134028346645,success,,,,14.752803,86,1150,1167,184,1837,944,33,2856,1802,74,2470,1678
14,184657,20260624134028346645,success,,,,14.021242,50,1184,466,184,1894,763,34,2516,1825,76,2832,1728
15,198857,20260624134028346645,success,,,,17.377829,117,1154,1014,654,3717,804,38,1927,1881,59,2715,1973
16,213057,20260624134028346645,success,,,,16.449749,64,1175,479,659,3116,777,82,3123,1822,83,2858,1716
17,227257,20260624134028346645,success,,,,12.943846,187,1119,227,189,1595,786,68,2844,1779,79,2400,1189
18,241457,20260624134028346645,success,,,,13.874209,99,1196,228,190,1606,794,52,2866,1849,74,2727,1726
19,255657,20260624134028346645,success,,,,16.917620,48,1201,240,710,3574,1036,41,2984,1704,73,2820,2006
20,269857,20260624134028346645,success,,,,15.421778,128,1153,687,452,3607,1009,51,2748,1624,90,2041,1285
21,284057,20260624134028346645,success,,,,15.393353,91,1138,503,177,2064,1001,80,1940,1754,59,2806,1850
22,298257,20260624134028346645,success,,,,15.093955,164,1166,723,1072,1768,655,59,2894,1737,149,2414,1725
23,312457,20260624134028346645,success,,,,17.991234,42,1204,871,181,3640,1092,89,3046,1937,61,1918,1949
24,326657,20260624134028346645,success,,,,14.280905,78,1182,230,203,1856,1061,44,2860,1840,77,3018,1352
25,340857,20260624134028346645,success,,,,15.406479,43,1192,236,1570,3691,788,40,2885,744,62,1897,1773
26,355057,20260624134028346645,success,,,,16.372951,98,1192,220,419,3080,947,65,2457,1098,58,2715,1881
27,369257,20260624134028346645,success,,,,16.389912,46,1170,235,204,1639,2558,52,2713,1958,55,2748,1263
28,383457,20260624134028346645,java_exception,failure,B1,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,2.080613,29,1228,248,205,,,,,,,,
29,397657,20260624134028346645,success,,,,17.024826,95,1197,223,794,3042,1041,53,2900,1949,78,2733,865
30,411857,20260624134028346645,success,,,,17.043815,34,1213,230,206,3570,2475,53,2880,1739,59,2886,1113
31,426057,20260624134028346645,success,,,,14.496582,42,1209,247,680,1969,675,35,2544,1961,90,2723,1830
32,440257,20260624134028346645,success,,,,14.707199,147,1126,502,390,1958,783,130,2512,1196,85,2992,1724
33,454457,20260624134028346645,success,,,,13.881740,94,1214,479,174,3061,965,39,2875,1428,68,1921,1086
34,468657,20260624134028346645,success,,,,16.726154,158,1166,224,710,3495,2188,72,2610,1472,80,2238,1824
35,482857,20260624134028346645,java_exception,failure,B8,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ bmi,11.008430,173,1172,617,875,1518,978,57,1322,1873,99,1933,
36,497057,20260624134028346645,success,,,,14.189981,181,1154,387,705,1903,918,75,2686,1773,75,2099,1741
37,511257,20260624134028346645,success,,,,16.397289,123,1158,449,474,3587,1006,41,2880,1901,75,2694,1523
38,525457,20260624134028346645,success,,,,16.030287,88,1133,460,178,3646,930,51,1335,1825,95,2888,2070
39,539657,20260624134028346645,success,,,,13.079333,87,1192,631,383,1576,700,51,2544,1695,118,1808,1790
40,553857,20260624134028346645,success,,,,14.223316,139,1132,771,175,2440,690,39,1854,1729,66,2952,1738
41,568057,20260624134028346645,success,,,,13.263076,118,1174,222,679,1662,1018,65,1923,1171,112,2839,1792
42,582257,20260624134028346645,success,,,,13.611486,40,1207,239,594,1730,678,54,2860,1650,76,2839,1090
43,596457,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: bmi ⊑ weight,6.819851,186,1091,1441,399,2401,937,,,,,,
44,610657,20260624134028346645,success,,,,16.354917,56,1203,228,407,3573,803,51,3043,1807,75,2903,1726
45,624857,20260624134028346645,success,,,,15.391914,180,1155,229,912,2759,788,37,2837,1806,90,2911,1205
46,639057,20260624134028346645,success,,,,14.334195,130,1168,436,728,1663,978,38,2690,1703,84,2011,1931
47,653257,20260624134028346645,success,,,,17.853231,87,1208,1223,175,3462,995,55,2870,1709,66,2372,1878
48,667457,20260624134028346645,success,,,,15.549813,29,1198,247,193,3594,768,70,2706,1920,72,2984,1288
49,681657,20260624134028346645,success,,,,13.353671,145,1180,481,164,2127,973,48,2910,1736,61,1304,1729
50,695857,20260624134028346645,success,,,,15.982574,47,1173,242,188,1485,2158,42,2784,1517,62,2923,1640
51,710057,20260624134028346645,success,,,,15.570267,148,1116,231,194,3595,1327,59,2927,1838,62,1837,1746
52,724257,20260624134028346645,success,,,,15.117966,70,1191,513,789,2494,847,36,2893,1868,66,2040,1825
53,738457,20260624134028346645,success,,,,14.240813,114,1153,705,179,2117,667,41,2682,789,66,2965,798
54,752657,20260624134028346645,success,,,,13.795383,112,1167,233,202,1388,1344,62,2968,1825,68,2451,1492
55,766857,20260624134028346645,success,,,,15.235417,80,1180,761,181,3091,958,66,2995,1828,87,2021,1398
56,781057,20260624134028346645,success,,,,15.945875,131,1129,983,1210,1772,985,53,2891,1717,71,2768,1685
57,795257,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,7.227498,94,1160,1204,427,3058,867,39,,,,,
58,809457,20260624134028346645,success,,,,13.645417,125,1147,243,197,2038,810,60,2916,1686,93,2687,1157
