trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,90,20260624134028346645,success,,,,86.795638,135,565,281,215,8178,4512,229,22238,13264,302,22849,13180
2,14290,20260624134028346645,success,,,,86.788461,202,538,280,186,8129,3206,259,23077,13098,356,22548,13937
3,28490,20260624134028346645,success,,,,85.337500,158,566,290,208,8021,3336,256,21892,13043,354,22156,12937
4,42690,20260624134028346645,success,,,,86.827262,90,578,284,247,8004,3282,274,23011,13174,279,23631,13137
5,56890,20260624134028346645,success,,,,84.716657,127,570,282,414,6032,3392,293,22355,12642,366,23628,13734
6,71090,20260624134028346645,success,,,,86.993617,113,581,288,598,8074,3298,228,22945,13060,348,22357,14189
7,85290,20260624134028346645,success,,,,85.181402,101,586,287,224,7988,3402,244,21801,13030,276,22171,14145
8,99490,20260624134028346645,success,,,,84.777137,150,559,281,203,8140,3418,278,21969,12649,292,22751,13268
9,113690,20260624134028346645,success,,,,82.806786,66,605,273,215,6040,3375,245,21798,12940,292,22364,13704
10,127890,20260624134028346645,success,,,,84.604496,51,614,286,415,6215,3443,267,22474,12886,283,23051,13765
11,142090,20260624134028346645,success,,,,85.473865,204,546,276,697,8001,3428,220,22344,12655,256,22679,13346
12,156290,20260624134028346645,success,,,,86.059286,183,541,268,226,8176,3400,283,22225,13235,335,22378,13897
13,170490,20260624134028346645,success,,,,83.695050,166,571,270,412,6127,3442,252,22387,12737,278,22826,13428
14,184690,20260624134028346645,success,,,,83.769019,79,588,295,221,6093,4624,236,22015,12568,309,22760,13170
15,198890,20260624134028346645,success,,,,88.711280,143,556,319,407,8131,3424,390,22113,13155,367,23897,12570
16,213090,20260624134028346645,success,,,,85.082321,196,536,296,196,8071,3311,232,22047,13170,249,22851,13039
17,227290,20260624134028346645,success,,,,84.645953,71,602,288,412,6212,4693,281,22195,12733,276,22616,13422
18,241490,20260624134028346645,success,,,,85.996419,176,536,758,188,6125,4681,219,22869,13067,225,23108,13196
19,255690,20260624134028346645,time_limit_exceeded,timeout,B7,Repair timeout: B7 exceeded 300 seconds,348.152394,163,549,271,417,6186,4692,304,22333,12770,300001,,
20,269890,20260624134028346645,success,,,,86.405437,128,568,280,207,7975,4603,218,22078,13002,352,22426,13638
21,284090,20260624134028346645,success,,,,85.762864,201,544,287,191,8055,4553,242,21995,12692,273,22618,13275
22,298290,20260624134028346645,success,,,,83.258699,39,620,300,264,6111,3436,310,22073,12816,274,22385,13791
23,312490,20260624134028346645,success,,,,84.874526,53,624,290,223,6039,4682,258,22975,12694,284,22527,13417
