trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,27,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ∃ accessURL.⊤ ⊑ WebService,3.459232,39,178,401,226,1497,754,,,,,,
2,14227,20260624134028346645,success,,,,28.173057,66,164,387,216,2379,806,391,6058,5352,52,6404,5492
3,28427,20260624134028346645,success,,,,28.640037,37,165,680,294,3820,753,80,6139,5528,50,5867,4829
4,42627,20260624134028346645,success,,,,26.617694,75,145,625,298,1542,1479,58,6121,4714,150,5508,5511
5,56827,20260624134028346645,success,,,,28.773572,89,148,613,311,2402,2761,641,5994,4974,132,5565,4742
6,71027,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,5.717526,65,151,362,375,1492,2830,81,,,,,
7,85227,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ∃ accessURL.⊤ ⊑ WebService,3.868225,67,148,737,126,1466,972,,,,,,
8,99427,20260624134028346645,success,,,,29.592016,54,168,367,225,2339,2571,77,6166,5417,51,6327,5433
9,113627,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ∃ accessURL.⊤ ⊑ WebService,2.883015,38,167,545,176,1612,,,,,,,
10,127827,20260624134028346645,success,,,,30.173090,85,151,991,129,3660,2756,180,6100,4556,117,6153,4862
11,142027,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ∃ accessURL.⊤ ⊑ WebService,3.655611,121,138,714,757,1580,,,,,,,
12,156227,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ∃ accessURL.⊤ ⊑ WebService,2.646324,65,152,341,518,1229,,,,,,,
13,170427,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ∃ accessURL.⊤ ⊑ WebService,2.623386,85,146,343,186,1518,,,,,,,
14,184627,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ∃ accessURL.⊤ ⊑ WebService,2.416217,75,157,370,202,1250,,,,,,,
15,198827,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ∃ accessURL.⊤ ⊑ WebService,5.431508,99,134,532,1065,2356,883,,,,,,
16,213027,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ∃ accessURL.⊤ ⊑ WebService,2.489803,103,144,549,190,1159,,,,,,,
17,227227,20260624134028346645,success,,,,29.361591,89,150,505,175,3408,2723,46,6030,5032,56,5795,4950
18,241427,20260624134028346645,success,,,,27.227297,111,138,536,165,1553,829,1141,6225,5366,57,5624,5076
19,255627,20260624134028346645,success,,,,27.756513,82,145,338,372,3729,787,66,5821,4578,202,5962,5285
20,269827,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ∃ accessURL.⊤ ⊑ WebService,2.657890,92,135,519,672,882,,,,,,,
21,284027,20260624134028346645,success,,,,31.281964,47,176,683,238,3656,2708,47,6997,5281,51,6268,4739
22,298227,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ∃ accessURL.⊤ ⊑ WebService,2.803135,65,156,332,201,1700,,,,,,,
23,312427,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ∃ accessURL.⊤ ⊑ WebService,3.826869,100,147,504,427,1521,758,,,,,,
24,326627,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ∃ accessURL.⊤ ⊑ WebService,3.300176,79,174,374,355,1971,,,,,,,
25,340827,20260624134028346645,success,,,,25.099535,95,149,346,208,1592,882,104,6235,4555,63,5735,4759
26,355027,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ∃ accessURL.⊤ ⊑ WebService,2.933027,39,166,592,412,1371,,,,,,,
27,369227,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ∃ accessURL.⊤ ⊑ WebService,3.455878,96,130,323,230,1544,770,,,,,,
28,383427,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ∃ accessURL.⊤ ⊑ WebService,3.114529,93,147,524,183,1821,,,,,,,
29,397627,20260624134028346645,success,,,,29.125047,63,154,928,278,2371,1415,149,6119,4703,69,6129,5178
30,411827,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ∃ accessURL.⊤ ⊑ WebService,2.796288,76,156,355,407,1453,,,,,,,
31,426027,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ∃ accessURL.⊤ ⊑ WebService,4.856174,80,142,700,488,2280,817,,,,,,
32,440227,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ∃ accessURL.⊤ ⊑ WebService,6.027177,70,166,332,483,3582,1041,,,,,,
33,454427,20260624134028346645,success,,,,30.425181,62,168,796,262,3538,2722,170,5868,5398,60,6222,4764
34,468627,20260624134028346645,success,,,,29.420860,43,165,341,216,3809,803,47,6130,5435,702,6015,5334
35,482827,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ∃ accessURL.⊤ ⊑ WebService,3.715069,49,165,564,194,1568,825,,,,,,
36,497027,20260624134028346645,success,,,,32.147752,38,185,352,663,1482,796,4505,5740,5158,581,7578,4681
37,511227,20260624134028346645,success,,,,28.259842,60,158,587,202,3767,770,39,6086,5144,49,6114,4875
38,525427,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ∃ accessURL.⊤ ⊑ WebService,3.856413,34,190,767,127,1455,914,,,,,,
39,539627,20260624134028346645,time_limit_exceeded,timeout,B7,Repair timeout: B7 exceeded 300 seconds,328.821515,65,158,377,197,1527,891,43,6041,5960,313175,,
40,553827,20260624134028346645,success,,,,27.563014,35,184,334,217,1590,2817,61,5557,5422,49,6312,4609
41,568027,20260624134028346645,success,,,,26.785845,110,125,676,138,1493,1406,52,6024,5047,64,6023,5240
42,582227,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ∃ accessURL.⊤ ⊑ WebService,2.705064,61,154,567,209,1362,,,,,,,
