trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,15,20260624134028346645,success,,,,2.713204,30,101,184,108,769,230,28,253,112,20,262,249
2,14215,20260624134028346645,success,,,,2.469629,44,100,413,186,432,321,19,151,101,19,137,185
3,28415,20260624134028346645,java_exception,failure,A3,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,0.630483,45,98,168,,,,,,,,,
4,42615,20260624134028346645,success,,,,2.765240,39,105,183,109,617,428,19,257,143,172,220,118
5,56815,20260624134028346645,success,,,,2.411550,47,97,173,110,552,363,20,189,137,21,229,101
6,71015,20260624134028346645,success,,,,2.692301,30,105,176,280,612,336,23,196,192,18,219,162
7,85215,20260624134028346645,success,,,,2.499842,46,92,283,216,453,359,26,262,133,17,162,92
8,99415,20260624134028346645,java_exception,failure,A3,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,0.782343,64,84,300,,,,,,,,,
9,113615,20260624134028346645,success,,,,2.556896,34,140,178,252,417,327,20,275,184,18,132,112
10,127815,20260624134028346645,success,,,,2.376233,62,85,171,184,607,248,19,182,117,29,190,122
11,142015,20260624134028346645,success,,,,2.560021,72,103,178,111,532,283,31,257,138,23,184,131
12,156215,20260624134028346645,success,,,,2.636752,31,107,293,204,501,264,19,277,122,18,153,299
13,170415,20260624134028346645,success,,,,2.700969,36,110,190,170,759,257,19,142,185,27,216,152
14,184615,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,2.073593,59,86,178,111,562,321,19,186,196,20,,
15,198815,20260624134028346645,success,,,,2.591895,83,97,178,200,533,386,18,181,111,28,235,92
16,213015,20260624134028346645,success,,,,2.524500,27,107,179,204,509,295,23,179,194,23,184,189
17,227215,20260624134028346645,success,,,,2.405187,40,94,302,84,536,311,15,140,147,27,168,104
18,241415,20260624134028346645,success,,,,2.540549,30,108,177,316,423,251,48,366,102,25,172,92
19,255615,20260624134028346645,success,,,,2.556041,36,103,187,110,438,370,39,263,138,16,230,169
20,269815,20260624134028346645,success,,,,2.413713,37,103,300,149,448,197,136,129,131,76,147,139
21,284015,20260624134028346645,success,,,,2.631403,27,117,177,267,556,355,24,241,129,17,134,165
22,298215,20260624134028346645,success,,,,2.328738,25,109,182,109,460,331,20,145,125,23,250,160
23,312415,20260624134028346645,success,,,,2.780781,32,108,174,320,536,362,26,179,175,46,221,161
24,326615,20260624134028346645,success,,,,2.530165,26,108,180,115,546,314,28,288,124,34,326,88
25,340815,20260624134028346645,success,,,,2.584586,45,93,454,66,508,328,28,203,122,29,230,117
26,355015,20260624134028346645,success,,,,2.585469,26,109,437,68,521,282,20,237,154,22,260,90
27,369215,20260624134028346645,success,,,,2.487388,46,96,340,73,551,350,29,183,118,18,140,170
28,383415,20260624134028346645,success,,,,2.547313,26,108,363,64,543,400,84,178,114,20,184,110
29,397615,20260624134028346645,success,,,,2.530505,42,95,173,114,641,287,19,358,116,19,138,164
30,411815,20260624134028346645,success,,,,2.426347,37,106,175,109,552,318,20,197,162,47,196,137
31,426015,20260624134028346645,success,,,,2.478402,43,94,175,106,771,202,17,189,105,17,146,256
32,440215,20260624134028346645,success,,,,2.552996,30,106,186,109,529,308,27,373,197,25,184,117
33,454415,20260624134028346645,success,,,,2.411792,50,101,285,91,583,193,21,160,193,19,251,95
34,468615,20260624134028346645,success,,,,2.394602,48,94,178,189,489,193,29,140,168,23,281,201
35,482815,20260624134028346645,success,,,,2.413842,30,108,181,117,548,371,19,173,112,28,177,184
36,497015,20260624134028346645,success,,,,2.503930,46,91,179,118,551,387,32,147,236,28,157,181
37,511215,20260624134028346645,success,,,,2.282840,31,110,187,167,604,192,19,152,141,33,158,116
38,525415,20260624134028346645,success,,,,2.516548,60,82,180,232,573,206,30,192,179,28,301,109
39,539615,20260624134028346645,success,,,,2.342264,30,112,181,115,460,312,20,178,166,31,226,120
40,553815,20260624134028346645,success,,,,2.683745,41,102,174,111,573,389,27,375,280,19,144,85
41,568015,20260624134028346645,success,,,,2.638350,47,100,171,104,792,292,37,266,123,24,156,169
42,582215,20260624134028346645,success,,,,2.649575,51,94,167,354,524,303,19,332,101,16,169,172
43,596415,20260624134028346645,success,,,,2.338174,31,109,293,79,441,261,27,255,185,17,182,103
44,610615,20260624134028346645,success,,,,2.612009,44,94,174,107,559,408,26,325,138,32,186,168
45,624815,20260624134028346645,success,,,,2.464146,30,104,181,103,551,356,18,260,135,26,239,107
46,639015,20260624134028346645,success,,,,2.625000,32,105,341,70,602,294,32,207,118,39,255,150
47,653215,20260624134028346645,success,,,,2.382157,45,91,360,68,445,324,18,190,113,20,170,184
48,667415,20260624134028346645,success,,,,2.499561,30,103,170,196,447,355,55,225,125,19,254,177
49,681615,20260624134028346645,success,,,,2.305760,43,98,179,113,550,400,25,138,115,19,148,99
50,695815,20260624134028346645,success,,,,2.619404,63,84,339,71,574,270,29,324,199,18,195,87
51,710015,20260624134028346645,success,,,,2.575449,35,103,341,144,513,302,19,268,180,21,167,99
52,724215,20260624134028346645,java_exception,failure,B1,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,0.800422,25,109,185,112,,,,,,,,
53,738415,20260624134028346645,success,,,,2.456337,30,126,178,264,502,351,20,154,144,18,174,122
54,752615,20260624134028346645,success,,,,2.464733,31,115,178,171,620,292,35,249,97,41,157,130
55,766815,20260624134028346645,java_exception,failure,B1,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,0.950095,42,122,348,108,,,,,,,,
56,781015,20260624134028346645,success,,,,2.415142,30,108,189,105,518,319,19,197,187,20,145,118
57,795215,20260624134028346645,success,,,,2.496470,26,108,185,186,597,367,18,171,120,35,133,185
58,809415,20260624134028346645,success,,,,2.333722,35,108,189,108,624,207,20,193,109,31,138,130
59,823615,20260624134028346645,success,,,,2.304724,26,109,181,107,469,316,50,153,138,19,239,141
60,837815,20260624134028346645,java_exception,failure,A3,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,0.825403,51,104,214,,,,,,,,,
61,852015,20260624134028346645,success,,,,2.261490,27,113,184,102,409,329,23,277,115,21,149,135
62,866215,20260624134028346645,success,,,,2.534399,44,94,434,65,535,288,36,186,165,20,156,136
63,880415,20260624134028346645,success,,,,2.362205,65,88,174,188,600,169,19,264,104,17,130,173
64,894615,20260624134028346645,success,,,,2.489806,38,100,171,111,558,367,27,151,120,21,290,179
65,908815,20260624134028346645,success,,,,2.313672,34,104,182,112,530,312,18,154,109,24,134,193
66,923015,20260624134028346645,success,,,,2.411888,33,107,177,112,560,290,25,144,145,24,247,180
67,937215,20260624134028346645,success,,,,2.367838,30,110,180,112,629,206,27,191,119,20,149,168
68,951415,20260624134028346645,success,,,,2.313676,50,93,181,198,518,267,31,147,104,28,134,197
69,965615,20260624134028346645,success,,,,2.683112,40,100,223,194,565,400,23,233,105,23,153,167
70,979815,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,2.087413,24,108,185,239,608,217,17,187,133,25,,
71,994015,20260624134028346645,success,,,,2.499235,36,135,216,120,639,247,33,149,108,29,138,173
72,1008215,20260624134028346645,success,,,,2.317521,32,108,175,106,559,393,19,171,127,21,144,106
73,1022415,20260624134028346645,success,,,,2.681032,35,121,214,288,447,378,26,187,107,20,242,171
74,1036615,20260624134028346645,success,,,,2.436808,46,97,298,86,559,300,26,206,187,18,158,118
75,1050815,20260624134028346645,success,,,,2.457478,58,117,227,108,407,275,20,273,146,21,141,183
76,1065015,20260624134028346645,success,,,,2.426288,28,112,174,183,591,204,22,261,124,21,172,172
