trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,20,20260624134028346645,success,,,,2.744129,26,209,253,77,640,415,21,280,82,28,110,250
2,14220,20260624134028346645,success,,,,2.791475,30,202,256,187,759,158,19,389,79,24,222,118
3,28420,20260624134028346645,success,,,,2.697754,37,199,162,94,758,344,19,387,70,66,112,107
4,42620,20260624134028346645,success,,,,3.186251,52,190,247,70,1010,437,18,341,114,19,86,238
5,56820,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,2.590142,44,192,311,67,362,610,29,379,253,21,,
6,71020,20260624134028346645,success,,,,2.826086,46,190,264,76,663,447,31,106,205,27,350,65
7,85220,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: PeriodOfTime ⊑ LocationPeriodOrJurisdiction,1.864671,30,200,165,321,818,,,,,,,
8,99420,20260624134028346645,success,,,,2.511944,48,193,263,74,569,262,38,198,197,19,177,108
9,113620,20260624134028346645,success,,,,2.599007,31,204,170,171,641,426,20,111,82,17,274,81
10,127820,20260624134028346645,success,,,,2.270604,50,187,239,75,478,239,20,123,216,29,185,77
11,142020,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: PeriodOfTime ⊑ LocationPeriodOrJurisdiction,1.514005,46,194,418,133,382,,,,,,,
12,156220,20260624134028346645,success,,,,2.598937,28,200,338,65,462,484,22,115,134,21,190,179
13,170420,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,2.340910,44,188,165,169,1038,373,38,,,,,
14,184620,20260624134028346645,success,,,,2.744421,39,198,331,75,775,375,17,170,138,23,162,66
15,198820,20260624134028346645,success,,,,2.454126,36,197,160,97,748,138,102,183,200,19,154,67
16,213020,20260624134028346645,success,,,,2.696674,45,189,276,117,377,464,25,117,215,161,177,184
17,227220,20260624134028346645,success,,,,3.340322,51,179,151,160,1297,307,132,98,244,18,88,245
18,241420,20260624134028346645,success,,,,2.824780,27,204,164,187,564,314,32,302,187,33,335,120
19,255620,20260624134028346645,success,,,,2.567495,30,205,161,105,778,205,19,189,137,22,238,114
20,269820,20260624134028346645,success,,,,2.525672,38,199,311,187,430,267,27,298,75,21,114,193
21,284020,20260624134028346645,success,,,,2.537211,49,195,423,162,322,198,22,221,235,58,103,187
22,298220,20260624134028346645,success,,,,3.428770,53,182,305,67,1142,264,19,360,149,34,426,66
23,312420,20260624134028346645,success,,,,2.573264,52,187,157,105,468,553,23,267,74,45,165,120
24,326620,20260624134028346645,success,,,,2.802579,42,186,317,156,776,361,19,186,191,21,95,87
25,340820,20260624134028346645,success,,,,2.522137,54,186,149,102,659,356,21,118,199,23,119,179
26,355020,20260624134028346645,success,,,,2.750732,32,196,651,96,342,389,23,274,167,32,100,97
27,369220,20260624134028346645,success,,,,2.998783,39,198,173,262,812,362,16,267,181,46,236,67
28,383420,20260624134028346645,success,,,,2.702618,50,190,169,254,853,151,18,185,85,21,185,191
29,397620,20260624134028346645,java_exception,failure,B1,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,1.005716,47,188,363,70,,,,,,,,
30,411820,20260624134028346645,success,,,,2.532542,27,201,159,99,648,359,19,128,198,53,111,175
31,426020,20260624134028346645,success,,,,2.686733,38,198,265,71,466,314,25,197,95,23,576,63
32,440220,20260624134028346645,success,,,,2.922421,41,193,261,68,1174,358,19,174,69,25,99,87
33,454420,20260624134028346645,success,,,,2.707889,51,187,161,172,710,492,16,112,126,20,178,128
34,468620,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,1.950400,45,192,368,66,571,334,32,,,,,
35,482820,20260624134028346645,success,,,,3.055277,56,184,150,100,1275,314,73,146,81,17,212,89
36,497020,20260624134028346645,success,,,,2.742905,37,200,324,159,693,202,117,109,192,19,168,180
37,511220,20260624134028346645,success,,,,2.330564,37,194,262,76,365,225,89,219,151,21,195,126
38,525420,20260624134028346645,java_exception,failure,A3,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,0.821480,26,206,260,,,,,,,,,
39,539620,20260624134028346645,success,,,,2.396370,37,195,157,259,578,326,24,111,131,21,112,78
40,553820,20260624134028346645,success,,,,2.530964,27,207,338,235,448,409,20,123,146,21,109,90
41,568020,20260624134028346645,success,,,,2.793108,32,204,362,133,749,314,38,96,77,78,102,244
42,582220,20260624134028346645,success,,,,2.823952,47,188,306,80,459,483,40,411,87,26,250,69
43,596420,20260624134028346645,success,,,,3.093250,35,198,276,140,800,280,37,269,181,17,416,88
44,610620,20260624134028346645,success,,,,2.896475,46,201,348,69,364,688,114,379,81,23,152,84
45,624820,20260624134028346645,success,,,,2.597813,50,190,412,125,442,201,20,224,208,20,176,183
46,639020,20260624134028346645,success,,,,2.899147,43,185,160,243,823,378,17,265,177,19,158,67
47,653220,20260624134028346645,success,,,,2.880339,65,174,468,58,664,328,18,290,86,22,229,111
48,667420,20260624134028346645,success,,,,2.756947,27,211,274,139,585,396,80,249,86,21,156,175
49,681620,20260624134028346645,success,,,,3.191397,44,188,157,171,693,617,25,374,166,200,85,103
50,695820,20260624134028346645,success,,,,2.675096,26,209,156,239,350,497,19,187,205,80,168,178
51,710020,20260624134028346645,success,,,,2.527293,43,203,320,65,366,496,30,193,83,20,149,194
52,724220,20260624134028346645,success,,,,2.790401,28,208,161,224,679,437,19,124,76,41,172,262
53,738420,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,2.218388,26,207,465,183,427,527,33,,,,,
54,752620,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,2.002684,44,195,156,101,468,294,20,121,219,23,,
55,766820,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,2.160128,29,212,286,385,695,168,37,,,,,
56,781020,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: PeriodOfTime ⊑ LocationPeriodOrJurisdiction,1.368678,49,189,257,76,457,,,,,,,
57,795220,20260624134028346645,java_exception,failure,B1,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,0.903404,40,200,172,160,,,,,,,,
