trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,21,20260624134028346645,success,,,,2.904427,54,153,193,121,562,311,23,295,204,28,331,277
2,14221,20260624134028346645,success,,,,3.173205,44,162,189,109,654,459,19,303,188,23,382,284
3,28421,20260624134028346645,success,,,,3.076966,81,128,183,124,816,359,18,276,280,20,262,181
4,42621,20260624134028346645,success,,,,3.032095,77,147,189,119,702,438,36,421,124,21,235,149
5,56821,20260624134028346645,success,,,,3.278110,51,143,192,397,576,583,18,352,194,28,228,167
6,71021,20260624134028346645,success,,,,3.171049,75,130,182,116,817,401,26,425,109,21,223,296
7,85221,20260624134028346645,success,,,,3.015420,51,152,193,151,584,469,29,203,266,39,372,135
8,99421,20260624134028346645,success,,,,2.952518,45,156,198,114,787,219,30,325,140,25,344,222
9,113621,20260624134028346645,success,,,,3.452007,57,148,182,446,812,344,17,279,178,26,369,227
10,127821,20260624134028346645,success,,,,3.053837,37,166,192,122,673,423,26,295,165,39,365,176
11,142021,20260624134028346645,success,,,,3.471029,62,135,176,179,964,407,28,370,215,19,313,241
12,156221,20260624134028346645,success,,,,3.063024,48,147,375,81,681,303,21,371,193,29,183,273
13,170421,20260624134028346645,success,,,,3.325010,35,164,215,113,645,353,36,437,274,22,382,289
14,184621,20260624134028346645,success,,,,3.045514,25,179,181,284,835,262,32,205,139,32,249,271
15,198821,20260624134028346645,success,,,,2.845401,31,172,205,111,557,312,35,479,167,23,233,175
16,213021,20260624134028346645,success,,,,3.114666,34,162,194,116,842,414,43,272,284,21,236,154
17,227221,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,2.057427,42,151,188,118,802,393,21,,,,,
18,241421,20260624134028346645,success,,,,3.259016,69,131,189,272,695,284,28,448,221,23,244,276
19,255621,20260624134028346645,success,,,,3.050391,39,152,190,251,587,419,58,264,193,40,259,235
