trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,99,20260624134028346645,success,,,,40.699831,154,13837,404,384,3877,2206,76,5561,3951,185,3676,3965
2,14299,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ ENVO_01001297,18.986668,334,13649,419,399,3675,,,,,,,
3,28499,20260624134028346645,success,,,,34.008265,289,13645,420,745,3897,2262,82,3033,1852,141,3614,2496
4,42699,20260624134028346645,success,,,,39.947605,319,13914,422,703,3768,2188,148,5507,3886,178,3779,1936
5,56899,20260624134028346645,success,,,,38.734011,297,13713,1132,367,3914,2256,85,5409,1930,168,6710,1935
6,71099,20260624134028346645,success,,,,34.793727,337,13755,422,424,3919,2255,68,2971,3744,181,3303,2620
7,85299,20260624134028346645,success,,,,41.486877,53,13940,416,698,6333,2170,82,5435,1938,167,6403,2674
8,99499,20260624134028346645,success,,,,37.670455,173,13905,411,443,6254,3906,86,3192,2113,171,4205,1961
9,113699,20260624134028346645,success,,,,48.209874,317,13815,433,992,6173,5966,77,6083,2576,234,5900,4559
10,127899,20260624134028346645,success,,,,42.730780,189,13897,403,406,6337,3786,79,5615,2387,126,6505,2078
11,142099,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ ENVO_01001297,26.546970,172,13738,415,416,3825,2189,77,5299,,,,
12,156299,20260624134028346645,success,,,,38.095903,241,13766,416,409,6138,4122,79,3290,2130,144,3112,3165
13,170499,20260624134028346645,success,,,,35.195168,208,14102,843,408,3818,2335,85,3090,3743,158,3571,2152
14,184699,20260624134028346645,success,,,,43.081167,165,13895,419,723,6396,3801,81,3120,3594,157,4221,1860
15,198899,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ ENVO_01001297,22.804983,103,13929,418,376,3824,2270,75,1406,,,,
16,213099,20260624134028346645,success,,,,35.040761,351,13676,409,381,3849,2250,71,2978,1955,230,3452,4605
17,227299,20260624134028346645,success,,,,40.967659,162,13909,853,391,3950,2213,141,5512,3917,188,3667,1986
18,241499,20260624134028346645,success,,,,42.742286,139,14007,444,394,6228,3890,80,5502,2443,128,6618,2002
19,255699,20260624134028346645,success,,,,41.541061,196,13898,747,1210,6302,3800,75,3095,1930,168,6315,2771
20,269899,20260624134028346645,java_exception,failure,B6,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ ENVO_01001297,31.643275,294,13836,680,400,6104,3801,79,3130,1972,,,
21,284099,20260624134028346645,success,,,,37.064934,216,13751,435,394,3702,3809,126,2988,1838,282,6075,2506
22,298299,20260624134028346645,success,,,,36.073269,375,13854,414,383,3812,2444,79,5554,1857,145,3263,2810
23,312499,20260624134028346645,success,,,,44.758259,340,13784,415,398,3961,3837,76,5647,2140,225,6997,3542
24,326699,20260624134028346645,success,,,,40.352832,103,13859,779,383,6187,2118,67,3111,3634,168,6238,2689
25,340899,20260624134028346645,success,,,,37.991246,330,13706,418,767,3861,2373,83,3087,1890,137,3379,4037
26,355099,20260624134028346645,java_exception,failure,B6,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ ENVO_01001297,32.873313,290,13769,418,394,3799,3965,86,5397,1871,,,
27,369299,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ENVO_01001297 ⊑ ExO_0000007,21.590397,151,13983,415,409,6225,,,,,,,
28,383499,20260624134028346645,success,,,,39.618663,148,13855,437,688,6342,2208,115,3161,1878,132,6155,2684
29,397699,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ENVO_01001297 ⊑ ExO_0000007,21.847502,41,14038,440,1108,3757,2075,,,,,,
30,411899,20260624134028346645,success,,,,40.093516,305,13647,428,410,6265,2089,83,3065,3644,165,6191,2734
31,426099,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ ENVO_01001297,19.269974,365,13887,408,446,3786,,,,,,,
32,440299,20260624134028346645,java_exception,failure,B6,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ ENVO_01001297,34.408241,256,13787,417,418,6333,2167,77,5404,1862,,,
33,454499,20260624134028346645,success,,,,43.061067,326,13719,1346,748,3833,4009,124,3181,3901,132,7252,2112
34,468699,20260624134028346645,java_exception,failure,B6,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ ENVO_01001297,33.225083,247,13585,433,386,6321,2176,141,3089,3417,,,
35,482899,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ENVO_01001297 ⊑ ExO_0000007,25.372698,154,13935,447,389,6293,3748,,,,,,
36,497099,20260624134028346645,success,,,,38.157339,65,13792,859,396,6121,2184,103,2930,3676,159,3859,2418
37,511299,20260624134028346645,success,,,,33.350845,309,13712,427,385,3826,2242,76,2946,1806,132,3523,2152
38,525499,20260624134028346645,success,,,,41.467206,313,13822,1168,444,3791,3799,80,3013,4044,132,3948,3715
39,539699,20260624134028346645,success,,,,39.591024,267,13773,426,369,6136,3870,77,3000,2185,157,3562,4831
40,553899,20260624134028346645,success,,,,39.561669,177,13718,825,677,3835,2277,138,5562,2115,134,6166,2248
41,568099,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ENVO_01001297 ⊑ ExO_0000007,17.357429,178,13924,427,384,2066,,,,,,,
42,582299,20260624134028346645,success,,,,41.079107,141,13825,691,1131,6300,2191,80,3103,3667,171,3778,1945
43,596499,20260624134028346645,success,,,,35.689588,235,13984,409,390,6299,2369,78,3003,1866,149,3552,2587
44,610699,20260624134028346645,success,,,,40.166021,223,13820,439,382,6251,3784,82,5541,2445,123,3224,2773
45,624899,20260624134028346645,success,,,,41.590270,218,13859,439,762,6220,3774,95,3052,3883,229,3506,4607
46,639099,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ENVO_01001297 ⊑ ExO_0000007,23.178779,187,13779,801,440,3879,3691,,,,,,
47,653299,20260624134028346645,java_exception,failure,B9,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ ENVO_01001297,40.481497,297,13582,427,407,3915,2273,82,5669,3986,171,3809,1924
48,667499,20260624134028346645,success,,,,42.468198,254,13958,2141,403,6339,2221,101,3101,3665,164,6226,2742
49,681699,20260624134028346645,success,,,,37.863180,102,13957,429,396,6257,2217,73,3179,1938,178,3718,4568
50,695899,20260624134028346645,success,,,,42.085559,342,13674,802,707,6225,2174,95,5335,4193,213,3385,2104
51,710099,20260624134028346645,success,,,,33.241683,73,13826,420,390,3807,2150,86,3042,1926,139,3523,2285
52,724299,20260624134028346645,java_exception,failure,B8,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ ENVO_01001297,37.035299,218,13854,445,394,6096,3828,71,5689,2676,224,2910,
53,738499,20260624134028346645,success,,,,38.243637,144,14033,413,419,6315,3900,79,3156,2043,151,4126,2598
54,752699,20260624134028346645,success,,,,40.560618,324,13815,421,385,6262,1294,88,2955,3557,132,6339,2131
55,766899,20260624134028346645,success,,,,43.360378,106,13824,437,391,3821,2223,165,5500,3882,184,6589,5155
56,781099,20260624134028346645,success,,,,35.769972,175,14056,411,1107,3845,3908,103,2997,1881,133,3313,2755
57,795299,20260624134028346645,success,,,,38.053076,162,13814,687,665,6142,3825,96,3047,2155,171,4557,1928
58,809499,20260624134028346645,success,,,,40.863358,114,13814,425,408,3794,2220,114,2951,1876,235,6521,4110
