trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,63,20260624134028346645,success,,,,17.847967,161,3074,223,202,3170,1871,59,2590,1515,82,2771,1691
2,14263,20260624134028346645,success,,,,15.245716,114,3034,220,194,435,2036,78,2741,1635,109,2561,1678
3,28463,20260624134028346645,success,,,,17.612646,187,2980,225,188,3130,1802,68,2572,1592,88,2722,1630
4,42663,20260624134028346645,success,,,,15.228346,133,3010,201,181,449,2071,74,2713,1644,85,2637,1601
5,56863,20260624134028346645,success,,,,16.348528,88,3124,244,221,3149,295,59,2593,1670,85,2630,1749
6,71063,20260624134028346645,success,,,,17.721753,53,3034,259,241,3172,1896,52,2577,1589,101,2644,1698
7,85263,20260624134028346645,time_limit_exceeded,timeout,B7,Repair timeout: B7 exceeded 300 seconds,313.551139,94,3048,228,215,3217,1859,199,2638,1604,300003,,
8,99463,20260624134028346645,success,,,,17.590935,136,3024,251,205,3169,1840,62,2456,1563,83,2707,1663
9,113663,20260624134028346645,success,,,,14.223156,72,3050,218,734,441,354,95,2741,1672,82,2690,1661
10,127863,20260624134028346645,success,,,,16.703447,53,3045,236,719,3213,302,75,2588,1651,87,2619,1689
11,142063,20260624134028346645,time_limit_exceeded,timeout,B4,Repair timeout: B4 exceeded 300 seconds,309.043527,79,3084,250,258,3155,1783,300001,,,,,
12,156263,20260624134028346645,success,,,,13.943903,148,2988,254,437,465,337,98,2800,1696,74,2611,1607
13,170463,20260624134028346645,success,,,,15.317900,79,3031,235,207,484,2082,66,2683,1675,80,2586,1682
14,184663,20260624134028346645,success,,,,14.638963,83,3034,245,223,442,356,195,2871,1654,86,2758,1631
15,198863,20260624134028346645,success,,,,17.591590,110,3023,223,190,3198,1854,56,2572,1599,76,2515,1748
16,213063,20260624134028346645,time_limit_exceeded,timeout,B4,Repair timeout: B4 exceeded 300 seconds,306.538152,123,3053,220,190,450,2080,300001,,,,,
17,227263,20260624134028346645,success,,,,19.161736,111,3069,241,231,3211,1868,46,2600,1579,81,3998,1690
18,241463,20260624134028346645,success,,,,15.262848,145,3084,225,181,462,2079,72,2656,1652,121,2529,1624
19,255663,20260624134028346645,success,,,,18.419841,161,3098,478,434,3187,1802,63,2624,1673,76,2734,1650
20,269863,20260624134028346645,success,,,,14.157370,114,3046,203,688,428,354,96,2755,1648,83,2665,1650
21,284063,20260624134028346645,success,,,,13.716590,110,3033,231,228,460,375,94,2712,1659,109,2724,1579
22,298263,20260624134028346645,success,,,,17.887858,148,2992,250,222,3207,1852,51,2552,1627,136,2768,1662
23,312463,20260624134028346645,success,,,,16.651367,44,3075,250,508,3096,312,202,2519,1649,168,2655,1761
24,326663,20260624134028346645,success,,,,16.772108,157,3099,219,190,3234,335,56,2631,1697,164,2743,1618
25,340863,20260624134028346645,success,,,,14.057531,97,3030,218,748,433,331,82,2680,1582,92,2682,1665
26,355063,20260624134028346645,time_limit_exceeded,timeout,B7,Repair timeout: B7 exceeded 300 seconds,310.771045,102,3020,214,208,446,2058,72,2583,1601,300001,,
27,369263,20260624134028346645,success,,,,18.139212,117,3031,230,472,3146,1800,117,2658,1603,240,2550,1747
28,383463,20260624134028346645,success,,,,15.539067,82,3084,478,202,450,2014,60,2612,1738,93,2568,1738
29,397663,20260624134028346645,time_limit_exceeded,timeout,B4,Repair timeout: B4 exceeded 300 seconds,304.753846,136,3008,200,199,445,347,300001,,,,,
30,411863,20260624134028346645,success,,,,17.663112,45,3097,254,224,3159,1864,51,2591,1631,128,2551,1656
31,426063,20260624134028346645,success,,,,17.676594,174,3053,200,191,3253,1793,71,2527,1581,75,2680,1617
32,440263,20260624134028346645,success,,,,17.681907,46,3063,219,163,3217,1846,110,2567,1574,78,2640,1729
33,454463,20260624134028346645,success,,,,16.298554,135,3067,231,236,3134,321,63,2603,1615,188,2499,1779
34,468663,20260624134028346645,success,,,,16.860452,72,3048,240,492,3247,306,194,2600,1686,146,2659,1739
35,482863,20260624134028346645,success,,,,15.245698,76,3130,213,228,444,2020,80,2702,1613,83,2652,1594
36,497063,20260624134028346645,success,,,,16.535057,82,3098,247,229,3206,319,57,2621,1655,293,2640,1685
37,511263,20260624134028346645,success,,,,14.164678,76,3122,218,193,440,349,217,2834,1630,75,2648,1680
38,525463,20260624134028346645,time_limit_exceeded,timeout,B4,Repair timeout: B4 exceeded 300 seconds,305.155469,86,3078,260,456,465,382,300004,,,,,
39,539663,20260624134028346645,success,,,,17.790044,71,3044,232,233,3242,1823,49,2508,1578,184,2608,1781
40,553863,20260624134028346645,success,,,,13.872413,116,3011,221,177,447,354,130,2808,1674,104,2711,1703
41,568063,20260624134028346645,success,,,,15.276818,163,2986,501,180,460,2019,64,2606,1613,114,2482,1680
42,582263,20260624134028346645,success,,,,17.561464,52,3043,228,188,3184,1784,57,2561,1648,102,2551,1729
43,596463,20260624134028346645,success,,,,14.110807,157,3035,207,230,487,310,90,2864,1620,76,2732,1664
44,610663,20260624134028346645,success,,,,17.188991,130,3099,778,411,3219,279,65,2609,1708,87,2692,1701
45,624863,20260624134028346645,success,,,,13.790175,72,3045,219,170,474,343,104,2834,1710,87,2629,1680
46,639063,20260624134028346645,success,,,,17.763579,181,3033,269,232,3238,1786,69,2532,1534,75,2748,1641
47,653263,20260624134028346645,success,,,,13.753988,49,3119,228,170,463,354,106,2830,1667,90,2705,1570
48,667463,20260624134028346645,success,,,,14.119344,45,3080,523,389,441,354,84,2769,1676,75,2628,1635
49,681663,20260624134028346645,time_limit_exceeded,timeout,B7,Repair timeout: B7 exceeded 300 seconds,311.791345,62,3078,660,669,444,1969,86,2558,1696,300126,,
50,695863,20260624134028346645,success,,,,15.408277,48,3082,191,453,444,2087,69,2622,1604,77,2678,1645
51,710063,20260624134028346645,success,,,,13.838781,92,3060,213,246,470,323,200,2740,1693,85,2628,1673
52,724263,20260624134028346645,success,,,,15.117066,75,3041,208,163,453,2013,77,2625,1631,89,2705,1607
53,738463,20260624134028346645,success,,,,17.900156,82,3026,248,234,3238,1866,52,2540,1616,100,2762,1716
54,752663,20260624134028346645,success,,,,17.616121,113,3008,259,226,3139,1789,174,2535,1524,73,2707,1655
55,766863,20260624134028346645,success,,,,15.465329,158,3023,249,463,422,2003,62,2641,1655,86,2560,1718
56,781063,20260624134028346645,success,,,,13.980495,126,3053,256,221,464,331,85,2843,1653,72,2667,1616
57,795263,20260624134028346645,success,,,,16.266537,75,3036,229,260,3250,329,63,2609,1634,104,2537,1718
58,809463,20260624134028346645,success,,,,13.880245,126,3066,250,218,459,333,83,2881,1691,81,2675,1595
59,823663,20260624134028346645,success,,,,15.166487,131,3013,248,231,464,2072,58,2602,1644,54,2550,1676
60,837863,20260624134028346645,success,,,,13.627841,41,3099,254,229,441,342,84,2813,1650,75,2604,1551
61,852063,20260624134028346645,success,,,,17.728427,168,3036,253,217,3198,1839,56,2541,1562,72,2669,1713
62,866263,20260624134028346645,success,,,,17.686117,132,2984,216,188,3190,1824,110,2590,1680,85,2539,1719
63,880463,20260624134028346645,success,,,,18.545490,72,3066,794,181,3181,1819,61,2584,1689,78,2754,1619
64,894663,20260624134028346645,time_limit_exceeded,timeout,B7,Repair timeout: B7 exceeded 300 seconds,310.955962,43,3063,255,242,461,2098,59,2683,1617,300001,,
65,908863,20260624134028346645,success,,,,16.545484,120,3050,217,179,3392,299,62,2630,1695,102,2630,1746
66,923063,20260624134028346645,success,,,,17.899948,106,3005,238,222,3282,1806,226,2603,1584,106,2543,1758
67,937263,20260624134028346645,success,,,,16.468977,117,3084,200,189,3242,329,77,2655,1646,148,2736,1639
68,951463,20260624134028346645,time_limit_exceeded,timeout,B4,Repair timeout: B4 exceeded 300 seconds,309.029637,91,3050,235,198,3207,1816,300001,,,,,
69,965663,20260624134028346645,success,,,,13.922135,182,3056,235,219,441,357,85,2878,1704,102,2626,1613
70,979863,20260624134028346645,success,,,,15.202181,103,3042,195,204,450,2001,80,2620,1676,87,2629,1700
71,994063,20260624134028346645,success,,,,14.242702,78,3111,490,404,442,347,81,2770,1702,125,2616,1634
72,1008263,20260624134028346645,success,,,,17.909575,181,3058,520,196,3119,1755,41,2573,1576,126,2527,1806
73,1022463,20260624134028346645,success,,,,13.783294,145,3005,270,215,497,341,85,2783,1681,77,2608,1623
