trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,95,20260624134028346645,success,,,,28.898705,124,5348,456,436,4882,796,192,4125,2588,258,4891,3537
2,14295,20260624134028346645,success,,,,21.865713,161,5223,945,360,1393,3004,98,4386,308,184,4217,493
3,28495,20260624134028346645,success,,,,18.737541,214,5191,1020,364,1362,2986,101,860,336,208,4459,507
4,42695,20260624134028346645,success,,,,22.951879,50,5258,459,1440,4891,848,111,4358,433,161,802,3058
5,56895,20260624134028346645,success,,,,18.694780,120,5218,451,995,1512,4754,104,499,291,151,575,3025
6,71095,20260624134028346645,success,,,,27.898041,123,5237,430,376,7036,4828,143,4611,491,149,587,666
7,85295,20260624134028346645,success,,,,29.742583,245,5181,835,1195,4831,3117,101,4167,3002,159,4927,509
8,99495,20260624134028346645,success,,,,20.397743,241,5165,455,716,4938,2978,136,904,292,275,507,2757
9,113695,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: JavaScript ⊑ programming_tool,11.049353,202,5202,412,945,1030,2873,,,,,,
10,127895,20260624134028346645,success,,,,22.557983,128,5208,2240,1114,4859,3027,179,967,322,160,590,2735
11,142095,20260624134028346645,success,,,,22.290356,263,5261,440,1114,1036,4850,169,4197,493,160,637,2724
12,156295,20260624134028346645,success,,,,19.541010,344,5144,437,385,1046,3107,130,4197,2559,219,612,352
13,170495,20260624134028346645,success,,,,16.437296,303,5183,418,407,1436,3041,164,452,2596,168,894,362
14,184695,20260624134028346645,success,,,,12.961865,201,5266,435,1079,1018,638,268,790,494,161,849,620
15,198895,20260624134028346645,success,,,,14.490825,107,5286,434,879,1476,2972,108,488,509,190,589,438
16,213095,20260624134028346645,success,,,,22.371822,244,5269,1250,375,4854,783,108,4400,294,159,542,2992
17,227295,20260624134028346645,success,,,,19.754973,257,5165,837,347,4804,831,116,4452,298,159,895,611
18,241495,20260624134028346645,success,,,,22.340440,318,5224,422,1714,4889,637,119,4220,289,161,632,2693
19,255695,20260624134028346645,success,,,,28.736587,203,5168,2816,1782,4945,3058,107,841,302,191,4340,3169
20,269895,20260624134028346645,success,,,,27.941289,327,5123,854,380,4861,3058,101,4131,342,152,4464,561
21,284095,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: JavaScript ⊑ programming_tool,16.010810,107,5284,423,2762,6675,,,,,,,
22,298295,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: JavaScript ⊑ programming_tool,11.941406,215,5166,980,363,4816,,,,,,,
23,312495,20260624134028346645,success,,,,22.563677,171,5281,449,389,4843,755,128,4024,406,150,740,2887
24,326695,20260624134028346645,success,,,,19.493719,55,5260,411,392,1007,3142,130,497,2634,164,4220,635
25,340895,20260624134028346645,success,,,,22.539670,163,5211,412,867,1017,4877,348,4297,437,168,863,2781
26,355095,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: JavaScript ⊑ programming_tool,15.426658,170,5236,402,1362,4875,2973,,,,,,
27,369295,20260624134028346645,success,,,,20.857164,95,5232,427,377,7039,4156,127,555,333,371,716,394
28,383495,20260624134028346645,success,,,,22.309361,201,5210,409,1583,4797,907,119,775,2561,162,4184,354
29,397695,20260624134028346645,success,,,,25.978720,245,5187,440,1356,6971,2907,104,4329,407,144,497,544
30,411895,20260624134028346645,success,,,,19.526928,233,5187,2318,348,4820,3083,100,463,494,156,573,459
31,426095,20260624134028346645,success,,,,22.152664,300,5146,488,1481,7192,2852,100,442,281,150,593,493
32,440295,20260624134028346645,success,,,,24.489195,214,5287,407,362,1372,3032,183,840,2696,149,4588,2823
33,454495,20260624134028346645,success,,,,21.801566,193,5205,796,358,7198,614,216,825,292,223,4417,504
34,468695,20260624134028346645,success,,,,23.414870,94,5223,444,377,7026,3099,97,794,293,157,4200,550
35,482895,20260624134028346645,success,,,,28.705867,106,5297,451,2044,1030,2953,126,4201,2702,187,4434,3205
36,497095,20260624134028346645,success,,,,14.807107,254,5240,760,367,1339,858,113,503,2675,152,1033,582
37,511295,20260624134028346645,success,,,,22.030610,103,5311,1515,364,4804,2986,183,4121,291,155,640,485
38,525495,20260624134028346645,success,,,,15.502365,150,5200,423,351,1457,840,119,4410,296,170,525,515
39,539695,20260624134028346645,success,,,,15.126750,309,5158,411,719,1462,793,114,491,328,173,981,3073
40,553895,20260624134028346645,success,,,,17.994070,195,5264,405,395,4810,798,409,453,2707,240,898,451
41,568095,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,22.708467,350,5135,953,369,10358,3126,200,,,,,
42,582295,20260624134028346645,success,,,,23.991924,95,5319,478,1432,7102,621,104,527,2572,145,4197,357
43,596495,20260624134028346645,success,,,,17.702982,261,5146,401,363,1417,803,106,4236,2678,146,755,359
44,610695,20260624134028346645,success,,,,15.220947,273,5128,463,389,4891,602,105,514,301,159,785,571
45,624895,20260624134028346645,success,,,,12.468784,215,5179,1380,809,1044,774,109,528,341,154,559,363
46,639095,20260624134028346645,success,,,,25.418836,227,5230,484,429,4793,6997,103,460,298,257,4514,500
47,653295,20260624134028346645,success,,,,21.000510,154,5288,1603,819,4794,4674,110,816,596,154,502,353
48,667495,20260624134028346645,success,,,,21.580133,329,5135,390,984,1480,646,109,775,2826,191,4524,2962
49,681695,20260624134028346645,success,,,,25.616489,72,5322,456,1003,1505,4687,106,4264,2809,183,537,2825
50,695895,20260624134028346645,success,,,,17.979297,169,5252,447,390,4779,829,181,761,2753,190,878,373
51,710095,20260624134028346645,success,,,,19.920639,360,5198,448,904,1406,658,112,4275,509,218,4394,376
52,724295,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,10.503286,316,5132,722,1583,1412,631,328,,,,,
53,738495,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: JavaScript ⊑ programming_tool,12.321663,248,5157,419,1486,4618,,,,,,,
54,752695,20260624134028346645,success,,,,28.350090,166,5228,1874,380,4839,3068,217,4499,2839,281,812,2863
55,766895,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: JavaScript ⊑ programming_tool,9.724410,146,5279,469,799,2654,,,,,,,
56,781095,20260624134028346645,success,,,,24.958172,160,5246,1024,932,1046,622,137,4229,2690,154,4688,2815
57,795295,20260624134028346645,success,,,,20.388538,47,5255,425,1233,1040,777,130,4265,2669,183,524,2715
58,809495,20260624134028346645,success,,,,17.703176,227,5190,428,356,1015,689,113,812,319,200,4531,2729
59,823695,20260624134028346645,success,,,,26.922069,274,5146,773,420,4850,821,127,4367,2706,180,4390,742
60,837895,20260624134028346645,success,,,,19.076191,249,5245,445,604,4894,755,235,4100,293,151,506,556
61,852095,20260624134028346645,success,,,,24.198548,57,5319,1155,366,6967,2897,118,443,556,170,4473,558
62,866295,20260624134028346645,success,,,,23.847997,337,5103,443,709,6952,637,112,4118,284,215,532,640
63,880495,20260624134028346645,success,,,,27.185738,300,5122,876,683,7097,3140,157,489,2863,478,923,3093
64,894695,20260624134028346645,success,,,,19.787022,67,5315,411,366,4899,3036,124,476,294,160,870,2822
65,908895,20260624134028346645,success,,,,35.140008,241,5170,407,687,7063,4612,160,4335,2801,264,5599,2445
66,923095,20260624134028346645,success,,,,19.339019,177,5235,2099,385,4937,801,103,821,2640,153,620,374
67,937295,20260624134028346645,success,,,,27.343096,249,5288,414,870,10250,2942,97,443,536,184,583,3347
68,951495,20260624134028346645,success,,,,16.468418,187,5227,422,1505,1036,4428,199,514,300,149,879,648
69,965695,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: JavaScript ⊑ programming_tool,11.850779,108,5340,411,389,4795,,,,,,,
70,979895,20260624134028346645,success,,,,23.951555,176,5207,457,416,1040,3100,116,4147,2550,150,4580,594
71,994095,20260624134028346645,success,,,,26.328376,225,5182,1499,410,4774,678,136,4072,2574,151,4854,527
72,1008295,20260624134028346645,success,,,,22.257923,109,5287,1016,337,6970,2882,185,511,2825,173,545,362
73,1022495,20260624134028346645,success,,,,18.244424,130,5297,928,359,4942,2931,109,854,579,177,613,367
