trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,16,20260624134028346645,success,,,,7.999717,54,158,195,397,2272,1082,25,900,758,26,863,712
2,14216,20260624134028346645,success,,,,6.540160,49,128,181,113,1396,879,20,894,796,27,905,775
3,28416,20260624134028346645,success,,,,6.426975,59,127,185,126,1432,865,24,914,721,25,865,717
4,42616,20260624134028346645,success,,,,7.033622,28,125,195,252,1824,848,23,905,769,26,902,783
5,56816,20260624134028346645,success,,,,8.162704,32,131,193,125,2468,1502,19,893,770,20,850,806
6,71016,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,5.782448,35,113,193,203,2349,794,25,871,842,23,,
7,85216,20260624134028346645,success,,,,6.568637,43,134,192,121,1452,878,24,893,782,22,901,739
8,99416,20260624134028346645,success,,,,7.966511,37,133,186,260,1481,1678,24,860,772,21,919,822
9,113616,20260624134028346645,success,,,,6.384626,47,125,175,118,1410,827,26,908,702,21,845,800
10,127816,20260624134028346645,success,,,,7.461493,53,115,196,116,2424,759,19,893,785,18,903,691
11,142016,20260624134028346645,success,,,,7.700566,62,122,176,117,2364,1089,18,916,815,28,914,726
12,156216,20260624134028346645,success,,,,7.362849,35,125,283,93,2294,763,21,897,831,22,927,720
13,170416,20260624134028346645,success,,,,7.581308,62,115,185,122,2332,1032,26,864,801,27,913,740
14,184616,20260624134028346645,success,,,,7.228469,34,130,287,97,1307,1201,22,941,868,43,932,795
15,198816,20260624134028346645,success,,,,6.656088,46,115,202,263,1424,880,20,875,713,34,917,803
16,213016,20260624134028346645,success,,,,8.799943,39,133,190,130,2498,1626,24,890,817,23,852,758
17,227216,20260624134028346645,success,,,,6.555485,28,128,196,123,1515,868,22,909,772,21,875,746
18,241416,20260624134028346645,success,,,,7.563737,44,124,315,163,2443,807,19,888,716,23,901,762
19,255616,20260624134028346645,success,,,,6.878128,44,117,193,126,1816,816,27,860,771,42,902,810
20,269816,20260624134028346645,success,,,,6.565836,36,123,192,121,1491,919,37,841,719,36,920,774
21,284016,20260624134028346645,success,,,,6.647703,30,115,193,263,1465,835,27,916,708,22,899,719
22,298216,20260624134028346645,success,,,,6.881229,51,126,179,118,1788,862,31,807,801,21,938,789
23,312416,20260624134028346645,success,,,,7.614444,30,132,192,124,2412,741,30,877,801,27,900,779
24,326616,20260624134028346645,java_exception,failure,B1,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,0.821864,61,96,198,124,,,,,,,,
25,340816,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,6.698910,30,111,190,108,2536,1665,32,905,760,21,,
26,355016,20260624134028346645,success,,,,6.919744,49,114,194,119,1455,1181,31,878,803,21,932,791
27,369216,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,3.725631,31,140,288,157,1541,1193,27,,,,,
28,383416,20260624134028346645,success,,,,7.092074,55,103,185,207,1687,1180,19,856,765,43,888,735
29,397616,20260624134028346645,success,,,,7.435678,60,116,188,208,1431,1744,19,921,722,22,833,816
30,411816,20260624134028346645,success,,,,7.196981,27,140,436,83,1835,841,23,902,794,39,900,801
31,426016,20260624134028346645,success,,,,6.453849,31,135,188,202,1360,862,22,900,768,38,846,739
32,440216,20260624134028346645,success,,,,6.857898,33,128,198,199,1410,873,27,903,773,22,855,763
33,454416,20260624134028346645,java_exception,failure,A3,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,0.689439,43,128,184,,,,,,,,,
34,468616,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,5.052787,46,111,198,190,1403,1132,37,815,740,23,,
35,482816,20260624134028346645,success,,,,7.624868,37,125,191,121,1762,1586,22,908,798,25,924,716
36,497016,20260624134028346645,success,,,,6.960555,31,122,204,262,1877,764,21,910,746,20,902,743
37,511216,20260624134028346645,java_exception,failure,B1,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,0.920535,29,150,310,90,,,,,,,,
38,525416,20260624134028346645,success,,,,6.905242,34,141,405,73,1494,1155,18,817,716,19,915,746
39,539616,20260624134028346645,java_exception,failure,B1,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,0.796996,43,108,192,116,,,,,,,,
40,553816,20260624134028346645,success,,,,7.153334,49,118,193,203,1762,1082,23,895,780,39,853,780
