trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,32,20260624134028346645,success,,,,13.700605,87,370,173,224,4607,1030,951,1304,1606,51,1401,1509
2,14232,20260624134028346645,time_limit_exceeded,timeout,B7,Repair timeout: B7 exceeded 300 seconds,313.009980,87,384,798,87,4594,1650,1036,2293,1602,300001,,
3,28432,20260624134028346645,time_limit_exceeded,timeout,B4,Repair timeout: B4 exceeded 300 seconds,305.642907,66,388,183,228,1868,2459,300001,,,,,
4,42632,20260624134028346645,time_limit_exceeded,timeout,B4,Repair timeout: B4 exceeded 300 seconds,307.803447,37,420,158,467,3687,2597,300001,,,,,
5,56832,20260624134028346645,success,,,,14.005396,91,375,193,224,4647,1638,33,1298,961,38,2397,1706
6,71032,20260624134028346645,success,,,,14.004178,57,388,304,121,4758,1024,723,2191,915,906,1365,822
7,85232,20260624134028346645,success,,,,11.473779,92,358,226,133,1819,2597,31,1401,1528,38,1334,1531
8,99432,20260624134028346645,success,,,,13.884023,35,412,178,348,2791,3277,28,2171,928,84,2231,872
9,113632,20260624134028346645,success,,,,13.816349,87,381,173,144,4679,1006,24,2126,1644,38,1400,1722
10,127832,20260624134028346645,success,,,,11.184732,96,372,164,141,2829,2433,24,1406,951,43,1337,1018
11,142032,20260624134028346645,time_limit_exceeded,timeout,B7,Repair timeout: B7 exceeded 300 seconds,308.580230,62,393,157,117,1835,1713,960,1329,1554,300001,,
12,156232,20260624134028346645,time_limit_exceeded,timeout,B7,Repair timeout: B7 exceeded 300 seconds,311.524134,30,406,718,87,2708,3310,53,2245,1490,300001,,
13,170432,20260624134028346645,success,,,,12.474310,46,406,178,126,4567,1046,29,1340,895,44,2281,881
14,184632,20260624134028346645,success,,,,12.725495,69,392,170,115,1869,2627,31,2278,1632,41,2154,943
15,198832,20260624134028346645,success,,,,13.171188,53,392,189,245,3634,1011,37,2282,957,68,2241,1663
16,213032,20260624134028346645,time_limit_exceeded,timeout,B7,Repair timeout: B7 exceeded 300 seconds,308.105095,50,399,445,107,1830,2447,30,1379,940,300001,,
17,227232,20260624134028346645,success,,,,14.181490,40,410,476,115,1863,3344,1978,1356,954,59,2220,971
18,241432,20260624134028346645,success,,,,15.729902,44,409,440,299,4610,3196,244,1326,1529,70,2231,945
19,255632,20260624134028346645,time_limit_exceeded,timeout,B7,Repair timeout: B7 exceeded 300 seconds,311.749424,103,351,582,101,4709,1708,35,2171,1512,300001,,
20,269832,20260624134028346645,success,,,,13.786649,91,383,294,110,3701,1725,415,1394,1541,47,2186,1514
