trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,31,20260624134028346645,success,,,,16.922665,96,648,245,186,3238,1818,36,2428,2355,99,3350,2009
2,14231,20260624134028346645,success,,,,19.869626,88,672,244,296,3735,1711,65,4354,2395,54,3780,2088
3,28431,20260624134028346645,success,,,,18.396558,39,710,265,189,3488,1646,1081,2705,2775,52,2896,2169
4,42631,20260624134028346645,success,,,,15.810400,104,644,251,224,3011,1638,56,2667,2152,56,2597,1984
5,56831,20260624134028346645,success,,,,20.865747,54,703,262,183,3474,2113,42,2466,2241,60,4565,4303
6,71031,20260624134028346645,success,,,,16.566488,121,633,259,180,3334,1749,50,2953,1921,55,2480,2425
7,85231,20260624134028346645,success,,,,20.624246,38,723,260,189,4268,2220,40,3022,2848,50,2571,4010
8,99431,20260624134028346645,success,,,,17.174757,54,698,248,320,2615,2846,58,2460,1869,53,3165,2360
9,113631,20260624134028346645,success,,,,18.265803,32,718,258,302,3709,1655,57,2964,2478,92,2719,2019
10,127831,20260624134028346645,success,,,,19.770167,33,727,254,189,3847,2081,172,3669,3054,63,2541,1954
11,142031,20260624134028346645,success,,,,17.281985,98,667,255,295,3508,1668,37,2568,1965,68,2726,3032
12,156231,20260624134028346645,success,,,,18.438121,77,679,402,157,4240,1715,86,2483,1942,66,3750,2442
13,170431,20260624134028346645,success,,,,20.591235,105,641,252,353,3030,2035,129,5405,2690,50,2566,2931
14,184631,20260624134028346645,success,,,,17.714417,40,692,404,163,2892,2039,42,3674,2230,117,3144,1876
15,198831,20260624134028346645,success,,,,15.829794,50,689,402,162,3183,1814,40,2623,1772,71,2621,1998
16,213031,20260624134028346645,success,,,,22.091301,38,696,257,185,2989,1770,41,3905,3419,80,5380,2924
17,227231,20260624134028346645,success,,,,18.738813,43,708,258,203,3164,1552,61,3900,2796,52,2703,2915
18,241431,20260624134028346645,success,,,,18.064249,94,649,545,161,3514,1730,41,2946,1908,62,4086,1924
19,255631,20260624134028346645,success,,,,20.049593,127,644,259,313,3226,2136,40,3481,2168,54,3611,3608
20,269831,20260624134028346645,success,,,,20.285693,82,659,394,154,2618,1809,39,3578,3941,52,4153,2403
21,284031,20260624134028346645,success,,,,16.928871,44,699,239,185,3458,2021,39,2843,2203,116,2710,1930
22,298231,20260624134028346645,success,,,,18.163889,90,663,260,341,4875,1643,41,2674,1892,59,2583,2654
23,312431,20260624134028346645,success,,,,19.660626,116,644,257,186,3464,2485,43,3701,2830,56,2769,2705
24,326631,20260624134028346645,success,,,,18.002691,66,683,258,180,2988,2410,52,3892,1806,62,3110,2057
