trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,36,20260624134028346645,success,,,,5.077518,48,851,177,130,733,646,36,732,435,42,306,451
2,14236,20260624134028346645,success,,,,4.976670,51,829,166,137,1252,615,32,282,168,66,678,208
3,28436,20260624134028346645,success,,,,4.738693,108,786,176,226,972,316,47,461,252,45,409,473
4,42636,20260624134028346645,success,,,,5.539728,55,837,168,252,949,624,34,440,265,46,414,450
5,56836,20260624134028346645,success,,,,4.232915,40,834,178,139,881,413,52,455,178,39,296,275
6,71036,20260624134028346645,success,,,,5.939159,79,814,167,138,1240,629,34,682,439,39,703,480
7,85236,20260624134028346645,success,,,,5.561629,131,775,180,129,1201,627,33,684,162,39,407,203
8,99436,20260624134028346645,java_exception,failure,B1,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,1.559586,75,826,169,136,,,,,,,,
9,113636,20260624134028346645,success,,,,5.303447,76,816,163,136,892,628,38,452,429,45,692,475
10,127836,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,4.051787,74,819,175,136,1254,387,34,309,444,74,,
11,142036,20260624134028346645,success,,,,5.307704,31,833,175,219,1263,588,29,710,430,67,281,208
12,156236,20260624134028346645,success,,,,5.548446,103,782,171,128,1223,384,44,297,439,44,706,215
13,170436,20260624134028346645,success,,,,4.844394,128,780,170,134,710,618,33,316,471,43,697,279
14,184636,20260624134028346645,success,,,,4.590854,43,831,285,382,950,378,55,326,179,83,320,290
15,198836,20260624134028346645,success,,,,5.595388,36,840,172,137,1249,589,31,402,435,68,695,463
16,213036,20260624134028346645,success,,,,4.774205,30,828,171,126,907,638,35,322,240,65,707,247
17,227236,20260624134028346645,success,,,,5.093845,75,804,175,136,1235,618,30,300,258,65,697,217
18,241436,20260624134028346645,success,,,,4.973412,52,906,174,135,904,445,45,767,270,52,449,281
19,255636,20260624134028346645,success,,,,5.177765,72,803,170,133,1250,416,39,305,274,44,709,453
20,269836,20260624134028346645,success,,,,5.614290,118,775,171,247,1288,592,48,275,418,43,427,275
21,284036,20260624134028346645,success,,,,5.864312,114,804,183,133,846,664,37,714,438,41,412,450
22,298236,20260624134028346645,success,,,,5.310902,54,839,170,129,735,649,40,729,258,49,707,466
23,312436,20260624134028346645,success,,,,5.711858,108,790,174,124,1204,608,48,392,260,41,684,252
24,326636,20260624134028346645,success,,,,5.481441,83,818,173,263,1297,398,34,711,193,45,677,288
25,340836,20260624134028346645,success,,,,5.015090,39,852,181,125,801,804,35,696,187,44,297,452
26,355036,20260624134028346645,success,,,,5.762377,57,829,173,143,1215,393,45,418,259,48,664,492
27,369236,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,3.785679,129,769,169,134,714,671,34,309,469,42,,
28,383436,20260624134028346645,success,,,,4.541111,49,858,167,128,1252,398,35,284,257,44,403,206
29,397636,20260624134028346645,success,,,,4.809266,79,811,177,135,762,634,36,446,251,46,703,247
30,411836,20260624134028346645,success,,,,5.609164,80,818,174,132,1217,619,33,405,167,41,698,210
31,426036,20260624134028346645,success,,,,4.788198,37,833,176,138,1203,636,34,290,416,44,309,181
32,440236,20260624134028346645,success,,,,5.923982,76,824,454,207,1305,604,28,398,190,43,412,450
33,454436,20260624134028346645,success,,,,5.563475,83,803,295,130,1291,579,46,300,439,42,299,251
34,468636,20260624134028346645,success,,,,6.179301,38,825,198,128,1299,609,50,680,428,39,404,478
35,482836,20260624134028346645,success,,,,5.086382,45,830,173,133,1237,398,37,695,443,42,405,174
36,497036,20260624134028346645,success,,,,5.967354,134,776,169,130,1225,587,40,688,265,39,706,509
37,511236,20260624134028346645,success,,,,5.977416,54,809,176,134,1237,596,27,282,457,40,692,446
38,525436,20260624134028346645,success,,,,4.721123,134,764,159,133,1205,387,48,711,187,45,307,181
39,539636,20260624134028346645,success,,,,4.890523,95,808,172,137,862,643,34,707,176,43,289,480
40,553836,20260624134028346645,success,,,,4.407029,55,841,161,133,860,649,35,433,169,62,304,246
41,568036,20260624134028346645,success,,,,5.199538,70,796,304,126,796,665,51,419,440,40,294,277
42,582236,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,3.437901,106,800,167,134,1202,612,56,,,,,
43,596436,20260624134028346645,success,,,,4.798617,57,826,174,135,1219,404,40,292,255,54,419,448
44,610636,20260624134028346645,success,,,,4.532586,97,788,413,106,717,326,48,431,476,48,420,204
45,624836,20260624134028346645,success,,,,4.355059,52,836,175,135,710,328,38,485,196,66,411,444
46,639036,20260624134028346645,success,,,,5.017750,117,780,298,131,1357,402,34,294,440,63,403,244
47,653236,20260624134028346645,success,,,,5.140826,55,835,298,230,1224,605,33,408,251,40,421,285
48,667436,20260624134028346645,success,,,,5.473247,60,833,177,128,1203,604,47,295,431,44,422,270
49,681636,20260624134028346645,success,,,,4.884204,85,788,384,122,1219,372,44,302,163,44,684,206
50,695836,20260624134028346645,success,,,,5.221233,31,842,169,133,1252,615,28,689,254,40,420,252
51,710036,20260624134028346645,success,,,,4.731112,91,799,172,137,1219,394,47,294,164,42,711,188
52,724236,20260624134028346645,success,,,,4.796790,47,834,168,133,1228,624,31,392,255,45,291,269
53,738436,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,3.604877,59,814,397,113,1243,590,36,,,,,
54,752636,20260624134028346645,success,,,,5.310572,72,801,390,128,889,399,36,451,455,49,704,458
55,766836,20260624134028346645,success,,,,4.733466,86,805,167,135,891,633,34,309,445,54,431,266
56,781036,20260624134028346645,success,,,,5.816594,55,827,164,258,1287,628,35,690,265,39,707,226
57,795236,20260624134028346645,success,,,,5.431388,106,789,302,131,1299,397,30,434,455,47,675,287
58,809436,20260624134028346645,success,,,,4.888950,85,811,167,138,868,335,35,765,435,45,287,443
59,823636,20260624134028346645,success,,,,5.566783,94,801,168,138,1232,606,47,653,236,41,315,212
60,837836,20260624134028346645,java_exception,failure,A3,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,1.429954,117,790,169,,,,,,,,,
61,852036,20260624134028346645,success,,,,4.841893,85,824,162,132,1220,401,47,295,258,43,691,181
62,866236,20260624134028346645,success,,,,4.609124,79,812,167,131,872,646,37,301,444,45,416,200
63,880436,20260624134028346645,success,,,,5.547716,48,849,167,152,1226,407,41,689,423,39,297,202
64,894636,20260624134028346645,success,,,,5.005200,39,835,177,136,1251,619,33,278,163,69,678,253
65,908836,20260624134028346645,success,,,,4.620309,66,833,172,136,1238,384,27,418,169,43,398,275
66,923036,20260624134028346645,success,,,,4.499403,56,825,175,132,729,630,37,726,171,50,299,201
67,937236,20260624134028346645,success,,,,4.922980,79,816,181,273,937,417,48,322,477,44,402,471
68,951436,20260624134028346645,success,,,,5.484768,97,782,275,133,1281,621,29,403,185,41,414,283
69,965636,20260624134028346645,success,,,,4.734228,55,826,173,138,1227,589,32,414,166,54,289,292
70,979836,20260624134028346645,success,,,,5.448759,54,815,311,120,1284,634,33,390,258,43,298,278
71,994036,20260624134028346645,success,,,,5.570355,103,794,166,134,1214,628,28,678,426,37,700,184
72,1008236,20260624134028346645,success,,,,5.557625,119,773,168,133,1198,407,31,421,462,42,405,449
73,1022436,20260624134028346645,success,,,,5.395364,43,823,176,261,1278,391,37,732,465,88,395,223
74,1036636,20260624134028346645,success,,,,5.505250,109,792,274,201,1256,600,28,289,272,43,703,462
75,1050836,20260624134028346645,success,,,,4.390091,43,834,182,135,846,637,33,311,191,50,408,270
76,1065036,20260624134028346645,success,,,,5.878585,46,836,169,262,1341,594,33,699,237,63,414,249
77,1079236,20260624134028346645,success,,,,5.834188,119,778,171,122,1319,607,51,684,435,39,297,202
78,1093436,20260624134028346645,success,,,,5.833704,37,825,185,224,1165,611,46,694,242,43,749,502
79,1107636,20260624134028346645,success,,,,5.959482,78,809,183,129,1223,579,49,655,456,42,738,521
80,1121836,20260624134028346645,success,,,,4.624528,45,825,177,133,877,634,47,443,257,42,415,267
81,1136036,20260624134028346645,success,,,,5.481729,81,820,172,136,1198,614,31,679,188,42,295,280
82,1150236,20260624134028346645,success,,,,5.485945,79,804,173,135,1223,325,35,683,424,40,432,177
83,1164436,20260624134028346645,success,,,,5.303101,98,794,309,124,1282,625,34,404,186,39,695,218
84,1178636,20260624134028346645,success,,,,5.476373,58,821,174,255,1302,598,35,684,172,43,400,462
85,1192836,20260624134028346645,success,,,,5.226848,42,819,174,137,1292,387,29,721,250,51,667,183
86,1207036,20260624134028346645,success,,,,5.483067,95,784,174,139,1219,584,49,674,175,46,308,283
87,1221236,20260624134028346645,success,,,,4.902089,39,837,182,127,1336,415,30,398,254,43,306,448
88,1235436,20260624134028346645,success,,,,4.583207,60,821,168,133,1189,628,50,284,170,44,282,284
89,1249636,20260624134028346645,success,,,,4.657247,76,807,180,129,1253,387,40,325,199,47,302,448
90,1263836,20260624134028346645,success,,,,5.428382,40,838,179,129,1254,619,31,684,162,77,670,253
91,1278036,20260624134028346645,success,,,,5.331126,36,839,178,137,1257,623,28,673,427,41,414,207
92,1292236,20260624134028346645,success,,,,5.161426,32,850,177,128,1249,629,35,425,170,45,451,464
93,1306436,20260624134028346645,success,,,,4.348545,75,831,177,126,669,660,36,335,263,41,430,224
94,1320636,20260624134028346645,success,,,,5.640356,127,774,173,130,1219,597,51,403,235,43,428,464
95,1334836,20260624134028346645,success,,,,4.918821,90,803,173,137,1228,399,29,422,174,45,684,243
96,1349036,20260624134028346645,success,,,,4.918991,44,818,170,131,1241,320,37,314,437,41,420,450
97,1363236,20260624134028346645,success,,,,5.566285,32,851,173,136,1215,587,49,663,170,43,426,218
98,1377436,20260624134028346645,success,,,,4.957728,31,826,176,362,1220,305,32,422,188,43,700,179
99,1391636,20260624134028346645,success,,,,6.152878,54,843,427,112,1132,589,47,717,455,70,469,293
100,1405836,20260624134028346645,success,,,,4.704230,78,821,166,132,889,644,34,299,178,42,696,276
101,1420036,20260624134028346645,success,,,,5.365035,54,852,171,127,1264,596,32,395,449,75,663,210
102,1434236,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,3.422011,87,809,173,131,1224,601,32,,,,,
103,1448436,20260624134028346645,success,,,,4.602744,92,807,280,124,957,620,33,321,248,61,422,176
104,1462636,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,3.785308,47,835,187,130,1190,397,37,307,261,47,,
105,1476836,20260624134028346645,success,,,,4.806526,79,804,177,134,1175,612,53,403,182,40,401,273
106,1491036,20260624134028346645,success,,,,4.936019,76,809,282,130,1319,316,34,295,266,44,422,452
107,1505236,20260624134028346645,success,,,,4.999146,96,802,173,142,1235,622,33,285,178,45,698,213
