trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,19,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,2.365797,42,155,259,142,544,404,19,250,203,17,,
2,14219,20260624134028346645,success,,,,2.651800,45,152,155,168,628,297,17,257,186,18,225,164
3,28419,20260624134028346645,success,,,,2.607605,59,143,160,96,568,341,19,255,172,32,243,164
4,42619,20260624134028346645,success,,,,2.733686,41,151,307,59,553,400,17,227,192,25,244,167
5,56819,20260624134028346645,success,,,,2.661462,60,142,373,57,524,307,18,279,136,22,254,124
6,71019,20260624134028346645,success,,,,2.600249,64,141,164,96,545,398,17,255,141,34,222,174
7,85219,20260624134028346645,success,,,,2.536460,40,165,157,89,579,347,18,253,198,23,157,169
8,99419,20260624134028346645,success,,,,2.581383,55,142,154,97,557,395,19,268,203,35,157,161
9,113619,20260624134028346645,success,,,,2.546798,41,156,154,99,536,363,18,257,130,23,251,168
10,127819,20260624134028346645,success,,,,2.502641,58,146,159,88,555,344,33,267,141,23,243,115
11,142019,20260624134028346645,success,,,,2.719574,60,142,368,105,525,382,24,244,208,23,126,177
12,156219,20260624134028346645,success,,,,2.873027,57,147,304,365,617,245,17,258,123,29,214,155
13,170419,20260624134028346645,success,,,,2.579655,50,156,151,95,561,353,24,257,186,23,223,160
14,184619,20260624134028346645,success,,,,2.669685,65,138,322,62,551,401,21,168,168,20,256,148
15,198819,20260624134028346645,success,,,,2.589572,46,147,147,288,408,362,28,285,187,22,210,117
16,213019,20260624134028346645,success,,,,2.751057,26,168,155,293,535,341,17,282,199,19,219,159
17,227219,20260624134028346645,success,,,,2.532926,62,143,154,88,678,265,39,276,192,19,147,134
18,241419,20260624134028346645,success,,,,2.624080,33,173,155,92,571,337,28,258,199,22,244,161
19,255619,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,2.204676,65,143,150,170,604,255,19,264,178,22,,
20,269819,20260624134028346645,success,,,,2.479453,62,147,237,72,601,245,21,259,126,22,180,170
21,284019,20260624134028346645,success,,,,2.415881,66,141,155,102,470,234,19,263,214,24,250,141
22,298219,20260624134028346645,success,,,,2.702698,50,162,152,94,577,411,24,259,203,32,215,155
23,312419,20260624134028346645,java_exception,failure,B1,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,0.777970,59,143,152,92,,,,,,,,
24,326619,20260624134028346645,java_exception,failure,A3,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,0.688218,55,143,145,,,,,,,,,
25,340819,20260624134028346645,success,,,,2.646727,55,151,156,92,581,406,32,249,195,21,227,147
