trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,73,20260624134028346645,success,,,,32.488767,95,3999,1687,379,1511,1852,92,5016,2945,140,5359,4754
2,14273,20260624134028346645,success,,,,33.120369,44,4038,765,403,1499,1903,112,7149,3015,138,5547,4336
3,28473,20260624134028346645,success,,,,35.756819,88,4008,1137,367,4327,1825,118,6437,2693,146,5707,3067
4,42673,20260624134028346645,memory_limit_exceeded,,,,48.090632,,,,,,,,,,,,
5,56873,20260624134028346645,success,,,,36.878356,143,3987,862,389,3104,2598,125,4645,3111,128,9112,7521
6,71073,20260624134028346645,success,,,,30.709482,171,3968,419,419,3167,1821,129,4627,3291,378,7319,4116
7,85273,20260624134028346645,success,,,,39.227248,87,3968,434,424,3098,4431,92,10242,2849,131,6235,3400
8,99473,20260624134028346645,success,,,,32.336647,45,4020,461,421,3160,1803,120,6182,2987,120,7209,4805
9,113673,20260624134028346645,success,,,,33.805992,168,3961,450,715,3179,1876,103,4700,3984,249,5259,4129
10,127873,20260624134028346645,success,,,,30.736039,49,4037,454,428,3120,1851,101,5847,2938,160,8129,2743
11,142073,20260624134028346645,success,,,,24.948029,156,3975,873,405,1405,1436,109,5034,2998,157,4729,2998
12,156273,20260624134028346645,success,,,,30.630693,77,4011,450,409,3991,780,151,5228,2942,139,4890,3352
13,170473,20260624134028346645,success,,,,31.218785,80,3990,475,415,4316,2439,92,4507,3163,168,5684,4620
14,184673,20260624134028346645,success,,,,37.481892,75,3997,455,381,2274,1229,118,7324,6836,257,4714,8854
15,198873,20260624134028346645,success,,,,31.141957,43,4017,447,426,2262,1759,101,4905,7288,212,4646,3803
16,213073,20260624134028346645,success,,,,29.206826,68,4020,915,387,3223,823,90,5633,4148,247,4572,4184
17,227273,20260624134028346645,success,,,,30.468174,37,4054,448,418,3152,873,149,4506,3255,122,7316,3330
18,241473,20260624134028346645,success,,,,34.772019,60,4008,438,461,3037,2449,116,4499,9042,199,6893,2627
19,255673,20260624134028346645,success,,,,38.332143,169,3965,435,672,3241,2584,94,4738,4398,169,5725,6358
20,269873,20260624134028346645,success,,,,36.369552,156,3964,447,703,1446,2604,94,6933,2930,147,6532,9488
21,284073,20260624134028346645,success,,,,26.574938,75,3993,474,417,3167,1814,87,4680,3135,134,5013,2731
22,298273,20260624134028346645,success,,,,30.298947,113,3990,458,400,4531,1866,138,5735,2954,153,5174,3807
23,312473,20260624134028346645,success,,,,33.374996,138,3975,753,379,3069,1757,99,5194,3892,130,6214,3040
24,326673,20260624134028346645,success,,,,27.320778,142,3985,795,1017,1413,1449,88,4814,3928,113,4703,4071
25,340873,20260624134028346645,success,,,,29.359077,205,3945,457,424,2487,1241,200,6472,3074,112,5891,4132
26,355073,20260624134028346645,success,,,,34.103473,84,3973,437,421,2341,1733,83,5894,2828,120,6330,8901
27,369273,20260624134028346645,success,,,,26.650497,94,3995,455,431,2373,1820,89,4904,2859,128,4815,3874
28,383473,20260624134028346645,success,,,,37.988640,162,3970,788,387,4316,1420,121,6169,2888,148,4639,12030
29,397673,20260624134028346645,success,,,,41.626943,115,3989,459,397,4342,1395,148,6668,4835,115,5739,7978
30,411873,20260624134028346645,success,,,,28.203054,150,3983,437,643,3144,761,84,5751,3222,138,4617,4082
31,426073,20260624134028346645,success,,,,32.492414,145,3991,761,380,5688,1725,139,4863,3546,132,7031,3137
32,440273,20260624134028346645,success,,,,33.284433,140,4012,827,392,2412,6386,82,4315,3571,216,6563,3452
33,454473,20260624134028346645,success,,,,34.378317,134,3989,790,391,3243,1241,82,4622,4638,129,6324,7835
34,468673,20260624134028346645,success,,,,33.902148,206,3949,471,427,3270,1348,93,7040,3121,132,5294,7670
35,482873,20260624134028346645,success,,,,34.545097,103,3979,453,1331,4082,4511,87,4586,4165,156,6266,3851
36,497073,20260624134028346645,success,,,,34.144782,130,3980,469,394,3037,2603,215,7934,3171,189,7307,3848
37,511273,20260624134028346645,success,,,,34.485602,87,3960,1167,380,3709,838,111,6295,2698,121,6205,7997
38,525473,20260624134028346645,success,,,,28.270547,121,3977,450,422,3124,795,136,5307,4367,161,4941,3719
39,539673,20260624134028346645,success,,,,28.591027,132,3959,874,899,3214,1818,106,4638,4081,130,4551,3026
