trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,46,20260624134028346645,success,,,,65.611596,80,1064,352,139,2986,1482,148,15899,12341,104,19625,10520
2,14246,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: GeographicalFeature ⊑ Polygon,3.179975,132,1032,201,148,1304,,,,,,,
3,28446,20260624134028346645,success,,,,70.857365,85,1064,542,134,2590,1245,104,18384,10140,98,18074,10850
4,42646,20260624134028346645,success,,,,67.975488,118,1026,195,285,2998,1476,123,17238,12408,155,19639,11381
5,56846,20260624134028346645,success,,,,67.235673,55,1081,196,149,2289,1487,132,17234,13596,132,16694,13341
6,71046,20260624134028346645,success,,,,66.647179,86,1066,183,152,3915,743,255,14998,13792,132,19484,10893
7,85246,20260624134028346645,success,,,,67.381378,119,1040,193,148,4547,1703,1115,18363,10286,124,18521,10362
8,99446,20260624134028346645,success,,,,70.679831,41,1084,193,135,5077,2510,150,15664,13404,154,18213,13099
9,113646,20260624134028346645,success,,,,67.134825,114,1040,186,287,2612,2963,1286,17473,10775,204,18207,10997
10,127846,20260624134028346645,success,,,,71.788028,72,1104,502,116,4180,1173,189,17276,12399,156,19766,9988
11,142046,20260624134028346645,success,,,,68.104587,119,1036,446,127,2117,1501,135,17385,10187,131,20352,13724
12,156246,20260624134028346645,success,,,,69.526141,128,1039,325,152,4764,1443,190,17287,10907,116,18414,13762
13,170446,20260624134028346645,success,,,,65.462878,71,1096,495,120,2882,1484,408,14435,11135,122,19509,12863
14,184646,20260624134028346645,success,,,,76.025962,139,1028,589,124,2575,1214,145,18705,12519,100,19937,13817
15,198846,20260624134028346645,success,,,,66.870932,92,1080,336,273,3567,2458,143,17327,11210,132,16102,13274
16,213046,20260624134028346645,success,,,,73.795535,73,1082,190,143,4257,1165,325,17102,12470,135,18306,13562
17,227246,20260624134028346645,success,,,,71.154595,94,1058,186,274,5545,1174,149,17408,11231,846,18354,13927
18,241446,20260624134028346645,success,,,,65.311884,141,1031,186,664,1539,778,161,17265,13676,131,17972,10890
19,255646,20260624134028346645,success,,,,71.368298,31,1108,359,594,4589,3002,181,14252,13450,136,18661,14138
20,269846,20260624134028346645,success,,,,72.794224,146,1054,200,144,2563,1178,161,15088,13315,148,19689,13649
21,284046,20260624134028346645,success,,,,69.772060,114,1040,868,121,2952,3509,171,18495,12559,89,18770,10209
22,298246,20260624134028346645,success,,,,69.148164,52,1082,338,141,2187,2161,161,15720,13574,127,19852,12771
23,312446,20260624134028346645,success,,,,69.548442,44,1094,184,142,4466,751,175,15188,13502,132,15735,12733
24,326646,20260624134028346645,success,,,,70.054096,76,1091,614,262,2276,3308,152,18661,10214,245,18168,14069
25,340846,20260624134028346645,success,,,,69.805387,114,1050,384,126,2107,1188,186,17263,13629,164,19600,13021
26,355046,20260624134028346645,success,,,,75.880045,93,1056,364,584,2346,1165,140,17462,13468,132,19734,13818
27,369246,20260624134028346645,success,,,,64.466497,97,1051,560,276,2235,2340,136,15694,12339,117,17996,10777
28,383446,20260624134028346645,success,,,,64.924722,56,1114,196,150,1531,2956,216,17247,12428,170,15908,10010
29,397646,20260624134028346645,success,,,,64.648495,56,1088,193,965,2709,1237,124,15059,10074,120,17901,14288
30,411846,20260624134028346645,success,,,,74.276123,60,1088,977,372,2559,1775,151,17218,12373,148,19813,10370
31,426046,20260624134028346645,success,,,,77.564028,41,1090,627,392,2650,1186,215,18449,13577,130,19930,12930
