trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,25,20260624134028346645,success,,,,4.535798,40,126,212,136,1286,340,24,656,483,25,371,467
2,14225,20260624134028346645,success,,,,3.979229,65,117,460,100,990,598,44,375,212,23,365,239
3,28425,20260624134028346645,success,,,,4.741756,87,103,222,139,1147,638,21,623,250,29,650,462
4,42625,20260624134028346645,success,,,,4.367905,80,104,201,128,1094,584,20,637,493,24,397,241
5,56825,20260624134028346645,success,,,,4.061721,87,110,224,121,1072,293,29,446,478,35,301,503
6,71025,20260624134028346645,success,,,,4.191766,79,106,238,135,1154,577,20,282,272,27,657,269
7,85225,20260624134028346645,success,,,,3.540913,38,130,232,131,729,483,24,462,288,26,387,250
8,99425,20260624134028346645,success,,,,4.717251,74,108,219,133,1186,613,25,640,472,22,386,467
9,113625,20260624134028346645,success,,,,4.297424,51,129,228,333,1119,624,17,370,486,25,378,180
10,127825,20260624134028346645,success,,,,4.583854,41,129,216,142,1203,603,21,403,291,28,651,495
11,142025,20260624134028346645,success,,,,4.069427,52,125,211,239,933,625,18,281,254,26,664,270
12,156225,20260624134028346645,success,,,,4.702337,53,128,216,127,1176,639,17,638,468,24,657,180
13,170425,20260624134028346645,success,,,,4.196562,87,102,223,122,1166,616,20,376,475,31,359,249
14,184625,20260624134028346645,success,,,,4.141882,66,114,243,133,1159,592,25,280,476,26,381,269
15,198825,20260624134028346645,success,,,,4.517057,80,110,223,245,1258,375,21,630,273,24,619,286
16,213025,20260624134028346645,success,,,,4.195769,39,124,459,113,1019,630,17,635,198,31,378,183
17,227225,20260624134028346645,success,,,,3.862299,48,125,218,231,848,419,23,448,184,27,647,270
18,241425,20260624134028346645,success,,,,3.931941,38,126,356,108,1120,562,21,380,218,25,391,211
19,255625,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,2.487257,47,123,230,131,1178,403,22,,,,,
20,269825,20260624134028346645,success,,,,4.451347,42,129,356,104,1023,296,24,696,488,24,620,275
21,284025,20260624134028346645,success,,,,4.702106,47,121,227,332,1010,570,20,628,496,27,377,479
22,298225,20260624134028346645,success,,,,4.056910,31,129,229,324,812,355,21,671,479,25,370,249
23,312425,20260624134028346645,success,,,,4.609540,67,125,349,111,1118,568,46,392,274,27,691,480
24,326625,20260624134028346645,success,,,,4.531427,34,130,357,106,1208,585,37,366,246,29,622,439
25,340825,20260624134028346645,success,,,,3.807421,36,133,231,131,704,483,36,707,273,31,396,258
26,355025,20260624134028346645,success,,,,3.938740,53,123,239,141,1216,300,27,320,194,27,644,271
27,369225,20260624134028346645,success,,,,4.223674,40,131,229,140,660,766,22,675,229,21,656,280
28,383425,20260624134028346645,success,,,,4.537719,74,108,477,87,1282,595,17,354,498,24,381,266
29,397625,20260624134028346645,success,,,,3.831849,47,127,223,133,736,572,34,706,270,29,302,275
30,411825,20260624134028346645,success,,,,4.667944,75,111,241,127,625,808,36,661,473,25,633,477
31,426025,20260624134028346645,success,,,,4.199024,66,114,222,125,1192,404,22,640,167,45,384,461
