trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,109,20260624134028346645,success,,,,66.379299,143,24461,961,762,3201,5399,849,7611,5807,1812,7250,3963
2,14309,20260624134028346645,success,,,,76.818865,266,24464,873,844,3306,5451,578,12667,5003,7077,7958,4623
3,28509,20260624134028346645,success,,,,75.541662,204,24367,873,1358,7637,5021,953,12993,4799,863,8252,4082
4,42709,20260624134028346645,success,,,,71.595360,116,24495,957,726,3443,6850,710,9727,5027,835,10662,4689
5,56909,20260624134028346645,success,,,,81.126856,203,24469,812,710,7630,6045,926,9368,4928,4632,8506,5766
6,71109,20260624134028346645,memory_limit_exceeded,,,,88.551263,,,,,,,,,,,,
7,85309,20260624134028346645,success,,,,68.472407,60,24405,965,823,3191,1905,1123,8637,5491,847,9821,5198
8,99509,20260624134028346645,success,,,,71.399840,409,24371,797,864,3173,1912,6727,9368,5593,868,10059,4092
9,113709,20260624134028346645,memory_limit_exceeded,,,,105.185994,,,,,,,,,,,,
10,127909,20260624134028346645,memory_limit_exceeded,,,,79.959520,,,,,,,,,,,,
11,142109,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,61.275712,321,24417,882,863,8674,5730,545,12444,5918,697,,
12,156309,20260624134028346645,memory_limit_exceeded,,,,68.372368,,,,,,,,,,,,
13,170509,20260624134028346645,memory_limit_exceeded,,,,80.258492,,,,,,,,,,,,
14,184709,20260624134028346645,memory_limit_exceeded,,,,74.848181,,,,,,,,,,,,
15,198909,20260624134028346645,success,,,,73.783506,209,24429,956,1119,3203,4656,1154,13472,4921,587,8942,6015
16,213109,20260624134028346645,memory_limit_exceeded,,,,70.310172,,,,,,,,,,,,
17,227309,20260624134028346645,memory_limit_exceeded,,,,78.129699,,,,,,,,,,,,
18,241509,20260624134028346645,memory_limit_exceeded,,,,81.637268,,,,,,,,,,,,
19,255709,20260624134028346645,memory_limit_exceeded,,,,87.069187,,,,,,,,,,,,
20,269909,20260624134028346645,memory_limit_exceeded,,,,94.964905,,,,,,,,,,,,
21,284109,20260624134028346645,memory_limit_exceeded,,,,68.215351,,,,,,,,,,,,
22,298309,20260624134028346645,success,,,,72.065564,281,24437,797,784,3412,1915,476,7628,4323,4430,14053,6259
23,312509,20260624134028346645,memory_limit_exceeded,,,,85.764993,,,,,,,,,,,,
24,326709,20260624134028346645,memory_limit_exceeded,,,,73.832748,,,,,,,,,,,,
25,340909,20260624134028346645,memory_limit_exceeded,,,,83.541691,,,,,,,,,,,,
26,355109,20260624134028346645,memory_limit_exceeded,,,,103.138109,,,,,,,,,,,,
27,369309,20260624134028346645,memory_limit_exceeded,,,,82.068855,,,,,,,,,,,,
28,383509,20260624134028346645,memory_limit_exceeded,,,,78.151638,,,,,,,,,,,,
29,397709,20260624134028346645,memory_limit_exceeded,,,,77.591263,,,,,,,,,,,,
30,411909,20260624134028346645,success,,,,71.004669,318,24385,897,747,3444,4668,848,10604,5324,508,9551,5465
31,426109,20260624134028346645,success,,,,74.851482,222,24499,760,734,8945,1995,4921,7217,4145,904,10124,4581
32,440309,20260624134028346645,success,,,,71.322046,104,24402,936,1319,3294,1762,523,9229,8426,700,9600,6625
33,454509,20260624134028346645,success,,,,75.936558,298,24363,912,710,7637,2082,821,7692,4143,845,17428,5636
34,468709,20260624134028346645,memory_limit_exceeded,,,,65.905161,,,,,,,,,,,,
35,482909,20260624134028346645,success,,,,79.137219,72,24421,972,902,3368,5581,5482,8835,5271,514,13228,6310
