trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,42,20260624134028346645,success,,,,6.668240,68,451,231,439,1944,1052,55,125,319,46,506,921
2,14242,20260624134028346645,success,,,,6.200990,31,450,205,163,1183,438,33,155,2391,50,502,98
3,28442,20260624134028346645,success,,,,12.756878,30,462,221,149,2582,1064,31,2793,1419,171,504,2803
4,42642,20260624134028346645,success,,,,8.596890,90,428,201,155,1938,1057,28,1296,624,47,442,1443
5,56842,20260624134028346645,success,,,,4.365013,48,474,407,275,931,990,77,120,82,46,161,310
6,71042,20260624134028346645,success,,,,7.918463,96,425,225,137,1937,710,30,453,1047,77,1282,339
7,85242,20260624134028346645,success,,,,3.911108,77,441,212,157,437,242,75,556,884,134,145,123
8,99442,20260624134028346645,success,,,,8.065440,113,409,385,292,1966,1046,33,487,275,45,2170,123
9,113642,20260624134028346645,success,,,,6.196386,98,413,333,139,1013,437,51,134,314,47,1314,1484
10,127842,20260624134028346645,success,,,,6.002649,124,409,210,142,443,468,54,537,1661,46,1365,111
11,142042,20260624134028346645,success,,,,4.941716,54,454,206,159,1047,423,83,501,280,64,138,1075
12,156242,20260624134028346645,success,,,,5.667185,115,412,206,148,1187,1444,28,449,283,65,514,374
13,170442,20260624134028346645,success,,,,5.348626,133,398,369,379,1601,742,36,152,261,67,470,279
14,184642,20260624134028346645,success,,,,5.693564,39,446,219,434,1554,399,31,145,85,53,501,809
15,198842,20260624134028346645,success,,,,13.578056,50,438,222,376,2691,706,90,7870,85,41,437,104
16,213042,20260624134028346645,success,,,,6.597001,112,410,208,692,1431,440,28,838,1143,41,133,128
17,227242,20260624134028346645,success,,,,6.427344,88,439,355,266,987,1174,30,476,1055,42,137,934
18,241442,20260624134028346645,success,,,,3.773879,89,439,206,144,912,224,42,154,590,43,161,321
19,255642,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,4.719579,135,415,206,138,1544,1087,54,444,282,64,,
20,269842,20260624134028346645,success,,,,7.952613,69,457,361,133,1964,1051,39,171,1675,40,513,104
21,284042,20260624134028346645,success,,,,7.141055,70,446,241,139,1461,567,33,454,2288,225,445,317
22,298242,20260624134028346645,success,,,,3.789833,73,438,223,132,911,442,42,495,289,41,162,107
23,312442,20260624134028346645,success,,,,3.923892,86,418,453,251,926,787,33,122,95,43,132,124
24,326642,20260624134028346645,success,,,,4.535454,74,419,210,149,1927,408,28,128,94,49,461,114
25,340842,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,5.066579,126,415,218,134,1212,1113,32,133,822,141,,
26,355042,20260624134028346645,success,,,,4.061361,47,446,218,393,1362,207,28,147,308,48,138,290
27,369242,20260624134028346645,success,,,,6.585831,74,444,214,150,1453,705,31,485,85,46,475,1974
28,383442,20260624134028346645,success,,,,7.324908,76,428,387,132,1463,1657,25,1329,295,88,139,105
29,397642,20260624134028346645,success,,,,11.325984,44,447,387,133,1446,1091,45,452,2189,66,2204,1719
30,411842,20260624134028346645,success,,,,5.831908,110,409,206,142,1898,1068,26,127,300,47,485,570
31,426042,20260624134028346645,success,,,,6.937012,90,420,368,262,1305,217,112,2446,86,46,829,278
32,440242,20260624134028346645,success,,,,5.255889,68,446,219,142,1944,1066,32,152,86,76,471,109
33,454442,20260624134028346645,success,,,,7.896411,104,418,494,257,921,761,31,2023,835,39,496,926
34,468642,20260624134028346645,success,,,,6.317519,127,402,209,292,1942,918,31,1215,124,40,440,141
35,482842,20260624134028346645,success,,,,6.121876,59,448,213,144,1451,733,33,122,117,45,2012,319
36,497042,20260624134028346645,success,,,,4.373297,90,432,218,146,1523,722,51,156,93,49,173,303
37,511242,20260624134028346645,success,,,,7.942251,49,465,213,127,934,1172,37,478,263,70,3360,122
38,525442,20260624134028346645,success,,,,6.667063,48,447,354,128,3369,417,41,124,753,46,140,356
39,539642,20260624134028346645,java_exception,failure,A3,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,1.065253,47,454,215,,,,,,,,,
40,553842,20260624134028346645,success,,,,6.399460,45,464,200,169,1952,697,29,130,84,45,1715,365
41,568042,20260624134028346645,success,,,,11.410643,100,408,216,143,1935,1055,33,2597,270,42,3098,900
42,582242,20260624134028346645,success,,,,6.763106,35,465,230,400,997,1173,160,2068,128,48,517,98
43,596442,20260624134028346645,success,,,,8.465180,96,437,211,143,1954,1043,31,3426,100,138,194,115
44,610642,20260624134028346645,success,,,,6.002957,90,412,374,293,1318,429,33,134,308,49,2019,100
45,624842,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,2.685710,113,412,358,133,926,213,190,,,,,
46,639042,20260624134028346645,success,,,,5.460603,67,436,645,263,1465,1067,51,440,83,38,129,313
47,653242,20260624134028346645,success,,,,9.738018,138,399,625,119,1029,784,231,119,1290,65,3959,123
48,667442,20260624134028346645,success,,,,7.901129,119,406,223,291,2201,218,33,460,87,107,171,2098
49,681642,20260624134028346645,success,,,,11.707294,83,431,222,381,1034,790,103,3328,2475,84,136,867
50,695842,20260624134028346645,success,,,,4.027486,32,467,220,253,430,1089,38,132,107,50,478,316
