trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,26,20260624134028346645,success,,,,5.154408,37,345,185,317,1146,1001,24,543,386,25,532,245
2,14226,20260624134028346645,success,,,,4.375804,51,325,190,215,676,953,29,450,289,49,396,400
3,28426,20260624134028346645,success,,,,5.302203,41,321,191,125,993,1121,41,550,586,66,522,373
4,42626,20260624134028346645,success,,,,5.379916,39,346,192,123,786,366,23,638,1287,28,878,316
5,56826,20260624134028346645,success,,,,5.233059,52,347,176,118,1501,681,22,523,394,25,713,319
6,71026,20260624134028346645,success,,,,4.133417,28,362,184,219,880,265,30,707,366,32,412,263
7,85226,20260624134028346645,success,,,,6.163421,37,342,378,95,2167,1066,41,532,400,26,436,279
8,99426,20260624134028346645,success,,,,4.748331,42,325,195,123,831,474,26,605,1056,27,419,253
9,113626,20260624134028346645,success,,,,4.440840,35,339,184,111,822,593,38,437,295,24,566,612
10,127826,20260624134028346645,success,,,,4.309359,44,337,194,121,1097,341,27,440,279,28,417,624
11,142026,20260624134028346645,success,,,,5.262973,48,316,193,522,930,430,91,591,401,27,589,289
12,156226,20260624134028346645,success,,,,5.019128,88,304,167,120,1890,410,24,527,394,30,420,294
13,170426,20260624134028346645,success,,,,6.502388,87,310,191,519,1888,318,35,1651,284,29,421,406
14,184626,20260624134028346645,success,,,,4.479305,30,332,193,370,717,360,45,639,392,26,590,405
15,198826,20260624134028346645,success,,,,5.149300,34,328,316,109,1866,202,51,428,372,25,418,631
16,213026,20260624134028346645,success,,,,4.331422,29,366,186,119,992,586,22,445,293,29,598,268
17,227226,20260624134028346645,success,,,,4.793213,83,291,180,108,1218,391,35,553,707,29,421,406
18,241426,20260624134028346645,success,,,,4.626150,54,318,389,90,827,353,25,721,274,29,715,465
19,255626,20260624134028346645,success,,,,5.299440,63,320,193,212,1999,388,23,718,277,25,440,269
20,269826,20260624134028346645,success,,,,5.770933,42,332,189,116,2161,305,23,557,296,28,897,456
21,284026,20260624134028346645,success,,,,4.895579,75,326,174,120,808,371,26,486,635,26,1059,410
22,298226,20260624134028346645,success,,,,4.469721,48,346,175,114,939,670,37,559,375,30,392,420
23,312426,20260624134028346645,success,,,,4.600168,49,343,182,150,802,367,26,1132,294,30,619,240
24,326626,20260624134028346645,success,,,,7.635267,33,355,294,401,925,460,39,898,590,24,1991,441
25,340826,20260624134028346645,success,,,,5.325564,51,318,197,114,1919,493,20,424,396,27,565,427
26,355026,20260624134028346645,success,,,,5.658654,42,323,203,121,854,1408,25,721,265,56,760,494
27,369226,20260624134028346645,success,,,,4.378053,77,317,177,488,759,347,24,481,315,35,712,280
28,383426,20260624134028346645,success,,,,4.464337,38,329,192,114,1273,339,30,562,387,26,519,292
29,397626,20260624134028346645,success,,,,6.037044,46,312,429,586,1244,758,31,1169,302,25,394,364
30,411826,20260624134028346645,success,,,,5.753227,49,337,305,182,2186,204,25,534,279,26,435,815
31,426026,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,2.573518,38,342,183,234,1055,332,40,,,,,
32,440226,20260624134028346645,success,,,,4.546148,81,302,179,118,1028,474,25,472,402,27,422,645
33,454426,20260624134028346645,success,,,,4.741493,66,314,186,117,791,605,40,570,713,26,417,495
34,468626,20260624134028346645,success,,,,4.945788,56,307,403,90,781,440,26,481,405,24,1047,499
35,482826,20260624134028346645,success,,,,5.662826,30,358,183,213,1357,1437,19,514,404,27,429,319
36,497026,20260624134028346645,success,,,,4.493295,37,341,308,545,949,308,26,587,266,30,427,301
37,511226,20260624134028346645,success,,,,5.505472,52,339,181,112,815,853,38,382,830,29,1177,324
38,525426,20260624134028346645,success,,,,4.642822,33,347,300,122,994,622,23,581,278,25,560,399
39,539626,20260624134028346645,success,,,,4.789561,63,325,176,328,950,610,42,390,540,34,556,417
40,553826,20260624134028346645,success,,,,4.112837,45,313,191,122,533,688,25,520,393,27,596,309
41,568026,20260624134028346645,success,,,,6.214207,30,352,189,122,819,897,29,1515,694,34,546,593
42,582226,20260624134028346645,success,,,,4.390532,34,336,295,198,1186,333,24,418,365,29,412,391
43,596426,20260624134028346645,success,,,,5.655515,45,333,189,117,928,582,28,438,279,36,864,1445
44,610626,20260624134028346645,success,,,,5.544946,48,318,558,93,1015,347,46,937,284,23,404,442
45,624826,20260624134028346645,success,,,,4.246904,39,343,187,122,807,485,62,694,295,26,431,379
46,639026,20260624134028346645,success,,,,4.317089,47,333,181,215,1052,349,26,464,385,27,583,303
47,653226,20260624134028346645,success,,,,5.596167,79,321,415,80,1009,479,23,905,302,25,552,395
48,667426,20260624134028346645,success,,,,4.133407,54,320,177,115,523,551,28,514,412,24,727,319
49,681626,20260624134028346645,success,,,,4.449285,78,314,728,83,767,579,29,463,296,31,423,286
50,695826,20260624134028346645,success,,,,4.528306,30,348,311,114,1236,342,44,452,289,30,420,524
51,710026,20260624134028346645,success,,,,4.362234,50,360,184,126,962,235,26,603,289,45,734,376
52,724226,20260624134028346645,success,,,,4.630134,80,318,181,219,1271,357,28,545,296,32,531,401
53,738426,20260624134028346645,success,,,,4.242691,38,346,181,295,800,469,26,612,385,27,422,281
54,752626,20260624134028346645,success,,,,4.267797,55,308,312,108,509,584,28,633,493,29,569,289
55,766826,20260624134028346645,success,,,,4.986332,55,311,485,102,1111,630,24,725,270,60,521,316
56,781026,20260624134028346645,success,,,,5.449223,50,337,181,216,1300,784,29,549,381,24,414,819
57,795226,20260624134028346645,success,,,,4.485859,39,326,313,107,895,260,26,715,280,28,553,580
58,809426,20260624134028346645,success,,,,4.919076,52,317,198,116,1592,391,24,436,379,26,431,597
59,823626,20260624134028346645,success,,,,3.979074,51,327,178,225,671,519,64,532,314,28,426,298
60,837826,20260624134028346645,success,,,,5.244617,38,323,194,224,943,608,26,1384,251,27,538,327
61,852026,20260624134028346645,success,,,,4.719517,61,325,295,107,863,497,23,488,379,28,890,400
62,866226,20260624134028346645,success,,,,4.855298,50,339,178,282,880,462,37,601,630,24,412,601
63,880426,20260624134028346645,success,,,,5.626796,66,305,291,207,2028,501,36,616,278,25,620,277
64,894626,20260624134028346645,success,,,,4.170984,30,333,193,126,992,334,22,665,281,29,535,281
65,908826,20260624134028346645,success,,,,4.833618,58,316,188,239,516,1544,30,398,406,66,425,280
66,923026,20260624134028346645,success,,,,4.347728,44,339,286,113,1057,566,24,561,277,27,426,274
67,937226,20260624134028346645,success,,,,4.717100,30,341,192,214,1239,231,29,465,429,47,416,731
68,951426,20260624134028346645,success,,,,4.939434,38,345,189,122,809,487,26,502,1305,43,379,330
69,965626,20260624134028346645,success,,,,4.977221,36,362,187,110,596,366,51,650,851,25,871,502
70,979826,20260624134028346645,success,,,,5.596499,50,322,177,124,1071,238,47,1928,278,27,537,374
71,994026,20260624134028346645,success,,,,4.544830,38,339,402,86,777,507,26,645,290,29,739,299
72,1008226,20260624134028346645,success,,,,6.267810,32,332,193,342,1984,470,23,1023,444,32,630,395
73,1022426,20260624134028346645,success,,,,4.745195,68,316,296,110,1509,360,27,538,408,27,426,288
74,1036626,20260624134028346645,success,,,,5.592196,37,332,199,235,681,822,33,574,318,25,1687,274
75,1050826,20260624134028346645,success,,,,5.965488,51,317,193,218,1995,1035,32,546,368,30,475,343
76,1065026,20260624134028346645,success,,,,4.737973,51,320,296,365,819,498,35,617,464,30,586,289
77,1079226,20260624134028346645,success,,,,4.838748,50,312,179,483,951,578,32,547,298,27,636,392
78,1093426,20260624134028346645,success,,,,4.873991,53,304,477,257,1088,377,37,542,436,25,514,401
79,1107626,20260624134028346645,success,,,,5.332538,47,319,307,132,666,913,26,662,603,46,413,831
80,1121826,20260624134028346645,success,,,,6.318312,29,333,186,118,1676,1228,35,651,437,31,617,591
81,1136026,20260624134028346645,success,,,,4.596142,93,311,288,113,924,601,27,420,285,53,693,419
82,1150226,20260624134028346645,success,,,,4.322172,41,352,571,82,803,350,25,694,286,33,438,293
83,1164426,20260624134028346645,success,,,,4.159055,53,308,417,89,789,387,76,508,298,39,406,409
84,1178626,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,2.559419,37,324,190,117,1154,350,46,,,,,
85,1192826,20260624134028346645,success,,,,4.797525,47,314,195,228,698,1147,23,608,386,79,391,306
86,1207026,20260624134028346645,success,,,,5.313147,48,309,304,325,838,1245,23,438,383,45,592,411
87,1221226,20260624134028346645,success,,,,4.322191,54,312,190,227,889,356,45,652,389,33,526,278
88,1235426,20260624134028346645,success,,,,4.257181,29,333,560,90,806,362,28,490,321,32,564,262
89,1249626,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,5.153992,39,344,201,209,932,361,33,2310,288,79,,
90,1263826,20260624134028346645,success,,,,4.870356,59,344,441,94,1073,470,42,400,521,32,407,614
91,1278026,20260624134028346645,success,,,,5.975690,39,334,188,225,2597,309,20,589,421,64,563,251
92,1292226,20260624134028346645,success,,,,6.243604,37,342,283,114,500,828,26,2194,282,30,425,812
93,1306426,20260624134028346645,success,,,,5.116867,33,335,394,90,1482,317,39,431,277,27,1040,289
94,1320626,20260624134028346645,success,,,,4.974607,42,332,187,121,1185,1088,19,541,247,25,535,273
95,1334826,20260624134028346645,success,,,,5.244586,54,333,182,237,865,598,23,460,826,33,853,411
96,1349026,20260624134028346645,success,,,,6.108878,47,331,181,115,2220,368,39,393,392,25,1390,238
97,1363226,20260624134028346645,success,,,,4.491678,44,337,174,116,1122,499,32,424,512,37,526,317
98,1377426,20260624134028346645,success,,,,4.985857,52,336,285,121,674,677,25,645,273,28,1217,282
99,1391626,20260624134028346645,success,,,,4.759929,76,317,171,125,803,368,25,1151,385,24,543,376
100,1405826,20260624134028346645,success,,,,4.585332,43,331,195,121,1170,397,65,741,302,25,428,396
101,1420026,20260624134028346645,success,,,,5.744604,72,330,180,223,1440,1424,20,417,405,36,404,425
102,1434226,20260624134028346645,success,,,,5.742007,42,326,186,119,2516,344,26,530,452,26,543,266
103,1448426,20260624134028346645,success,,,,5.386097,54,315,192,413,1025,422,89,571,396,27,913,343
