trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,43,20260624134028346645,success,,,,12.534776,49,911,281,229,4264,707,45,675,451,50,3938,439
2,14243,20260624134028346645,success,,,,6.473854,55,902,270,417,1442,1155,43,634,425,61,194,429
3,28443,20260624134028346645,success,,,,8.238014,78,894,277,236,2480,1336,33,683,398,83,756,503
4,42643,20260624134028346645,success,,,,8.495892,41,898,508,198,1767,1476,37,701,1600,58,260,460
5,56843,20260624134028346645,success,,,,14.506555,72,885,794,204,2290,821,65,711,443,52,5560,546
6,71043,20260624134028346645,success,,,,10.836632,77,894,253,241,1368,2853,52,148,1643,53,748,1411
7,85243,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,7.007533,114,857,282,415,2513,679,44,690,944,107,,
8,99443,20260624134028346645,success,,,,11.285604,48,911,261,257,1459,1914,53,647,667,64,4159,160
9,113643,20260624134028346645,success,,,,8.420820,69,914,293,237,1765,1907,29,626,438,48,718,553
10,127843,20260624134028346645,success,,,,21.311735,52,881,269,227,2090,2841,75,3916,446,56,9105,648
11,142043,20260624134028346645,success,,,,9.008112,75,890,293,434,1530,1314,248,1895,450,53,842,443
12,156243,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,5.085845,105,852,511,196,1553,1364,135,,,,,
13,170443,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,9.260914,56,910,274,247,2883,1378,36,2509,475,110,,
14,184643,20260624134028346645,success,,,,7.864190,109,874,287,230,2280,1130,46,672,464,53,758,462
15,198843,20260624134028346645,success,,,,9.200611,130,844,289,229,3030,825,39,683,1332,101,796,435
16,213043,20260624134028346645,success,,,,14.679817,45,903,276,591,2327,4644,94,2959,192,64,705,1389
17,227243,20260624134028346645,success,,,,12.356471,100,851,268,396,3053,1295,33,187,4534,54,668,426
18,241443,20260624134028346645,success,,,,13.995061,75,886,476,195,2480,551,50,105,396,50,7178,503
19,255643,20260624134028346645,success,,,,6.851850,68,889,288,244,1571,1395,33,634,80,59,709,430
20,269843,20260624134028346645,success,,,,8.643132,62,898,289,242,2135,278,39,2389,468,48,819,491
21,284043,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,7.282535,115,877,252,234,3036,1508,27,104,661,79,,
22,298243,20260624134028346645,success,,,,7.742786,72,883,269,229,2130,1718,39,751,456,64,142,513
23,312443,20260624134028346645,success,,,,8.299826,83,867,510,200,2458,1919,33,666,433,68,223,206
24,326643,20260624134028346645,success,,,,13.438767,41,917,275,231,3125,721,42,107,424,55,4662,2359
25,340843,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,4.985512,102,883,417,233,2289,623,80,,,,,
26,355043,20260624134028346645,success,,,,10.795770,31,926,270,244,1471,725,49,3093,424,101,2556,450
27,369243,20260624134028346645,success,,,,10.092778,31,919,292,247,3095,1747,38,257,449,51,734,1772
28,383443,20260624134028346645,success,,,,9.956706,91,873,282,227,2930,1072,33,695,435,45,802,1989
29,397643,20260624134028346645,success,,,,8.327364,36,919,264,432,3053,737,31,707,425,116,683,442
30,411843,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,13.057373,103,868,695,196,8905,1341,76,,,,,
31,426043,20260624134028346645,success,,,,7.807038,102,870,281,534,2390,1095,43,208,503,58,763,452
32,440243,20260624134028346645,success,,,,7.953871,96,865,266,599,2291,704,32,682,79,56,688,487
33,454443,20260624134028346645,success,,,,9.318731,70,891,287,600,2123,1303,48,674,459,49,744,1072
34,468643,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,9.260183,91,864,274,234,3159,1413,39,691,2041,66,,
35,482843,20260624134028346645,success,,,,7.256841,103,855,287,242,1473,2029,30,182,406,59,714,440
36,497043,20260624134028346645,success,,,,13.324865,76,897,276,229,7414,1329,37,744,554,63,724,509
37,511243,20260624134028346645,success,,,,10.455935,103,871,575,196,2394,1107,40,658,708,46,754,2539
38,525443,20260624134028346645,success,,,,6.413487,47,911,280,228,791,1369,69,638,437,55,662,479
39,539643,20260624134028346645,success,,,,12.429353,120,856,485,209,1409,810,48,670,432,68,5560,1295
40,553843,20260624134028346645,success,,,,12.133087,83,868,264,270,3615,2906,45,840,423,45,754,480
41,568043,20260624134028346645,success,,,,9.022346,93,860,922,217,2817,1093,33,737,132,94,687,181
42,582243,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,7.988328,78,873,258,422,4542,1400,38,,,,,
43,596443,20260624134028346645,success,,,,8.271962,35,902,436,219,1616,697,42,719,1900,55,704,441
44,610643,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,5.950390,74,896,270,439,2459,302,29,656,423,55,,
45,624843,20260624134028346645,success,,,,18.596806,94,867,272,232,1427,2279,44,4483,429,50,6879,523
46,639043,20260624134028346645,success,,,,7.026731,87,854,253,257,1379,1990,70,623,387,91,122,435
47,653243,20260624134028346645,success,,,,19.204163,69,884,284,221,3171,731,40,710,965,53,6176,3445
48,667443,20260624134028346645,success,,,,11.410731,71,886,252,409,2163,639,44,4917,78,49,725,115
49,681643,20260624134028346645,success,,,,15.314597,74,873,268,227,9377,1320,80,756,483,71,742,560
50,695843,20260624134028346645,java_exception,failure,A3,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,1.815955,102,857,495,,,,,,,,,
51,710043,20260624134028346645,success,,,,9.311598,43,899,443,215,1620,2672,47,748,401,91,699,472
52,724243,20260624134028346645,success,,,,10.214608,98,876,469,411,2780,286,60,657,2032,62,767,432
53,738443,20260624134028346645,success,,,,17.095346,72,888,279,242,1319,1343,37,2599,422,60,9250,105
54,752643,20260624134028346645,success,,,,7.405215,81,885,278,226,1348,1140,44,644,459,76,1101,511
55,766843,20260624134028346645,success,,,,8.152298,42,906,785,197,2463,606,40,682,415,53,744,496
56,781043,20260624134028346645,success,,,,8.954658,69,883,258,250,2238,1473,36,633,408,97,736,1398
57,795243,20260624134028346645,success,,,,14.536148,87,863,273,238,8478,1794,45,726,108,132,809,486
