trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,47,20260624134028346645,time_limit_exceeded,timeout,B7,Repair timeout: B7 exceeded 300 seconds,313.302413,104,1209,319,242,4594,3272,224,1754,1150,300001,,
2,14247,20260624134028346645,time_limit_exceeded,timeout,B7,Repair timeout: B7 exceeded 300 seconds,324.019446,112,1197,502,251,4782,3203,209,7750,5576,300001,,
3,28447,20260624134028346645,time_limit_exceeded,timeout,B7,Repair timeout: B7 exceeded 300 seconds,320.274711,66,1218,263,443,715,3523,72,7841,5691,300001,,
4,42647,20260624134028346645,success,,,,31.409216,98,1209,317,440,1284,3277,199,8917,5586,212,7826,1327
5,56847,20260624134028346645,success,,,,23.346371,102,1215,306,260,765,3465,95,1725,5242,148,8013,1361
6,71047,20260624134028346645,success,,,,40.317194,39,1250,310,233,4632,3272,242,7860,6561,175,7833,5339
7,85247,20260624134028346645,success,,,,33.346616,141,1174,450,230,4622,3266,185,7807,1081,289,7736,5660
8,99447,20260624134028346645,time_limit_exceeded,timeout,B4,Repair timeout: B4 exceeded 300 seconds,310.671177,54,1253,489,403,4632,3426,300001,,,,,
9,113647,20260624134028346645,success,,,,20.154733,103,1221,309,254,4467,762,147,8064,1204,148,1644,1143
10,127847,20260624134028346645,success,,,,21.144396,126,1155,486,250,3294,2040,219,1702,1120,249,7800,1122
11,142047,20260624134028346645,success,,,,27.303935,129,1181,520,240,3318,2059,82,1736,1065,175,7848,6409
12,156247,20260624134028346645,success,,,,34.283997,122,1208,454,631,1236,3599,146,7394,5538,122,7482,5619
13,170447,20260624134028346645,time_limit_exceeded,timeout,B7,Repair timeout: B7 exceeded 300 seconds,319.706667,45,1260,306,439,4887,3241,194,7837,1060,300001,,
14,184647,20260624134028346645,time_limit_exceeded,timeout,B7,Repair timeout: B7 exceeded 300 seconds,318.051246,119,1196,318,448,4617,3296,305,1742,5582,300001,,
15,198847,20260624134028346645,success,,,,27.480435,90,1210,306,388,4927,3343,276,1693,1065,207,7675,5641
16,213047,20260624134028346645,success,,,,23.332619,35,1259,318,259,739,3445,323,1710,5382,226,7870,1074
17,227247,20260624134028346645,success,,,,28.493749,134,1175,479,397,4618,538,137,7816,5153,79,1632,5607
18,241447,20260624134028346645,success,,,,36.719857,61,1231,511,423,4825,2071,175,7852,5628,99,7527,5633
19,255647,20260624134028346645,success,,,,35.590420,85,1228,307,383,725,2153,388,8079,5629,260,7653,5751
