trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,23,20260624134028346645,java_exception,failure,A3,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,0.768220,71,153,198,,,,,,,,,
2,14223,20260624134028346645,java_exception,failure,B1,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,0.891234,83,153,182,119,,,,,,,,
3,28423,20260624134028346645,success,,,,4.941619,64,157,184,211,983,807,27,823,630,35,362,287
4,42623,20260624134028346645,java_exception,failure,B1,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,0.877999,26,191,195,120,,,,,,,,
5,56823,20260624134028346645,success,,,,5.314753,67,146,297,172,1480,751,23,384,628,25,383,605
6,71023,20260624134028346645,java_exception,failure,A3,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,0.762351,71,164,185,,,,,,,,,
7,85223,20260624134028346645,java_exception,failure,A3,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,0.959545,88,133,402,,,,,,,,,
8,99423,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,4.031295,88,143,203,208,1035,846,33,822,281,26,,
9,113623,20260624134028346645,success,,,,6.262663,37,172,330,162,1912,352,21,775,602,35,765,697
10,127823,20260624134028346645,java_exception,failure,B1,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,0.953051,87,137,192,186,,,,,,,,
11,142023,20260624134028346645,success,,,,5.071201,34,176,311,82,1563,384,22,402,273,49,810,594
12,156223,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,4.748659,44,166,195,347,1448,711,22,788,638,37,,
13,170423,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,2.900972,95,140,180,302,1434,367,23,,,,,
14,184623,20260624134028346645,success,,,,4.372379,31,175,198,118,995,611,29,879,278,32,387,274
15,198823,20260624134028346645,java_exception,failure,A3,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,0.922689,46,168,375,,,,,,,,,
16,213023,20260624134028346645,success,,,,5.882910,64,168,182,130,1444,384,23,415,598,25,780,602
17,227223,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,2.235526,31,177,196,111,920,424,32,,,,,
18,241423,20260624134028346645,java_exception,failure,A3,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,1.002623,52,156,443,,,,,,,,,
19,255623,20260624134028346645,success,,,,6.336843,89,143,185,184,1596,729,20,781,285,25,823,610
20,269823,20260624134028346645,success,,,,4.831151,43,169,204,193,1080,460,34,875,276,24,793,295
21,284023,20260624134028346645,success,,,,5.167873,29,198,194,115,938,840,22,788,281,27,772,597
22,298223,20260624134028346645,success,,,,4.937680,97,137,297,151,937,641,81,870,620,24,389,294
23,312423,20260624134028346645,success,,,,6.863093,26,183,202,114,1592,730,26,780,629,27,776,638
24,326623,20260624134028346645,success,,,,4.589006,79,143,184,112,1009,443,39,459,659,29,795,288
25,340823,20260624134028346645,success,,,,4.591642,80,146,194,117,899,469,25,884,278,24,824,293
26,355023,20260624134028346645,success,,,,3.985490,64,162,177,119,1011,594,43,436,279,29,399,272
27,369223,20260624134028346645,success,,,,4.461343,67,155,197,120,923,435,27,452,652,31,392,645
28,383423,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,2.260409,31,185,197,123,943,412,24,,,,,
29,397623,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,2.738596,65,154,296,77,1316,440,41,,,,,
30,411823,20260624134028346645,success,,,,4.112298,44,176,387,84,1041,588,32,431,280,25,377,293
31,426023,20260624134028346645,success,,,,4.569147,49,164,182,114,1027,455,33,459,654,34,406,640
32,440223,20260624134028346645,success,,,,5.013941,91,141,182,113,1504,410,23,807,257,26,790,303
33,454423,20260624134028346645,success,,,,5.234821,52,171,181,208,1107,623,41,841,625,28,383,598
34,468623,20260624134028346645,success,,,,4.824453,40,178,496,85,1112,417,36,421,664,29,385,592
35,482823,20260624134028346645,success,,,,5.239282,66,155,182,124,1512,383,21,805,598,30,388,595
36,497023,20260624134028346645,success,,,,5.479719,50,169,187,208,1599,395,36,799,288,26,757,614
37,511223,20260624134028346645,success,,,,4.474998,81,158,184,118,908,429,23,457,651,26,792,281
38,525423,20260624134028346645,success,,,,4.795135,40,178,199,120,1227,450,23,423,282,28,867,606
39,539623,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,3.294223,62,157,405,91,1042,403,26,455,295,26,,
40,553823,20260624134028346645,success,,,,5.047717,64,154,320,164,941,815,28,822,274,35,795,265
41,568023,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,3.452520,81,142,194,198,1117,628,34,421,274,28,,
42,582223,20260624134028346645,success,,,,5.024178,27,170,322,87,1067,846,25,806,631,28,362,279
43,596423,20260624134028346645,success,,,,5.912003,38,179,188,115,1475,730,33,789,272,38,805,663
44,610623,20260624134028346645,success,,,,4.614058,73,154,187,186,999,851,26,428,279,35,399,625
45,624823,20260624134028346645,success,,,,5.973456,74,142,187,120,1202,403,27,876,635,27,765,643
46,639023,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,4.111552,59,160,559,57,970,850,52,401,630,38,,
47,653223,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,2.259239,72,142,184,124,938,425,25,,,,,
48,667423,20260624134028346645,success,,,,3.964281,44,166,301,90,1065,432,35,424,294,44,404,289
49,681623,20260624134028346645,success,,,,5.250721,66,147,189,194,1301,407,48,1245,591,25,372,264
50,695823,20260624134028346645,success,,,,4.576323,61,148,199,201,1311,439,26,866,258,48,395,267
51,710023,20260624134028346645,success,,,,3.934098,37,183,290,86,1029,438,28,448,292,33,406,278
52,724223,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,2.658927,62,150,196,283,952,627,36,,,,,
53,738423,20260624134028346645,success,,,,4.538276,33,174,190,113,1482,435,27,404,598,28,391,288
54,752623,20260624134028346645,success,,,,4.466124,69,163,201,122,926,434,22,447,655,33,393,619
55,766823,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,2.904979,84,143,200,198,1295,594,38,,,,,
56,781023,20260624134028346645,success,,,,4.704526,52,163,199,197,1560,762,21,382,274,29,404,293
57,795223,20260624134028346645,success,,,,4.115389,28,183,207,120,923,856,25,390,278,39,409,292
58,809423,20260624134028346645,success,,,,5.101759,64,159,473,166,1061,588,27,860,661,28,361,281
59,823623,20260624134028346645,success,,,,6.253706,51,163,196,275,1492,405,23,838,619,26,793,637
60,837823,20260624134028346645,success,,,,6.446915,52,156,195,188,1283,593,29,866,607,35,762,652
61,852023,20260624134028346645,success,,,,4.548201,60,158,177,122,936,432,34,442,689,43,793,293
62,866223,20260624134028346645,success,,,,5.114288,90,129,191,104,1051,640,33,859,622,30,385,602
63,880423,20260624134028346645,java_exception,failure,B1,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,1.020778,60,149,312,155,,,,,,,,
64,894623,20260624134028346645,java_exception,failure,B1,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,0.884746,67,166,185,125,,,,,,,,
65,908823,20260624134028346645,success,,,,4.841234,46,159,209,111,1505,726,38,384,623,24,372,276
66,923023,20260624134028346645,java_exception,failure,A3,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,0.921128,68,157,350,,,,,,,,,
67,937223,20260624134028346645,success,,,,4.846955,102,124,181,204,1115,600,29,424,688,31,398,598
68,951423,20260624134028346645,success,,,,5.058468,31,178,198,116,1004,436,51,896,280,24,1178,298
69,965623,20260624134028346645,success,,,,6.051092,32,182,193,113,1473,710,29,407,626,27,1137,695
70,979823,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,2.719312,78,141,305,170,1227,418,46,,,,,
71,994023,20260624134028346645,success,,,,5.285019,49,173,189,400,1505,378,28,798,283,28,799,291
72,1008223,20260624134028346645,success,,,,4.708963,38,169,193,199,1018,428,42,461,284,40,837,616
73,1022423,20260624134028346645,success,,,,5.514354,87,145,377,172,874,469,40,902,600,26,805,312
74,1036623,20260624134028346645,success,,,,5.211759,36,175,202,121,1209,580,33,391,662,34,800,597
75,1050823,20260624134028346645,success,,,,5.335204,41,170,293,89,1023,855,38,410,920,26,798,276
76,1065023,20260624134028346645,success,,,,5.030487,45,170,371,191,898,402,25,449,698,29,787,592
77,1079223,20260624134028346645,success,,,,5.151788,39,171,197,218,1550,385,42,872,293,29,389,599
78,1093423,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,2.732227,52,172,171,129,946,862,53,,,,,
79,1107623,20260624134028346645,java_exception,failure,A3,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,0.756203,51,183,179,,,,,,,,,
80,1121823,20260624134028346645,success,,,,4.340721,64,152,391,173,958,383,37,459,280,26,382,661
81,1136023,20260624134028346645,success,,,,5.323899,56,150,199,124,1575,731,21,767,293,26,372,619
82,1150223,20260624134028346645,success,,,,5.082124,55,166,284,85,1054,452,24,914,623,37,388,627
83,1164423,20260624134028346645,success,,,,4.538082,76,157,193,107,910,428,25,918,257,25,784,290
84,1178623,20260624134028346645,success,,,,5.219748,85,150,207,362,1537,744,29,399,294,26,387,614
85,1192823,20260624134028346645,success,,,,4.290120,40,172,189,119,1020,443,40,440,296,30,842,289
86,1207023,20260624134028346645,success,,,,4.785247,64,163,199,279,953,427,26,924,275,34,788,290
87,1221223,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,2.840187,44,159,326,84,1273,583,24,,,,,
88,1235423,20260624134028346645,success,,,,6.000542,68,156,324,228,1120,587,28,838,599,28,392,599
89,1249623,20260624134028346645,success,,,,4.187721,62,146,194,122,927,413,31,449,301,26,870,284
90,1263823,20260624134028346645,success,,,,5.207993,72,145,187,121,1507,761,20,381,629,28,385,600
91,1278023,20260624134028346645,success,,,,4.775434,96,128,399,262,1228,383,23,894,280,35,392,289
92,1292223,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,3.611624,41,167,199,211,995,437,41,463,675,33,,
93,1306423,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,2.941416,44,169,188,211,1598,376,18,,,,,
94,1320623,20260624134028346645,success,,,,5.363128,66,145,298,76,1304,459,30,877,267,25,810,640
95,1334823,20260624134028346645,java_exception,failure,A3,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,0.757708,89,135,190,,,,,,,,,
96,1349023,20260624134028346645,success,,,,4.574307,59,163,302,90,1008,851,23,402,281,25,393,603
97,1363223,20260624134028346645,java_exception,failure,B1,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,0.865655,46,155,208,116,,,,,,,,
98,1377423,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,3.867950,63,154,201,117,1225,580,25,868,268,28,,
99,1391623,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,4.273112,44,168,183,222,1001,810,27,805,592,57,,
100,1405823,20260624134028346645,success,,,,5.446069,32,186,433,85,1467,725,19,768,290,30,774,277
101,1420023,20260624134028346645,success,,,,4.951256,76,147,205,293,1483,700,25,365,624,26,379,258
102,1434223,20260624134028346645,success,,,,6.089464,87,130,179,114,1506,702,26,780,292,28,808,663
103,1448423,20260624134028346645,success,,,,4.832127,84,136,193,117,1178,603,27,401,665,34,415,614
104,1462623,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,3.646391,44,161,194,115,999,616,26,434,677,30,,
105,1476823,20260624134028346645,success,,,,5.563379,26,196,572,133,1431,704,45,770,622,26,394,274
106,1491023,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,3.841630,78,139,203,293,960,584,22,893,272,40,,
107,1505223,20260624134028346645,java_exception,failure,A3,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,0.747516,47,167,192,,,,,,,,,
108,1519423,20260624134028346645,success,,,,4.119860,53,157,202,447,992,445,23,439,289,37,389,274
109,1533623,20260624134028346645,success,,,,4.646573,73,159,189,206,1036,851,39,424,281,27,377,611
110,1547823,20260624134028346645,success,,,,5.211565,45,173,489,215,1465,367,31,422,609,24,391,619
111,1562023,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,3.467070,49,164,192,120,1246,602,44,383,287,26,,
112,1576223,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,4.016952,39,171,306,159,994,423,27,924,604,25,,
113,1590423,20260624134028346645,success,,,,5.219606,33,179,549,58,1072,822,27,814,291,26,386,596
114,1604623,20260624134028346645,success,,,,4.723020,73,159,179,119,1191,441,31,867,627,30,381,272
115,1618823,20260624134028346645,success,,,,5.096954,38,164,296,87,1571,433,26,807,291,26,378,607
116,1633023,20260624134028346645,success,,,,4.965393,86,150,194,200,1294,446,37,890,627,26,380,265
117,1647223,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,3.487622,50,167,186,112,1456,428,34,393,294,28,,
