trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,24,20260624134028346645,success,,,,3.253200,33,338,265,118,639,419,179,296,182,46,171,188
2,14224,20260624134028346645,success,,,,3.263426,32,327,164,98,498,537,194,458,103,28,257,188
3,28424,20260624134028346645,success,,,,3.889689,45,326,165,275,933,388,226,417,169,23,267,283
4,42624,20260624134028346645,success,,,,3.300787,33,321,274,182,919,430,28,189,129,28,260,129
5,56824,20260624134028346645,success,,,,3.218328,35,330,166,238,967,188,188,182,118,33,198,194
6,71024,20260624134028346645,success,,,,3.379352,42,312,325,94,593,515,36,182,285,43,392,187
7,85224,20260624134028346645,success,,,,3.814463,30,327,170,276,585,584,156,445,262,149,180,249
8,99424,20260624134028346645,success,,,,3.873038,30,332,258,240,924,374,195,167,254,25,407,286
9,113624,20260624134028346645,success,,,,3.443964,59,306,160,204,652,405,25,432,117,42,383,278
10,127824,20260624134028346645,success,,,,3.325272,30,335,177,197,826,254,25,440,172,25,173,275
11,142024,20260624134028346645,success,,,,3.426178,37,320,433,75,483,510,32,467,272,25,258,117
12,156224,20260624134028346645,success,,,,3.439626,46,313,170,176,526,473,26,449,180,35,376,288
13,170424,20260624134028346645,success,,,,3.323963,48,306,158,205,644,441,24,423,118,26,262,278
14,184624,20260624134028346645,success,,,,3.325104,34,325,174,178,939,390,22,296,103,32,173,274
15,198824,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,2.959100,84,285,255,241,920,381,35,272,103,30,,
16,213024,20260624134028346645,success,,,,3.510156,38,338,163,101,715,463,180,184,130,140,417,272
17,227224,20260624134028346645,success,,,,3.382177,50,309,173,188,897,388,39,176,190,27,367,195
18,241424,20260624134028346645,success,,,,3.048977,56,316,164,102,510,361,27,212,316,34,290,275
19,255624,20260624134028346645,success,,,,3.057115,48,320,168,103,975,387,25,193,115,34,173,125
20,269824,20260624134028346645,success,,,,3.287694,39,308,171,102,494,544,33,191,316,32,407,247
21,284024,20260624134028346645,success,,,,3.327219,39,321,169,180,650,462,186,184,187,30,412,111
22,298224,20260624134028346645,success,,,,3.377237,52,328,163,101,1019,288,21,282,270,24,251,190
23,312424,20260624134028346645,success,,,,3.471059,58,315,159,95,990,274,35,439,107,31,388,193
24,326624,20260624134028346645,success,,,,3.295625,67,300,262,106,655,284,177,449,109,28,259,196
25,340824,20260624134028346645,time_limit_exceeded,timeout,B7,Repair timeout: B7 exceeded 300 seconds,302.948673,54,314,163,102,902,436,21,430,102,300002,,
26,355024,20260624134028346645,success,,,,3.683103,44,311,352,91,921,408,166,266,257,25,257,187
27,369224,20260624134028346645,success,,,,3.372981,46,310,174,96,1009,205,28,439,255,31,256,144
28,383424,20260624134028346645,success,,,,3.541170,48,306,228,195,992,410,19,183,184,31,373,188
