trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,104,20260624134028346645,java_exception,failure,B1,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,3.138872,316,1474,507,445,,,,,,,,
2,14304,20260624134028346645,success,,,,20.044272,274,1519,1554,427,4842,2473,98,3761,507,164,997,569
3,28504,20260624134028346645,success,,,,17.464591,167,1542,493,436,4876,2793,98,884,563,206,999,2390
4,42704,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Extract,14.938173,360,1488,1705,779,4133,2335,91,3620,,,,
5,56904,20260624134028346645,success,,,,19.788919,176,1549,406,368,4876,2300,226,854,459,283,3954,2409
6,71104,20260624134028346645,java_exception,failure,B8,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Extract,10.516650,149,1535,481,420,1387,2566,169,840,503,239,1813,
7,85304,20260624134028346645,success,,,,13.564028,174,1596,486,404,1415,2596,101,851,506,250,1045,2279
8,99504,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: Extract ⊑ ⊥,7.670819,186,1558,392,365,4774,,,,,,,
9,113704,20260624134028346645,success,,,,13.040123,323,1514,493,423,4294,787,144,878,474,258,917,637
10,127904,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: Extract ⊑ ⊥,5.987315,421,1430,876,332,2522,,,,,,,
11,142104,20260624134028346645,success,,,,25.115382,346,1467,504,423,4127,2831,182,3650,492,209,3866,2585
12,156304,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: Extract ⊑ ⊥,5.837450,238,1551,472,438,2740,,,,,,,
13,170504,20260624134028346645,success,,,,24.380166,217,1551,874,867,4326,2777,208,858,2031,195,3936,2073
14,184704,20260624134028346645,success,,,,21.171706,122,1577,489,743,4798,809,170,3605,519,177,3824,2425
15,198904,20260624134028346645,java_exception,failure,B6,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Extract,12.115278,221,1515,511,1363,4269,821,144,844,2014,,,
16,213104,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Extract,10.518414,113,1579,498,805,4159,2329,153,468,,,,
17,227304,20260624134028346645,success,,,,17.102440,282,1501,426,378,4945,815,155,850,2252,250,1010,2184
18,241504,20260624134028346645,success,,,,17.928982,338,1480,799,322,4144,2755,90,929,574,257,3743,691
19,255704,20260624134028346645,success,,,,16.805415,267,1523,499,417,1367,2544,103,3469,541,188,1018,2147
20,269904,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: Extract ⊑ ⊥,10.929474,308,1504,1238,332,4372,2758,,,,,,
21,284104,20260624134028346645,success,,,,25.870049,173,1578,391,426,4385,2397,122,3820,2265,284,3969,3108
22,298304,20260624134028346645,success,,,,17.471287,299,1506,869,351,1416,2847,193,3518,476,181,3563,645
23,312504,20260624134028346645,success,,,,22.618890,189,1561,487,444,1387,2963,182,3638,2218,159,3888,2484
24,326704,20260624134028346645,success,,,,14.848360,332,1465,414,804,4370,767,95,845,2098,315,1009,577
25,340904,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: Extract ⊑ ⊥,8.223462,422,1438,389,1331,4244,,,,,,,
26,355104,20260624134028346645,success,,,,16.540647,418,1438,410,417,4052,2774,211,902,575,231,977,2203
27,369304,20260624134028346645,success,,,,15.675724,251,1527,493,447,1415,2907,91,3520,569,190,951,580
28,383504,20260624134028346645,java_exception,failure,B8,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Extract,16.382804,336,1479,495,441,4321,2338,200,3713,512,317,1786,
29,397704,20260624134028346645,success,,,,19.628597,323,1484,490,430,4314,2297,109,852,486,219,3717,2244
30,411904,20260624134028346645,success,,,,20.640513,82,1594,504,435,4064,2294,155,826,2251,282,3721,2339
31,426104,20260624134028346645,java_exception,failure,B9,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Extract,18.669622,348,1491,960,343,4263,2343,147,3664,2308,252,991,1107
32,440304,20260624134028346645,success,,,,14.699439,117,1623,530,448,4162,858,136,869,2171,203,1054,720
33,454504,20260624134028346645,success,,,,24.989274,205,1555,998,438,4339,2298,108,3628,2008,157,3837,2360
34,468704,20260624134028346645,success,,,,16.501092,419,1488,476,428,4771,790,105,821,2038,233,892,2207
35,482904,20260624134028346645,success,,,,14.484125,377,1466,509,428,4244,780,127,814,496,229,920,2301
36,497104,20260624134028346645,success,,,,13.779555,298,1491,403,1325,4383,805,166,839,510,161,941,682
37,511304,20260624134028346645,success,,,,17.521886,192,1564,861,919,4285,772,157,850,468,255,3752,644
38,525504,20260624134028346645,success,,,,13.711490,457,1436,512,418,4828,769,146,885,463,163,999,561
39,539704,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: Extract ⊑ ⊥,6.062098,357,1471,842,422,2575,,,,,,,
40,553904,20260624134028346645,success,,,,19.076593,203,1527,514,431,4078,792,206,3566,2140,255,946,2263
41,568104,20260624134028346645,success,,,,20.459828,159,1585,512,457,4873,2331,157,3611,623,186,976,2439
42,582304,20260624134028346645,success,,,,17.578323,163,1553,529,442,4152,782,167,855,476,164,3807,2267
43,596504,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: Extract ⊑ ⊥,7.357026,94,1571,543,443,4312,,,,,,,
44,610704,20260624134028346645,success,,,,17.886493,198,1520,495,871,4284,784,90,3634,495,324,883,2394
45,624904,20260624134028346645,success,,,,19.903321,182,1534,508,408,4672,2745,93,803,2167,265,972,2314
46,639104,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: Extract ⊑ ⊥,7.608270,183,1572,503,834,4117,,,,,,,
47,653304,20260624134028346645,success,,,,20.419616,304,1504,495,412,4784,2293,209,866,2191,269,931,2347
48,667504,20260624134028346645,success,,,,17.254666,326,1452,419,367,1473,2554,98,3454,2214,196,990,582
49,681704,20260624134028346645,java_exception,failure,B8,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Extract,13.224229,325,1470,485,341,4100,2469,158,832,517,161,1827,
50,695904,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: Extract ⊑ ⊥,5.505121,175,1538,493,467,2446,,,,,,,
51,710104,20260624134028346645,success,,,,19.353733,197,1535,484,1265,4171,2802,136,893,544,223,3847,572
52,724304,20260624134028346645,success,,,,14.656867,275,1505,420,461,1406,2906,95,856,493,246,3726,541
53,738504,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Extract,5.383537,285,1513,477,406,2313,,,,,,,
54,752704,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: Extract ⊑ ⊥,5.463898,292,1482,519,329,2430,,,,,,,
55,766904,20260624134028346645,success,,,,21.912694,205,1517,498,430,4091,2492,157,3643,2051,160,1027,2421
56,781104,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Extract,10.619090,370,1501,925,872,4327,2217,,,,,,
57,795304,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Extract,7.215060,410,1461,1216,866,1385,833,134,492,,,,
58,809504,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Extract,11.405156,73,1578,486,441,4302,2343,100,1667,,,,
59,823704,20260624134028346645,success,,,,19.552968,242,1544,957,328,4177,2393,85,872,2242,225,914,2378
60,837904,20260624134028346645,success,,,,22.425498,411,1440,398,1226,4295,2320,141,843,2117,281,3874,2706
61,852104,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: Extract ⊑ ⊥,7.153076,176,1554,380,435,4205,,,,,,,
62,866304,20260624134028346645,success,,,,13.500864,356,1487,512,416,1422,2516,102,879,2148,258,952,581
63,880504,20260624134028346645,success,,,,19.395584,379,1473,398,434,3996,2300,97,810,2240,172,3701,623
64,894704,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Extract,13.743291,251,1530,411,840,4147,2450,164,3511,,,,
65,908904,20260624134028346645,success,,,,17.489746,358,1490,499,427,4029,2742,145,921,563,211,3652,687
