trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,45,20260624134028346645,success,,,,7.852694,54,696,208,266,874,543,43,1544,1122,50,1623,319
2,14245,20260624134028346645,success,,,,5.131954,44,694,198,153,967,1280,32,372,240,43,406,264
3,28445,20260624134028346645,success,,,,8.892339,45,684,228,314,2055,1130,26,1567,1141,57,950,262
4,42645,20260624134028346645,success,,,,6.980617,48,675,220,148,2162,1169,26,381,393,55,658,611
5,56845,20260624134028346645,success,,,,7.290002,41,699,213,143,1985,1619,30,840,546,87,414,236
6,71045,20260624134028346645,success,,,,7.056002,110,640,204,142,2007,555,36,548,583,59,616,1080
7,85245,20260624134028346645,success,,,,6.774919,98,643,198,451,2145,359,66,808,342,101,865,275
8,99445,20260624134028346645,success,,,,9.570612,31,670,497,148,2151,1475,28,825,510,46,1593,282
9,113645,20260624134028346645,success,,,,6.434332,37,662,220,263,1113,1249,31,852,239,45,657,613
10,127845,20260624134028346645,success,,,,6.964155,84,681,207,154,1528,697,39,818,275,47,1651,353
11,142045,20260624134028346645,success,,,,8.795749,42,710,376,280,2117,1144,27,885,548,43,1586,275
12,156245,20260624134028346645,success,,,,8.479826,74,675,357,138,2185,1187,34,1656,324,54,698,660
13,170445,20260624134028346645,success,,,,6.196982,81,668,211,144,1571,372,27,547,561,48,393,1150
14,184645,20260624134028346645,success,,,,7.012634,75,651,212,153,1440,378,32,1485,256,86,923,268
15,198845,20260624134028346645,success,,,,5.924491,93,646,306,151,897,1294,33,392,547,42,388,705
16,213045,20260624134028346645,success,,,,5.561937,73,653,368,155,876,1252,58,370,329,44,581,380
17,227245,20260624134028346645,success,,,,7.211676,127,625,351,152,1820,672,51,380,215,49,1649,287
18,241445,20260624134028346645,success,,,,7.709678,119,641,205,301,1390,1169,28,569,1143,43,886,436
19,255645,20260624134028346645,success,,,,6.822503,38,691,231,340,2167,1167,26,606,426,52,365,282
20,269845,20260624134028346645,success,,,,10.329838,56,697,216,147,2206,1185,34,873,515,81,1648,1144
21,284045,20260624134028346645,success,,,,7.966223,77,663,213,156,941,1278,51,1483,546,49,853,425
22,298245,20260624134028346645,success,,,,8.795504,45,704,380,154,843,1263,49,878,1115,58,1632,1214
23,312445,20260624134028346645,success,,,,9.083519,95,635,201,146,2182,1189,24,1594,1112,63,986,411
24,326645,20260624134028346645,success,,,,8.872491,69,664,206,255,2161,1136,32,922,322,81,1528,689
25,340845,20260624134028346645,success,,,,8.131112,75,664,463,155,2307,1168,32,403,381,82,885,390
26,355045,20260624134028346645,success,,,,6.585192,123,607,222,160,1941,694,32,541,216,44,432,1106
27,369245,20260624134028346645,success,,,,7.461610,32,694,223,160,2175,934,26,357,220,43,1583,583
28,383445,20260624134028346645,success,,,,7.518597,82,653,836,144,1168,1292,31,1474,555,44,578,235
29,397645,20260624134028346645,success,,,,8.786656,84,680,313,152,2189,1176,25,540,269,53,1671,1188
30,411845,20260624134028346645,success,,,,9.217527,73,658,403,136,1851,1172,35,941,275,65,1622,1155
31,426045,20260624134028346645,success,,,,6.528841,45,697,521,162,2074,930,52,342,247,51,405,582
32,440245,20260624134028346645,success,,,,8.277140,100,622,227,153,1985,943,31,586,597,65,445,1133
33,454445,20260624134028346645,success,,,,6.909284,69,695,210,157,2145,683,36,352,1089,46,365,585
34,468645,20260624134028346645,success,,,,7.040184,40,698,209,162,2113,889,29,567,625,48,923,298
35,482845,20260624134028346645,success,,,,8.492248,95,662,217,159,2151,1144,32,905,357,39,858,634
36,497045,20260624134028346645,success,,,,6.935056,122,613,217,155,2097,1125,26,888,226,48,393,586
37,511245,20260624134028346645,success,,,,6.486482,40,683,210,148,1972,686,30,854,562,46,567,231
38,525445,20260624134028346645,success,,,,7.722531,54,687,203,318,1362,491,32,872,340,44,1620,1197
39,539645,20260624134028346645,success,,,,6.008412,45,675,217,159,930,543,54,1538,211,40,592,542
40,553845,20260624134028346645,success,,,,6.898392,105,630,222,292,2039,1128,40,397,618,52,649,241
41,568045,20260624134028346645,success,,,,7.841272,72,653,204,148,1958,1172,27,864,365,41,566,626
42,582245,20260624134028346645,success,,,,8.752142,43,662,218,147,2155,1208,39,1608,1111,54,662,377
43,596445,20260624134028346645,success,,,,8.915134,45,683,738,157,2794,1234,29,549,210,52,868,325
44,610645,20260624134028346645,success,,,,6.046466,87,638,218,152,1527,1196,43,548,348,52,583,230
45,624845,20260624134028346645,success,,,,8.191063,126,623,204,274,1443,1177,30,833,252,44,1483,1258
46,639045,20260624134028346645,success,,,,7.302042,81,636,210,142,2143,690,30,869,262,42,641,1116
47,653245,20260624134028346645,success,,,,8.693924,79,681,215,161,2075,1149,29,1483,323,43,585,1231
48,667445,20260624134028346645,success,,,,8.994279,107,645,500,140,1129,1224,32,378,1036,46,1504,1113
49,681645,20260624134028346645,success,,,,8.704964,92,632,214,153,2070,489,29,1489,248,61,1571,1157
50,695845,20260624134028346645,success,,,,7.806044,77,680,205,158,1513,1194,32,858,333,46,913,348
51,710045,20260624134028346645,success,,,,9.680445,52,667,201,159,2051,1146,74,1606,1077,52,1035,1118
52,724245,20260624134028346645,success,,,,6.775681,77,645,203,302,2015,502,38,525,360,47,414,1181
53,738445,20260624134028346645,success,,,,6.171773,124,620,193,312,1042,512,60,394,1056,51,924,441
54,752645,20260624134028346645,success,,,,5.858878,127,604,206,141,812,812,42,572,1114,60,651,272
55,766845,20260624134028346645,success,,,,8.199682,73,688,327,151,2024,685,46,388,562,52,1617,394
56,781045,20260624134028346645,success,,,,7.047239,57,667,202,149,1389,710,30,1567,368,44,445,621
57,795245,20260624134028346645,success,,,,8.121197,57,699,221,155,2097,1172,26,376,1158,45,432,380
58,809445,20260624134028346645,success,,,,8.453411,98,657,213,145,1546,1206,77,1557,392,45,1679,373
59,823645,20260624134028346645,success,,,,7.067939,59,670,222,152,1530,974,31,572,213,70,657,1142
60,837845,20260624134028346645,success,,,,8.755270,88,677,201,576,2134,967,29,858,560,45,937,1216
61,852045,20260624134028346645,success,,,,6.581410,72,679,226,149,1473,672,34,1467,361,53,397,566
62,866245,20260624134028346645,success,,,,7.885528,90,616,219,155,1866,1182,25,556,1155,60,429,398
63,880445,20260624134028346645,success,,,,6.106409,116,658,208,163,1180,1187,39,363,572,58,851,281
64,894645,20260624134028346645,success,,,,6.926638,41,672,209,270,1813,1171,27,372,576,59,881,408
65,908845,20260624134028346645,success,,,,6.884930,71,655,236,145,1183,406,46,1569,320,46,1543,235
66,923045,20260624134028346645,success,,,,7.088450,73,678,199,386,2079,656,29,564,550,84,947,410
67,937245,20260624134028346645,success,,,,6.549176,43,663,211,146,1970,1127,64,376,587,61,474,334
68,951445,20260624134028346645,success,,,,8.159149,56,664,308,154,2059,1128,31,551,1047,40,926,326
69,965645,20260624134028346645,success,,,,5.331767,105,661,207,160,1444,712,34,359,242,44,570,375
70,979845,20260624134028346645,success,,,,7.330780,103,621,191,150,1994,697,44,882,1159,45,614,320
71,994045,20260624134028346645,success,,,,7.084697,46,681,391,139,2002,1107,32,593,251,58,944,414
