trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,119,20260624134028346645,success,,,,80.853858,44,43720,563,566,10502,8868,678,406,7191,239,6041,396
2,14319,20260624134028346645,java_exception,failure,B9,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ CT.09.02,73.484134,326,44632,4747,533,7252,7902,160,438,307,374,906,2112
3,28519,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: CT.09 ⊑ ⊥,49.693396,85,44125,559,567,3956,,,,,,,
4,42719,20260624134028346645,success,,,,75.464994,227,44007,586,2195,10517,773,216,461,364,249,7303,7138
5,56919,20260624134028346645,success,,,,64.817287,125,44509,664,2680,1253,7939,167,521,303,562,551,4292
6,71119,20260624134028346645,success,,,,72.485399,169,44190,600,4206,10687,7453,176,850,503,773,941,547
7,85319,20260624134028346645,success,,,,72.509046,176,43822,2415,535,10735,4778,215,6564,298,619,502,510
8,99519,20260624134028346645,success,,,,75.327219,484,44563,594,2080,11739,4025,329,8297,355,231,489,449
9,113719,20260624134028346645,success,,,,70.980132,123,43754,649,1212,7152,6239,160,7075,346,985,1250,537
10,127919,20260624134028346645,success,,,,68.886317,117,44623,641,519,1050,908,245,9818,337,895,7172,715
11,142119,20260624134028346645,java_exception,failure,A3,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,46.033249,61,43657,1914,,,,,,,,,
12,156319,20260624134028346645,success,,,,61.842699,299,43793,1181,518,1081,4400,155,597,294,299,7330,550
13,170519,20260624134028346645,success,,,,58.257117,415,44106,597,1017,1224,837,169,617,351,303,6846,491
14,184719,20260624134028346645,success,,,,71.200044,245,44777,567,527,1312,7655,172,617,344,309,7455,5903
15,198919,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,50.459262,162,44554,1326,495,1037,872,315,463,352,478,,
16,213119,20260624134028346645,success,,,,58.862006,488,44306,1131,1279,1068,6084,151,483,294,241,602,479
17,227319,20260624134028346645,success,,,,51.573484,42,44472,677,493,1254,822,178,502,320,326,709,590
18,241519,20260624134028346645,success,,,,81.759438,351,44380,1096,543,11781,7569,181,1290,400,398,8576,3474
19,255719,20260624134028346645,success,,,,67.169620,338,44320,1208,1256,11444,4492,178,745,420,310,549,650
20,269919,20260624134028346645,java_exception,failure,B6,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ CT.09.02,67.095579,390,43952,2234,513,14128,1018,179,581,2035,,,
21,284119,20260624134028346645,success,,,,66.205498,410,44417,1500,521,1022,4432,159,612,303,330,7212,4106
22,298319,20260624134028346645,success,,,,62.321278,200,45039,609,554,7157,749,203,661,419,300,544,4143
23,312519,20260624134028346645,success,,,,71.320760,403,44592,1267,2906,12019,784,173,558,356,292,698,4306
24,326719,20260624134028346645,success,,,,76.432199,103,44547,680,529,7173,4516,329,6866,413,301,8550,815
25,340919,20260624134028346645,success,,,,54.674906,357,44916,1246,2467,1023,868,190,639,340,310,632,503
26,355119,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ CT.09.02,53.559074,210,44565,630,532,7168,,,,,,,
27,369319,20260624134028346645,success,,,,79.118135,323,43938,1281,527,1286,7494,162,6852,488,381,7093,7605
28,383519,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,69.384881,178,43810,597,1938,7155,4409,1325,409,6155,302,,
29,397719,20260624134028346645,success,,,,60.909441,107,44292,595,1374,1192,4324,159,673,5718,241,672,411
30,411919,20260624134028346645,success,,,,81.254608,101,43893,3854,508,7133,901,208,6828,4097,524,11074,444
31,426119,20260624134028346645,success,,,,70.819489,352,43840,3133,541,7105,7734,176,717,4272,515,523,573
32,440319,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,50.923196,531,43728,621,3108,1323,730,471,,,,,
33,454519,20260624134028346645,success,,,,66.093627,483,44189,594,512,11769,740,162,478,364,320,630,4534
34,468719,20260624134028346645,success,,,,70.891430,498,44526,584,2138,7251,4321,148,433,308,403,6737,570
35,482919,20260624134028346645,success,,,,80.107971,162,44780,598,551,7312,7634,1246,7407,6451,552,559,506
36,497119,20260624134028346645,success,,,,72.227744,206,44637,553,1040,7325,8168,162,432,6438,280,887,616
37,511319,20260624134028346645,success,,,,76.707034,485,43976,561,551,11493,777,160,452,4270,408,11459,547
38,525519,20260624134028346645,memory_limit_exceeded,,,,77.532760,,,,,,,,,,,,
39,539719,20260624134028346645,success,,,,72.921378,78,44148,4019,527,11567,7588,350,705,374,526,781,542
40,553919,20260624134028346645,memory_limit_exceeded,,,,94.037666,,,,,,,,,,,,
41,568119,20260624134028346645,memory_limit_exceeded,,,,81.095413,,,,,,,,,,,,
42,582319,20260624134028346645,success,,,,73.644160,140,43970,609,3112,21465,729,156,396,278,229,683,401
43,596519,20260624134028346645,success,,,,77.276485,362,44357,571,535,11595,783,158,548,420,534,7561,8356
44,610719,20260624134028346645,success,,,,73.011673,190,44920,2034,542,11548,826,159,477,345,523,7277,569
45,624919,20260624134028346645,success,,,,63.594238,273,44444,1833,498,1272,7312,161,486,435,544,600,4272
46,639119,20260624134028346645,success,,,,77.201788,176,44270,1351,6862,11567,4487,147,676,4797,236,729,506
47,653319,20260624134028346645,success,,,,77.944721,535,44455,563,534,11528,4511,152,425,439,318,7492,4870
48,667519,20260624134028346645,success,,,,61.921911,171,44313,4421,521,1203,916,164,469,5716,264,541,545
49,681719,20260624134028346645,success,,,,77.599506,217,44854,2268,1114,11965,8405,605,682,3832,723,1071,394
50,695919,20260624134028346645,success,,,,52.968634,385,44835,1218,511,1235,853,168,622,341,371,749,490
51,710119,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: CT.09 ⊑ ⊥,62.989043,212,45162,585,1245,11835,3491,,,,,,
52,724319,20260624134028346645,success,,,,66.981039,358,44100,594,3714,7179,6369,155,567,319,247,721,499
53,738519,20260624134028346645,success,,,,76.392381,429,44163,569,1300,11672,5981,150,551,359,244,8879,442
54,752719,20260624134028346645,success,,,,67.502962,276,44054,3349,1119,1194,7348,155,6964,357,231,649,424
55,766919,20260624134028346645,success,,,,71.591437,350,44764,580,3619,10744,7984,152,431,367,232,662,417
56,781119,20260624134028346645,success,,,,85.673736,291,44448,1961,497,11964,7769,156,562,3924,244,8302,3951
57,795319,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,76.324419,405,43938,595,3975,11833,10860,468,,,,,
58,809519,20260624134028346645,success,,,,62.034791,419,44073,1299,1134,10434,845,257,422,300,664,626,404
59,823719,20260624134028346645,success,,,,79.665862,82,44147,2999,1973,1173,7604,155,617,6243,235,11082,576
60,837919,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,79.463307,179,44073,577,2054,11933,8339,154,6943,667,594,,
61,852119,20260624134028346645,success,,,,82.523913,263,44138,601,1266,10642,7910,156,552,474,281,6541,7989
62,866319,20260624134028346645,success,,,,74.408268,184,44563,1316,5980,1249,762,180,607,3907,915,7109,6219
63,880519,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,59.158675,194,45072,1269,517,1272,7942,407,468,466,682,,
64,894719,20260624134028346645,success,,,,98.747502,287,44613,575,15304,11845,8324,154,502,3777,317,7960,597
65,908919,20260624134028346645,success,,,,65.884346,105,43926,586,560,10930,4212,177,559,447,236,498,524
66,923119,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,64.312805,220,43941,561,1986,1269,771,186,9678,4015,412,,
67,937319,20260624134028346645,success,,,,64.007908,226,44116,4364,555,1223,4337,163,600,5828,434,520,402
68,951519,20260624134028346645,success,,,,74.590076,331,44510,619,534,11922,834,187,680,4020,389,1299,7436
69,965719,20260624134028346645,success,,,,81.619978,379,44190,592,514,10589,8014,146,7621,412,339,728,6439
70,979919,20260624134028346645,success,,,,70.660067,404,43920,562,2426,1071,6118,180,6688,6604,243,483,413
71,994119,20260624134028346645,success,,,,84.428458,238,44279,589,1467,10743,7572,152,10599,291,238,6151,512
72,1008319,20260624134028346645,success,,,,69.564974,268,44805,1750,507,10668,4204,154,563,3983,399,488,507
73,1022519,20260624134028346645,success,,,,71.305624,279,43832,607,2875,1073,744,195,6507,5770,338,630,7002
74,1036719,20260624134028346645,success,,,,76.454042,68,43705,3441,7373,1156,6125,151,610,365,543,7041,4211
75,1050919,20260624134028346645,success,,,,70.345651,387,44909,622,1079,1033,900,171,6742,299,314,7204,5267
76,1065119,20260624134028346645,success,,,,62.918216,105,44035,2791,474,7153,826,164,427,4142,297,869,464
77,1079319,20260624134028346645,success,,,,75.175789,260,44546,2714,501,11874,7878,176,491,409,276,851,421
78,1093519,20260624134028346645,success,,,,82.334159,429,43930,8090,1094,1179,7339,145,7041,4609,244,666,4520
79,1107719,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ CT.09.02,53.170772,283,44342,568,534,7020,,,,,,,
80,1121919,20260624134028346645,success,,,,65.961550,503,44133,558,543,10715,744,240,449,4092,406,591,570
81,1136119,20260624134028346645,success,,,,70.286025,365,44257,670,510,11841,8696,242,645,464,243,495,416
82,1150319,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: CT.09 ⊑ ⊥,51.452767,118,44862,665,507,1246,3652,,,,,,
83,1164519,20260624134028346645,success,,,,64.456529,404,44185,1438,533,1316,8437,205,772,4077,353,1071,413
84,1178719,20260624134028346645,success,,,,63.451605,403,44360,650,510,1298,6233,307,615,382,294,549,6605
85,1192919,20260624134028346645,success,,,,71.505527,512,44662,1419,499,11848,8501,244,701,324,242,667,447
86,1207119,20260624134028346645,success,,,,67.321086,318,43970,587,2354,7574,4598,158,461,388,254,1103,4254
87,1221319,20260624134028346645,success,,,,62.693374,185,44228,1369,527,10579,948,172,425,357,339,643,542
88,1235519,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,69.350502,222,44152,4130,575,10534,7578,360,,,,,
89,1249719,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: CT.09.02 ⊑ CT.09,54.486038,331,44639,1432,526,7125,,,,,,,
90,1263919,20260624134028346645,success,,,,63.515681,372,44427,1912,1101,1229,7352,171,677,3763,311,546,393
91,1278119,20260624134028346645,success,,,,65.727640,306,44070,1289,1277,10228,805,182,730,4213,394,533,399
92,1292319,20260624134028346645,java_exception,failure,B6,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ CT.09.02,65.320301,146,44476,598,2269,11465,881,507,455,3946,,,
93,1306519,20260624134028346645,success,,,,70.637657,196,44571,559,1221,11763,5898,167,690,294,243,657,715
94,1320719,20260624134028346645,success,,,,84.806545,198,44010,3394,489,12083,7569,191,694,735,274,7642,5824
95,1334919,20260624134028346645,success,,,,59.002892,152,44366,616,1626,1065,6282,158,564,331,246,531,480
96,1349119,20260624134028346645,success,,,,56.718978,347,44517,4856,525,1262,808,717,596,439,464,581,481
