trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,94,20260624134028346645,success,,,,29.094461,178,12928,444,870,2276,1451,117,3349,2208,187,1892,2375
2,14294,20260624134028346645,success,,,,32.405156,227,13026,474,803,4761,2797,95,1576,4053,138,2178,1050
3,28494,20260624134028346645,success,,,,35.642207,98,12803,796,439,2321,2749,66,1910,4081,143,6051,1436
4,42694,20260624134028346645,success,,,,28.432796,36,12939,457,642,4722,1447,142,3303,993,138,1735,1178
5,56894,20260624134028346645,success,,,,30.151078,176,13154,472,428,2346,4108,82,3469,2091,134,1914,1078
6,71094,20260624134028346645,success,,,,29.273964,217,12919,926,441,4099,2854,86,1795,2165,163,1764,1057
7,85294,20260624134028346645,success,,,,35.327605,87,12778,449,765,2492,4541,82,1584,2049,151,3578,4572
8,99494,20260624134028346645,success,,,,39.965203,123,13245,498,423,5897,4171,74,1605,1141,131,3510,4728
9,113694,20260624134028346645,success,,,,26.547524,329,12978,457,421,4766,1279,76,1676,1018,142,1614,1084
10,127894,20260624134028346645,success,,,,34.364350,255,13127,861,746,6643,1316,90,1715,2046,140,1819,4767
11,142094,20260624134028346645,success,,,,34.245979,117,13263,485,410,2221,4271,129,3585,909,137,6586,1390
12,156294,20260624134028346645,success,,,,35.663996,49,12710,736,404,4683,4077,96,6315,2485,209,1859,1131
13,170494,20260624134028346645,success,,,,29.323291,105,12847,1012,399,5984,1450,80,1506,1023,134,1864,2180
14,184694,20260624134028346645,success,,,,31.396884,160,12822,454,410,2230,4411,72,1625,4020,166,1985,2334
15,198894,20260624134028346645,success,,,,29.018930,73,13037,467,1165,2446,2864,110,1896,2257,184,1654,2155
16,213094,20260624134028346645,success,,,,32.967931,232,12973,907,1333,6400,1353,70,3175,2020,127,1871,1281
17,227294,20260624134028346645,success,,,,28.180163,153,12937,836,430,2470,1329,77,1720,4222,143,1902,1225
18,241494,20260624134028346645,success,,,,36.536265,115,12904,461,435,6903,2395,117,6005,889,145,2364,2918
19,255694,20260624134028346645,success,,,,30.941063,255,13105,492,424,2290,4412,154,1683,1153,148,1683,4372
20,269894,20260624134028346645,success,,,,37.666212,35,13018,509,447,2513,4381,78,6264,2038,135,1715,5395
21,284094,20260624134028346645,success,,,,30.440871,143,13083,453,429,6552,1429,98,1479,1028,165,1871,1182
22,298294,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,26.069073,227,12739,450,756,2371,2769,100,1883,4198,162,,
23,312494,20260624134028346645,success,,,,42.243260,107,12777,484,1812,4681,4065,108,6192,4310,132,2401,2336
24,326694,20260624134028346645,success,,,,28.343763,106,12830,1285,434,4139,1346,83,1747,1012,146,3305,1218
25,340894,20260624134028346645,success,,,,37.336350,206,12760,443,864,6535,4187,85,1681,2182,177,3993,3107
26,355094,20260624134028346645,success,,,,27.849443,248,12621,468,435,4840,2858,121,1664,905,135,1747,1093
27,369294,20260624134028346645,success,,,,27.866666,138,13070,445,1018,2368,4424,109,1756,904,151,1719,954
28,383494,20260624134028346645,success,,,,37.475730,67,12825,454,435,4800,2775,185,3333,4132,172,1977,5358
29,397694,20260624134028346645,success,,,,30.524804,135,13073,475,427,2553,1349,91,1668,1245,131,6380,2154
30,411894,20260624134028346645,success,,,,26.193094,275,12757,946,403,2516,1313,118,1693,2260,130,1927,960
31,426094,20260624134028346645,success,,,,35.983482,105,12785,474,399,2432,2925,106,6257,2385,144,1938,5035
32,440294,20260624134028346645,success,,,,30.767871,232,12569,449,420,2414,4402,97,3245,1151,165,3718,1179
33,454494,20260624134028346645,success,,,,39.696938,177,12864,470,897,2529,4338,100,3362,4158,216,4110,2167
34,468694,20260624134028346645,success,,,,29.574903,154,13019,873,438,2381,2780,74,1800,2204,224,3484,1397
35,482894,20260624134028346645,success,,,,29.074505,87,13060,474,434,2332,4066,130,1614,1145,151,3779,1003
36,497094,20260624134028346645,success,,,,35.698725,125,12859,469,415,6961,1359,119,3208,1133,131,6903,1146
37,511294,20260624134028346645,success,,,,35.447452,317,12763,472,404,4686,1510,87,6170,4215,232,2708,954
38,525494,20260624134028346645,success,,,,33.410487,189,12706,445,442,6727,4146,72,1659,2122,149,1717,1482
39,539694,20260624134028346645,success,,,,32.921355,157,13022,440,855,4691,2518,90,1610,864,149,6270,1387
40,553894,20260624134028346645,success,,,,37.278504,263,13023,480,442,6523,1387,79,5847,1158,159,4573,2403
41,568094,20260624134028346645,success,,,,31.201828,138,12998,482,844,2372,4370,82,2007,2166,170,3542,1168
42,582294,20260624134028346645,success,,,,31.899340,51,12584,457,417,6922,2799,81,3365,977,138,1901,1281
