trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,18,20260624134028346645,success,,,,2.935627,32,129,172,106,423,349,31,407,343,26,344,213
2,14218,20260624134028346645,success,,,,3.159925,50,135,160,116,552,382,27,436,336,19,310,290
3,28418,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Processual_Entity,2.028831,35,117,178,188,568,293,28,278,,,,
4,42618,20260624134028346645,success,,,,3.125351,48,114,175,238,505,395,33,368,285,36,303,278
5,56818,20260624134028346645,java_exception,failure,B8,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Processual_Entity,2.686346,46,123,165,101,525,312,35,483,359,26,185,
6,71018,20260624134028346645,java_exception,failure,B1,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,0.944188,64,131,174,233,,,,,,,,
7,85218,20260624134028346645,success,,,,3.163638,49,139,250,83,570,294,27,442,265,20,355,309
8,99418,20260624134028346645,success,,,,3.039471,47,119,172,192,420,323,24,394,320,19,349,316
9,113618,20260624134028346645,success,,,,3.182928,32,131,273,142,433,387,34,449,287,25,361,278
10,127818,20260624134028346645,time_limit_exceeded,timeout,B7,Repair timeout: B7 exceeded 300 seconds,302.832797,48,115,612,92,399,323,31,451,327,300001,,
11,142018,20260624134028346645,success,,,,3.081987,63,131,279,257,414,338,26,364,328,16,289,245
12,156218,20260624134028346645,java_exception,failure,B9,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Processual_Entity,3.090068,39,126,174,114,563,418,26,464,310,17,349,158
13,170418,20260624134028346645,java_exception,failure,B6,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Processual_Entity,2.238183,28,129,278,90,428,336,28,486,99,,,
14,184618,20260624134028346645,success,,,,3.020822,70,106,170,105,435,325,25,419,352,20,344,302
15,198818,20260624134028346645,success,,,,2.957219,34,133,176,109,518,352,30,399,289,22,310,249
16,213018,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Processual_Entity,1.811628,61,124,169,107,458,272,39,265,,,,
17,227218,20260624134028346645,java_exception,failure,B1,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,0.772934,42,119,173,102,,,,,,,,
18,241418,20260624134028346645,java_exception,failure,B9,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Processual_Entity,2.863126,33,132,187,169,448,281,22,468,323,18,297,147
19,255618,20260624134028346645,success,,,,3.126350,48,120,168,135,508,314,39,489,301,18,351,296
20,269818,20260624134028346645,time_limit_exceeded,timeout,B4,Repair timeout: B4 exceeded 300 seconds,301.812704,34,144,171,118,545,386,300002,,,,,
21,284018,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Processual_Entity,2.017455,37,128,172,112,557,380,31,260,,,,
22,298218,20260624134028346645,java_exception,failure,B8,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Processual_Entity,2.608690,51,133,169,110,529,376,23,403,286,23,178,
23,312418,20260624134028346645,time_limit_exceeded,timeout,B4,Repair timeout: B4 exceeded 300 seconds,301.836359,56,119,181,168,587,306,300001,,,,,
24,326618,20260624134028346645,success,,,,3.224573,43,123,180,248,533,335,40,402,360,18,342,254
25,340818,20260624134028346645,success,,,,3.178492,34,126,174,175,541,298,35,488,313,22,328,293
26,355018,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,1.705286,47,121,185,114,502,374,32,,,,,
27,369218,20260624134028346645,success,,,,3.169301,46,134,171,114,560,385,28,440,321,16,339,279
28,383418,20260624134028346645,success,,,,3.127283,42,143,153,113,551,320,26,481,334,28,297,284
29,397618,20260624134028346645,time_limit_exceeded,timeout,B4,Repair timeout: B4 exceeded 300 seconds,301.822349,55,112,283,83,573,297,300001,,,,,
30,411818,20260624134028346645,success,,,,3.064348,42,141,165,104,503,369,28,451,242,22,376,272
31,426018,20260624134028346645,java_exception,failure,B6,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Processual_Entity,2.244899,50,122,277,85,552,277,30,400,109,,,
32,440218,20260624134028346645,success,,,,3.186693,41,147,174,124,543,384,30,448,318,19,342,269
33,454418,20260624134028346645,success,,,,3.281818,43,122,458,72,499,369,29,380,326,23,328,281
34,468618,20260624134028346645,success,,,,3.032862,36,145,173,108,443,272,72,466,331,30,321,284
35,482818,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Processual_Entity,1.895588,59,121,176,97,542,316,25,219,,,,
36,497018,20260624134028346645,time_limit_exceeded,timeout,B4,Repair timeout: B4 exceeded 300 seconds,301.800817,53,116,173,96,534,411,300001,,,,,
37,511218,20260624134028346645,time_limit_exceeded,timeout,B4,Repair timeout: B4 exceeded 300 seconds,301.921133,60,111,279,144,514,401,300001,,,,,
38,525418,20260624134028346645,success,,,,3.000025,39,143,167,98,525,302,29,406,281,19,336,303
39,539618,20260624134028346645,success,,,,3.179275,38,128,284,87,583,271,31,434,318,23,348,282
40,553818,20260624134028346645,java_exception,failure,B6,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Processual_Entity,2.350347,49,140,155,112,531,388,37,405,192,,,
