trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,65,20260624134028346645,success,,,,11.179245,184,997,531,139,2493,622,51,1947,1237,64,1192,1254
2,14265,20260624134028346645,success,,,,11.959094,34,1089,207,328,2469,1371,38,1145,1249,72,2117,1382
3,28465,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ mdo000073,3.485659,104,1053,225,284,1446,,,,,,,
4,42665,20260624134028346645,success,,,,11.700817,203,1035,390,454,1317,878,127,1991,1385,91,2068,1309
5,56865,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ mdo000073,5.420131,181,1037,201,329,2588,725,,,,,,
6,71065,20260624134028346645,success,,,,10.133508,88,1060,378,170,1720,1420,55,2138,494,82,779,1297
7,85265,20260624134028346645,success,,,,10.316676,144,1012,200,429,1794,575,53,1963,1369,92,828,466
8,99465,20260624134028346645,success,,,,12.383738,133,1054,193,155,2538,1363,38,1925,783,102,2148,1434
9,113665,20260624134028346645,success,,,,11.159116,95,1085,216,779,1707,546,44,1988,755,93,2148,1242
10,127865,20260624134028346645,success,,,,12.813347,204,1020,203,169,2526,1334,57,2064,1272,72,2064,1367
11,142065,20260624134028346645,java_exception,failure,B8,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ mdo000073,9.179230,139,1057,338,152,2611,1470,62,1171,1326,85,371,
12,156265,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ mdo000073,3.629049,151,1021,358,162,1584,,,,,,,
13,170465,20260624134028346645,java_exception,failure,B9,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ mdo000073,11.677558,168,1035,348,158,2644,892,52,1959,1352,62,1948,677
14,184665,20260624134028346645,success,,,,10.759704,193,981,674,335,1363,577,46,1147,1330,76,2094,1458
