trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,68,20260624134028346645,success,,,,8.392945,128,1150,413,159,2382,1175,42,340,627,103,467,963
2,14268,20260624134028346645,success,,,,8.126430,198,1074,404,392,840,347,76,1751,1043,69,1143,292
3,28468,20260624134028346645,success,,,,8.471512,91,1151,536,179,1027,420,57,1011,1042,90,1723,713
4,42668,20260624134028346645,success,,,,9.612846,117,1137,203,171,791,615,65,1824,1167,70,1896,1124
5,56868,20260624134028346645,success,,,,9.211164,108,1156,206,907,2224,434,40,954,1142,65,381,1138
6,71068,20260624134028346645,success,,,,11.377540,175,1066,754,203,2264,1066,35,1000,1029,115,1754,692
7,85268,20260624134028346645,success,,,,9.088370,151,1127,620,157,880,1353,100,1777,244,82,459,1240
8,99468,20260624134028346645,success,,,,9.881338,117,1133,195,510,1458,1247,44,1644,1167,111,383,1212
9,113668,20260624134028346645,success,,,,9.750462,158,1127,382,180,2050,762,50,1840,1154,79,371,1163
10,127868,20260624134028346645,success,,,,8.179972,160,1102,219,166,1026,1337,43,1646,257,75,480,1234
11,142068,20260624134028346645,success,,,,10.097471,219,1100,609,155,2445,1259,48,1810,478,72,1062,270
12,156268,20260624134028346645,success,,,,10.375153,139,1145,403,322,1562,1275,37,1660,1167,79,1063,1067
13,170468,20260624134028346645,success,,,,8.484609,46,1159,207,188,2278,1252,48,464,205,86,1082,1033
14,184668,20260624134028346645,success,,,,9.789208,153,1148,220,405,1569,1210,49,1371,1047,70,1145,966
15,198868,20260624134028346645,success,,,,9.414418,175,1070,774,179,1589,759,69,1674,990,88,402,377
16,213068,20260624134028346645,success,,,,8.358227,175,1103,201,181,2073,726,49,370,1063,94,274,1213
17,227268,20260624134028346645,success,,,,8.915490,164,1099,412,347,2244,397,40,441,1074,87,461,1173
18,241468,20260624134028346645,success,,,,9.180056,209,1107,196,424,2120,1205,57,411,921,72,1691,342
19,255668,20260624134028346645,success,,,,9.914842,166,1095,205,175,2234,1263,46,1674,1010,87,451,1069
20,269868,20260624134028346645,success,,,,11.146510,163,1106,245,392,2259,1207,35,385,1022,72,1774,1237
21,284068,20260624134028346645,java_exception,failure,B8,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ TRANS_0000008,11.123768,138,1104,587,715,2239,1121,41,1751,1073,69,1897,
22,298268,20260624134028346645,success,,,,11.917572,130,1099,224,194,2335,1113,46,1753,1096,65,1651,724
23,312468,20260624134028346645,success,,,,8.455256,85,1184,195,164,1503,1245,37,450,923,76,1875,282
24,326668,20260624134028346645,success,,,,9.031011,204,1085,188,161,1477,1085,85,1049,589,83,1879,669
25,340868,20260624134028346645,success,,,,8.073524,209,1117,232,158,985,795,60,390,1046,69,988,1137
26,355068,20260624134028346645,success,,,,8.348457,169,1160,214,352,657,446,66,730,1134,82,1820,1108
27,369268,20260624134028346645,success,,,,9.564603,86,1165,382,183,2253,359,91,406,1053,80,1824,1231
28,383468,20260624134028346645,success,,,,10.839600,115,1118,363,175,2309,1182,89,1733,270,74,1851,1123
29,397668,20260624134028346645,success,,,,8.208414,89,1160,197,182,1507,1236,38,398,653,70,1124,1070
30,411868,20260624134028346645,success,,,,8.299995,188,1124,376,159,1635,1294,41,402,1100,69,1101,328
31,426068,20260624134028346645,java_exception,failure,B6,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ TRANS_0000008,6.247358,207,1076,238,175,949,1312,72,1325,512,,,
32,440268,20260624134028346645,success,,,,9.153072,198,1085,563,364,792,413,59,1767,870,105,1093,1233
33,454468,20260624134028346645,java_exception,failure,B8,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ TRANS_0000008,6.049572,128,1154,205,159,735,1462,43,352,797,88,555,
34,468668,20260624134028346645,java_exception,failure,A3,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,1.792224,87,1152,205,,,,,,,,,
35,482868,20260624134028346645,success,,,,11.562476,56,1145,750,333,2272,1208,70,1662,1022,65,1869,659
36,497068,20260624134028346645,success,,,,8.999743,246,1065,212,179,2340,734,53,238,1065,85,1717,616
37,511268,20260624134028346645,success,,,,11.090337,151,1113,230,164,2313,1199,35,1439,1194,64,1555,1181
38,525468,20260624134028346645,success,,,,8.820809,192,1062,213,189,2292,741,41,1685,1121,85,437,286
39,539668,20260624134028346645,success,,,,10.333726,41,1222,211,186,1488,1268,37,1837,1162,72,1730,660
40,553868,20260624134028346645,success,,,,10.722796,95,1171,226,179,2263,1215,37,1802,1131,72,1848,192
41,568068,20260624134028346645,success,,,,10.847045,156,1116,237,536,2336,1259,52,967,1170,79,1691,782
42,582268,20260624134028346645,success,,,,10.463294,125,1111,585,380,1586,1248,36,1677,208,122,1852,1093
43,596468,20260624134028346645,success,,,,11.447934,195,1067,236,207,1955,1200,53,1695,1161,143,1889,1205
44,610668,20260624134028346645,success,,,,9.912263,180,1118,717,355,764,1304,46,1824,1121,63,1688,286
45,624868,20260624134028346645,success,,,,9.437643,189,1070,200,183,2387,414,43,391,1117,76,1867,1061
46,639068,20260624134028346645,success,,,,10.830885,149,1092,228,180,2416,1262,98,1742,1176,73,1718,247
47,653268,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ TRANS_0000008,5.751772,203,1111,186,155,2383,735,80,519,,,,
48,667468,20260624134028346645,success,,,,12.586428,88,1164,233,515,2325,1190,45,1764,662,78,1789,1219
49,681668,20260624134028346645,success,,,,10.887977,38,1163,391,168,2319,727,53,1660,287,66,1859,679
50,695868,20260624134028346645,java_exception,failure,B9,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ TRANS_0000008,9.326986,189,1079,900,191,2373,1217,38,1018,1190,69,455,240
51,710068,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ TRANS_0000008,8.217995,164,1087,209,597,2288,1288,44,1728,,,,
52,724268,20260624134028346645,success,,,,9.205241,114,1142,200,153,643,1354,76,1758,183,93,1860,1181
53,738468,20260624134028346645,success,,,,9.387237,237,1089,232,176,2312,375,47,1670,570,68,1836,324
54,752668,20260624134028346645,java_exception,failure,B6,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ TRANS_0000008,7.558141,100,1137,213,163,2203,1169,41,957,1122,,,
55,766868,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ TRANS_0000008,7.306398,200,1102,398,185,2366,1060,43,1582,,,,
56,781068,20260624134028346645,success,,,,12.035493,202,1079,207,150,2337,1240,40,1777,1074,67,1255,1172
57,795268,20260624134028346645,java_exception,failure,B8,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ TRANS_0000008,6.191350,93,1164,204,192,908,1369,58,361,567,85,826,
58,809468,20260624134028346645,success,,,,8.884260,136,1147,218,181,1876,1233,47,400,666,84,1806,652
59,823668,20260624134028346645,success,,,,10.982305,212,1088,594,832,1436,1231,41,1794,1143,72,980,1116
60,837868,20260624134028346645,success,,,,8.130695,204,1117,200,158,894,1300,73,1669,196,75,1015,340
61,852068,20260624134028346645,success,,,,9.560214,152,1130,229,328,2274,1327,54,492,662,89,1750,631
62,866268,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ TRANS_0000008,3.459812,159,1079,213,178,1463,,,,,,,
63,880468,20260624134028346645,success,,,,8.618357,224,1077,225,360,2408,1270,49,354,317,78,379,1198
64,894668,20260624134028346645,success,,,,8.019726,116,1158,201,180,765,563,49,1763,1123,70,376,1208
65,908868,20260624134028346645,java_exception,failure,B6,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ TRANS_0000008,7.287474,208,1115,203,170,2252,1304,52,240,1096,,,
66,923068,20260624134028346645,success,,,,11.250551,139,1126,195,136,2240,1029,47,1635,1013,69,1750,1205
67,937268,20260624134028346645,success,,,,9.705119,189,1094,234,559,1479,767,54,1804,977,83,1828,199
68,951468,20260624134028346645,success,,,,10.587538,212,1112,384,163,865,1479,55,1771,1141,85,1743,1137
69,965668,20260624134028346645,success,,,,12.244378,182,1114,210,179,2354,1156,37,1688,1073,113,1787,1282
70,979868,20260624134028346645,success,,,,9.567744,107,1113,388,627,1596,1210,38,952,713,69,1764,561
71,994068,20260624134028346645,success,,,,8.614728,195,1075,211,170,619,1287,84,1773,556,82,1029,1101
72,1008268,20260624134028346645,success,,,,11.678176,180,1123,209,386,2334,1257,84,1762,1088,88,1767,945
73,1022468,20260624134028346645,success,,,,8.229065,109,1145,370,160,866,1351,63,1005,1149,84,322,1170
74,1036668,20260624134028346645,success,,,,9.488929,180,1106,199,189,2351,1280,46,1733,1178,78,459,252
75,1050868,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,5.100388,234,1074,186,347,1605,1247,44,,,,,
76,1065068,20260624134028346645,java_exception,failure,B1,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,2.022150,161,1110,202,192,,,,,,,,
77,1079268,20260624134028346645,success,,,,11.237474,138,1155,780,163,1530,1248,40,1833,1043,73,1716,1081
78,1093468,20260624134028346645,success,,,,9.283814,192,1058,962,331,2263,443,62,1770,212,79,367,1113
79,1107668,20260624134028346645,success,,,,9.229150,127,1156,342,182,1043,1299,45,1756,675,67,1818,287
80,1121868,20260624134028346645,success,,,,10.657681,160,1099,226,173,2379,1247,62,1756,927,136,970,1081
81,1136068,20260624134028346645,success,,,,11.407007,224,1092,202,178,2130,1211,43,778,1056,78,1851,1174
82,1150268,20260624134028346645,java_exception,failure,B6,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ TRANS_0000008,8.512602,204,1120,369,678,2248,1191,67,1802,461,,,
83,1164468,20260624134028346645,java_exception,failure,B6,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ TRANS_0000008,7.141998,177,1088,206,149,2274,410,42,1739,570,,,
