trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,80,20260624134028346645,success,,,,15.128164,203,5917,1285,967,2341,827,153,258,320,112,1837,226
2,14280,20260624134028346645,success,,,,15.807177,249,5865,349,334,982,2941,87,1848,197,149,1787,232
3,28480,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,12.558093,174,6007,372,344,750,1432,77,1814,1050,144,,
4,42680,20260624134028346645,success,,,,23.651744,115,6072,749,687,4495,2900,151,1798,1524,106,2704,287
5,56880,20260624134028346645,success,,,,15.550597,179,6006,363,314,2435,2662,95,1773,178,127,302,466
6,71080,20260624134028346645,success,,,,19.824951,209,5896,693,1523,3246,2958,94,464,1168,109,2449,225
7,85280,20260624134028346645,success,,,,20.117640,67,5956,659,1032,3225,2998,90,1746,1707,112,747,1026
8,99480,20260624134028346645,success,,,,20.743461,150,5951,629,311,4741,1855,141,1752,1457,120,2631,330
9,113680,20260624134028346645,success,,,,16.261296,135,5945,360,885,731,1473,70,2683,260,139,2567,230
10,127880,20260624134028346645,success,,,,17.925938,136,5947,343,642,4598,1376,111,1751,1453,237,319,333
11,142080,20260624134028346645,success,,,,16.854933,207,5950,1376,311,757,1472,121,2638,1624,193,400,1115
12,156280,20260624134028346645,success,,,,25.601930,132,5947,1043,328,6417,607,72,2450,1566,118,2534,1747
13,170480,20260624134028346645,success,,,,23.356027,52,6116,381,337,4765,2848,67,2515,1534,113,1880,1350
14,184680,20260624134028346645,success,,,,22.265496,146,5934,354,514,2436,2045,95,2577,1516,162,2575,1728
15,198880,20260624134028346645,success,,,,18.987831,174,5961,375,742,4675,2780,63,1725,1104,152,303,225
16,213080,20260624134028346645,success,,,,17.787574,128,5952,366,321,4611,2902,71,1729,189,112,497,224
17,227280,20260624134028346645,success,,,,20.974337,82,5962,2166,304,4675,1302,69,286,1177,128,2508,1625
18,241480,20260624134028346645,success,,,,18.020370,177,5915,1197,320,2366,2970,73,2520,1038,111,370,248
19,255680,20260624134028346645,success,,,,18.290701,60,6059,391,327,2419,2041,67,2608,1037,103,488,1213
20,269880,20260624134028346645,java_exception,failure,B1,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,7.457394,141,5985,624,330,,,,,,,,
21,284080,20260624134028346645,success,,,,16.726865,222,5945,369,319,967,1504,234,2583,1574,114,1843,328
22,298280,20260624134028346645,success,,,,20.422593,198,5960,381,521,2439,4338,74,2618,179,116,2563,334
23,312480,20260624134028346645,success,,,,14.378155,151,5905,538,319,3218,1911,70,286,172,158,728,236
24,326680,20260624134028346645,success,,,,23.772625,218,6019,676,339,4452,2761,68,2471,175,104,2527,1820
25,340880,20260624134028346645,success,,,,20.982336,156,5959,653,324,3185,2896,88,1299,1705,136,2805,269
26,355080,20260624134028346645,success,,,,18.697963,126,6011,370,1348,3218,1387,81,1762,180,155,1779,1574
27,369280,20260624134028346645,success,,,,15.002325,127,5937,1876,321,738,492,101,290,324,145,2781,1207
28,383480,20260624134028346645,success,,,,15.641615,120,5951,347,1013,2395,1846,64,263,1154,200,518,1114
29,397680,20260624134028346645,success,,,,15.157455,134,5969,938,322,2417,1836,59,522,1636,100,310,259
30,411880,20260624134028346645,success,,,,15.755820,103,5945,627,325,3240,1358,68,304,182,112,2514,225
31,426080,20260624134028346645,success,,,,14.624824,269,5866,340,655,3526,1379,105,442,212,106,310,412
32,440280,20260624134028346645,success,,,,15.831838,38,6086,378,348,759,1509,82,2646,210,230,1861,268
33,454480,20260624134028346645,success,,,,14.831700,245,5956,828,317,4584,473,82,287,224,130,306,680
34,468680,20260624134028346645,success,,,,19.208953,196,5927,625,698,4744,1398,71,312,1521,145,2561,332
35,482880,20260624134028346645,success,,,,20.831833,174,5911,377,746,4707,1843,69,2489,288,104,1797,1635
36,497080,20260624134028346645,java_exception,failure,A3,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,7.042643,198,5887,580,,,,,,,,,
37,511280,20260624134028346645,success,,,,20.701651,99,5959,1084,325,4691,2769,94,291,1556,137,1895,1107
38,525480,20260624134028346645,success,,,,20.512035,99,5939,653,1313,4648,2974,80,1761,171,108,483,1610
39,539680,20260624134028346645,success,,,,12.618690,158,5964,364,325,758,529,100,293,1708,161,367,1185
40,553880,20260624134028346645,success,,,,15.920772,86,5968,357,361,3197,1410,66,248,1033,191,585,1749
41,568080,20260624134028346645,success,,,,18.404004,104,5958,362,1040,4575,2858,76,1718,287,105,299,325
42,582280,20260624134028346645,success,,,,21.738506,171,5912,1158,1740,4968,1249,77,1665,291,119,2639,1026
43,596480,20260624134028346645,success,,,,18.526483,244,5886,571,340,6397,1765,83,269,257,128,303,1498
44,610680,20260624134028346645,success,,,,19.863012,253,5897,954,1260,4626,522,62,255,1048,111,2529,1656
45,624880,20260624134028346645,success,,,,23.759247,126,5984,1404,671,4704,2945,71,2475,1105,114,1778,1651
46,639080,20260624134028346645,success,,,,16.614541,166,5912,369,324,2410,1299,71,1297,1140,109,2564,224
47,653280,20260624134028346645,success,,,,19.357631,143,5937,677,1120,4569,1358,131,261,999,112,1740,1643
48,667480,20260624134028346645,success,,,,17.890060,78,5941,379,345,4616,1478,159,2410,1127,129,298,239
49,681680,20260624134028346645,success,,,,18.299584,124,5969,699,342,4808,1412,74,1732,179,113,508,1670
50,695880,20260624134028346645,success,,,,18.528143,92,5963,379,869,3207,3649,132,1821,983,141,379,230
51,710080,20260624134028346645,success,,,,20.597697,155,5965,1385,1119,4474,1358,170,2492,1001,108,498,1162
52,724280,20260624134028346645,success,,,,19.247840,44,6008,620,317,4515,557,204,279,1697,116,2575,1655
53,738480,20260624134028346645,success,,,,19.372666,192,5942,390,317,3209,1419,75,2558,1685,106,2482,320
54,752680,20260624134028346645,success,,,,21.625491,91,5940,696,334,3159,3018,72,1706,1168,111,2450,1879
55,766880,20260624134028346645,success,,,,17.005352,142,5950,352,356,775,562,83,2693,1622,118,2533,1118
56,781080,20260624134028346645,success,,,,16.510092,59,5948,375,765,2390,1347,64,2628,1549,110,373,226
57,795280,20260624134028346645,success,,,,16.524191,132,6042,356,334,1052,1452,76,1845,1667,116,2563,224
58,809480,20260624134028346645,success,,,,17.909587,207,5953,393,329,2407,1823,62,1795,200,182,2713,1151
59,823680,20260624134028346645,success,,,,16.822146,241,5952,380,318,2414,1304,66,290,1598,287,1738,1217
60,837880,20260624134028346645,success,,,,17.437519,45,6021,589,312,4684,491,72,525,1080,144,2562,232
61,852080,20260624134028346645,success,,,,18.666453,129,5934,366,686,4651,1931,83,2448,174,121,323,1010
62,866280,20260624134028346645,success,,,,18.986515,214,5933,374,318,3192,1945,77,2536,1661,107,315,1572
63,880480,20260624134028346645,success,,,,17.898395,88,5917,388,324,5000,511,97,1818,176,119,2553,226
64,894680,20260624134028346645,success,,,,18.355011,114,5967,635,584,2381,1315,70,1844,205,118,2824,1623
65,908880,20260624134028346645,success,,,,20.885470,241,5926,360,323,4675,2936,77,261,999,128,2511,1629
66,923080,20260624134028346645,success,,,,17.594515,77,5954,342,302,3160,1301,70,1823,1526,262,1779,330
67,937280,20260624134028346645,success,,,,18.581650,228,5875,356,993,2424,2751,58,1664,1606,410,346,1167
68,951480,20260624134028346645,success,,,,20.282229,296,5869,354,331,4985,1810,79,1735,176,211,2631,1014
69,965680,20260624134028346645,success,,,,19.613463,135,5949,348,304,4411,1342,63,1824,185,115,2653,1600
70,979880,20260624134028346645,success,,,,17.640506,63,5952,379,321,3227,2804,120,1741,181,114,482,1571
71,994080,20260624134028346645,success,,,,16.336942,60,5969,362,328,2337,1434,63,1706,1079,140,1768,335
72,1008280,20260624134028346645,success,,,,16.991154,209,5916,953,634,4562,499,59,1691,1004,134,430,222
73,1022480,20260624134028346645,success,,,,18.629219,196,5943,348,969,4978,2886,89,265,171,117,314,1634
74,1036680,20260624134028346645,success,,,,18.722886,116,5971,367,324,2417,1307,67,2620,303,145,2555,1814
75,1050880,20260624134028346645,success,,,,13.804551,143,5947,1108,337,2381,1818,88,286,216,185,380,237
76,1065080,20260624134028346645,success,,,,16.853933,117,5972,380,570,3183,2979,150,298,312,116,1868,225
77,1079280,20260624134028346645,success,,,,18.040205,281,5882,1349,313,2436,1759,96,1861,1026,147,1959,233
78,1093480,20260624134028346645,success,,,,18.797004,103,5977,376,310,4635,578,100,2514,1003,466,488,1567
79,1107680,20260624134028346645,success,,,,21.810534,189,6020,964,1548,3530,2975,72,1793,176,161,2501,1138
80,1121880,20260624134028346645,success,,,,14.656536,71,5993,344,658,746,3084,149,261,216,231,1871,254
81,1136080,20260624134028346645,success,,,,16.910192,83,6031,693,328,3162,555,67,2410,182,111,1865,698
82,1150280,20260624134028346645,success,,,,18.990302,278,5848,352,1089,4754,2997,83,262,185,211,513,1713
83,1164480,20260624134028346645,success,,,,19.552353,140,5966,359,1226,2380,2919,78,252,1069,147,2665,1645
84,1178680,20260624134028346645,success,,,,19.923915,85,6020,647,322,4648,1909,91,2651,583,109,489,1591
85,1192880,20260624134028346645,success,,,,20.178506,275,5978,1155,649,4976,1441,189,1639,1573,140,301,1015
86,1207080,20260624134028346645,success,,,,22.113559,162,6017,385,348,4674,1910,181,2608,565,108,2636,1801
87,1221280,20260624134028346645,success,,,,23.210626,208,5898,355,354,4702,2886,161,2518,178,181,1771,1738
88,1235480,20260624134028346645,success,,,,15.254953,175,5946,377,328,4458,1962,194,267,185,116,306,239
89,1249680,20260624134028346645,success,,,,18.287366,134,6102,385,1386,5049,636,61,452,295,116,1826,1047
90,1263880,20260624134028346645,success,,,,22.107016,53,5993,379,348,4691,1350,76,2442,1209,116,2509,297
91,1278080,20260624134028346645,success,,,,18.591647,139,5930,372,331,3271,2170,104,303,751,140,2777,1599
92,1292280,20260624134028346645,success,,,,17.821462,87,5955,893,551,4743,1342,174,261,1024,107,1778,233
