trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,14,20260624134028346645,success,,,,5.727159,40,115,321,381,401,487,31,938,765,79,932,865
2,14214,20260624134028346645,success,,,,5.400556,36,115,170,96,837,234,34,917,794,58,893,877
3,28414,20260624134028346645,success,,,,5.105833,28,118,163,197,555,308,36,1000,908,38,542,853
4,42614,20260624134028346645,success,,,,5.154895,31,119,156,98,989,494,87,883,593,34,553,756
5,56814,20260624134028346645,time_limit_exceeded,timeout,B7,Repair timeout: B7 exceeded 300 seconds,303.423993,41,116,160,104,378,386,41,1067,598,300002,,
6,71014,20260624134028346645,success,,,,4.925968,24,120,171,108,412,517,42,1043,534,23,768,790
7,85214,20260624134028346645,success,,,,4.517989,33,113,158,105,428,288,168,1100,511,25,720,505
8,99414,20260624134028346645,time_limit_exceeded,timeout,B4,Repair timeout: B4 exceeded 300 seconds,301.807455,30,118,154,96,561,339,300002,,,,,
9,113614,20260624134028346645,success,,,,5.845361,23,130,167,213,761,634,39,843,767,32,752,905
10,127814,20260624134028346645,success,,,,4.843165,32,114,170,218,624,284,46,972,766,26,741,497
11,142014,20260624134028346645,success,,,,4.473749,27,119,264,83,333,339,38,1072,524,27,532,765
12,156214,20260624134028346645,time_limit_exceeded,timeout,B7,Repair timeout: B7 exceeded 300 seconds,304.129079,23,125,169,315,867,242,44,996,786,300001,,
13,170414,20260624134028346645,success,,,,4.942151,24,120,160,105,1009,234,53,676,840,22,514,817
14,184614,20260624134028346645,success,,,,5.237675,32,115,252,88,371,442,124,1006,846,25,730,559
15,198814,20260624134028346645,success,,,,4.911375,33,112,495,61,624,246,45,707,791,21,544,860
16,213014,20260624134028346645,success,,,,5.227757,32,119,167,262,400,738,63,643,777,34,758,858
17,227214,20260624134028346645,success,,,,4.509944,35,107,176,99,437,489,45,941,535,21,758,507
18,241414,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,3.469534,24,118,164,104,567,401,157,765,773,45,,
19,255614,20260624134028346645,success,,,,5.989556,29,120,163,95,855,331,42,664,930,24,836,853
20,269814,20260624134028346645,success,,,,5.318327,29,127,247,153,416,546,44,1046,752,22,792,781
21,284014,20260624134028346645,success,,,,4.890725,29,121,164,93,989,317,30,980,532,33,732,509
22,298214,20260624134028346645,success,,,,5.080810,35,107,162,203,433,263,33,1119,828,28,731,773
23,312414,20260624134028346645,java_exception,failure,A3,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,0.661043,41,113,164,,,,,,,,,
24,326614,20260624134028346645,time_limit_exceeded,timeout,B7,Repair timeout: B7 exceeded 300 seconds,303.908511,40,109,158,100,1072,203,29,872,787,300001,,
25,340814,20260624134028346645,success,,,,4.922879,27,117,163,102,445,794,36,971,520,20,516,840
26,355014,20260624134028346645,time_limit_exceeded,timeout,B7,Repair timeout: B7 exceeded 300 seconds,303.717954,29,116,160,92,435,441,54,1035,827,300002,,
27,369214,20260624134028346645,success,,,,5.805684,50,104,160,191,1091,455,33,823,504,26,735,778
28,383414,20260624134028346645,success,,,,5.028617,36,118,419,57,383,429,167,722,815,24,742,754
29,397614,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,3.333729,32,109,164,103,556,421,54,986,510,37,,
30,411814,20260624134028346645,success,,,,5.815749,24,121,172,106,814,251,85,971,921,31,526,888
31,426014,20260624134028346645,success,,,,5.380135,22,120,162,100,891,180,70,1084,779,30,740,840
32,440214,20260624134028346645,success,,,,4.807668,28,120,168,98,406,458,41,1056,486,66,767,745
33,454414,20260624134028346645,success,,,,4.871666,26,121,167,102,976,341,46,925,749,56,502,504
34,468614,20260624134028346645,success,,,,5.805748,40,107,235,81,522,308,60,1065,755,32,792,772
