trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,78,20260624134028346645,success,,,,19.661157,49,4960,649,343,5954,4170,81,712,300,130,1105,460
2,14278,20260624134028346645,success,,,,30.890660,67,4918,389,381,5604,3928,68,5647,2153,105,6040,553
3,28478,20260624134028346645,success,,,,23.025250,44,4975,406,369,3195,946,104,458,1902,108,5568,4159
4,42678,20260624134028346645,success,,,,18.349280,180,4918,981,369,5891,945,79,949,421,115,821,1937
5,56878,20260624134028346645,success,,,,18.595049,103,4916,400,661,1670,4134,76,792,1909,129,1085,1986
6,71078,20260624134028346645,success,,,,19.652580,46,4936,753,376,5997,1771,64,798,729,149,1129,1852
7,85278,20260624134028346645,success,,,,20.603579,78,4964,398,370,3709,3949,63,683,627,126,1123,3744
8,99478,20260624134028346645,success,,,,29.444691,127,4926,791,350,5999,4077,65,2925,2107,131,5992,1008
9,113678,20260624134028346645,success,,,,19.070643,83,4931,397,364,3505,984,92,962,1964,114,3022,1910
10,127878,20260624134028346645,success,,,,22.864524,154,4918,780,674,6212,2070,87,1081,419,100,5256,268
11,142078,20260624134028346645,success,,,,24.654958,37,4978,820,1067,5920,3855,87,2966,2108,131,1323,479
12,156278,20260624134028346645,success,,,,31.366651,172,4899,405,381,6083,5451,68,2985,693,121,1404,4233
13,170478,20260624134028346645,success,,,,15.536599,129,4897,392,363,3539,1007,77,769,412,114,1034,2037
14,184678,20260624134028346645,success,,,,24.548235,64,4927,754,373,6014,1809,114,5239,415,113,1115,719
15,198878,20260624134028346645,success,,,,23.001738,111,4937,390,380,5977,605,98,3092,679,108,5293,472
16,213078,20260624134028346645,success,,,,19.630888,80,4936,1097,372,5858,793,72,2884,393,108,359,1935
17,227278,20260624134028346645,success,,,,18.109611,100,4902,711,668,1389,3975,74,872,305,118,568,3696
18,241478,20260624134028346645,success,,,,20.723661,165,4919,408,367,3038,943,72,493,3787,113,5341,327
19,255678,20260624134028346645,success,,,,17.811936,55,4941,405,364,1342,4161,67,964,3720,106,370,452
20,269878,20260624134028346645,success,,,,20.987089,141,4911,401,351,5922,4182,89,805,438,108,751,2072
21,284078,20260624134028346645,success,,,,25.861770,218,4900,399,1031,3113,834,82,1022,1929,111,5420,3917
