trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,69,20260624134028346645,success,,,,19.245499,188,550,2781,1097,4348,308,90,1515,102,96,5812,1763
2,14269,20260624134028346645,success,,,,11.130510,192,505,509,236,2140,332,63,189,4159,211,165,1043
3,28469,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,8.875314,180,518,878,784,485,2805,357,1443,907,116,,
4,42669,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,4.729808,227,486,532,220,501,2225,171,,,,,
5,56869,20260624134028346645,success,,,,27.370544,143,534,307,794,606,8446,55,6058,116,118,8483,855
6,71069,20260624134028346645,java_exception,failure,B1,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,1.981912,189,506,492,437,,,,,,,,
7,85269,20260624134028346645,success,,,,23.794477,193,502,287,670,2533,3158,64,1499,1091,111,12573,221
8,99469,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,12.114084,191,518,332,241,509,1321,87,2860,5552,106,,
9,113669,20260624134028346645,success,,,,30.264844,126,551,315,230,2054,5960,103,5004,963,492,162,9683
10,127869,20260624134028346645,success,,,,20.533624,62,592,696,586,6326,293,353,127,902,89,9720,163
11,142069,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,7.231591,90,558,526,262,2088,311,65,1508,1318,126,,
12,156269,20260624134028346645,success,,,,38.194252,194,514,935,2894,6309,4779,47,12155,145,97,7644,1479
13,170469,20260624134028346645,success,,,,11.027458,102,546,339,913,503,3474,63,2900,134,270,228,943
14,184669,20260624134028346645,java_exception,failure,B1,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,4.059100,185,508,1483,1510,,,,,,,,
15,198869,20260624134028346645,success,,,,24.259328,139,532,356,240,7116,2661,523,1480,4807,183,3724,1703
16,213069,20260624134028346645,success,,,,14.609213,171,511,2699,235,2014,299,92,1490,1000,173,2951,2374
