trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,114,20260624134028346645,success,,,,44.390399,454,9957,438,391,8283,5474,131,7867,5534,191,4134,498
2,14314,20260624134028346645,success,,,,49.544328,398,9905,760,1408,8056,2692,101,8236,5497,203,8744,2364
3,28514,20260624134028346645,memory_limit_exceeded,,,,61.174044,,,,,,,,,,,,
4,42714,20260624134028346645,memory_limit_exceeded,,,,47.760560,,,,,,,,,,,,
5,56914,20260624134028346645,success,,,,52.930575,220,10036,425,365,8309,930,177,8415,4735,312,8497,2384
6,71114,20260624134028346645,memory_limit_exceeded,,,,72.488826,,,,,,,,,,,,
7,85314,20260624134028346645,success,,,,42.137961,417,9997,1171,413,8393,2845,122,767,5035,311,5745,5434
8,99514,20260624134028346645,success,,,,49.387245,306,9935,377,386,8427,2727,111,8288,6381,273,8454,2467
9,113714,20260624134028346645,success,,,,39.293819,221,10053,415,1192,8410,2866,106,8944,2407,203,981,2560
10,127914,20260624134028346645,success,,,,49.368617,412,9999,465,1125,8308,5395,250,1088,5213,214,8904,6814
11,142114,20260624134028346645,success,,,,41.563475,71,10164,433,802,8202,5318,106,838,2466,179,5905,2140
12,156314,20260624134028346645,success,,,,49.476712,322,9988,1156,761,4936,5223,177,4401,2892,195,9892,5825
13,170514,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Compound_form,19.325420,485,9999,401,400,4838,2787,,,,,,
14,184714,20260624134028346645,success,,,,44.264144,197,10003,425,366,4916,5386,105,7920,6065,187,4284,3266
15,198914,20260624134028346645,success,,,,42.414673,152,10112,750,397,4905,5046,117,2057,2841,235,8578,6051
16,213114,20260624134028346645,success,,,,50.520604,320,9967,393,400,8290,2722,166,8748,4446,224,7763,3263
17,227314,20260624134028346645,success,,,,42.001775,110,10128,918,449,4934,5291,170,8117,2567,244,5534,2489
18,241514,20260624134028346645,success,,,,46.082531,462,10003,409,377,8367,5143,126,4653,550,211,10022,4573
19,255714,20260624134028346645,success,,,,44.704109,450,9923,709,2561,4891,5033,116,656,4620,226,8812,5637
20,269914,20260624134028346645,success,,,,51.396444,225,10048,453,409,8334,5167,148,9087,2596,299,8632,4664
21,284114,20260624134028346645,success,,,,46.978952,300,10064,447,377,1685,5209,202,7742,5082,219,10109,4402
22,298314,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Compound_form,26.369237,393,9968,1619,2855,8389,2705,,,,,,
23,312514,20260624134028346645,memory_limit_exceeded,,,,89.703508,,,,,,,,,,,,
24,326714,20260624134028346645,success,,,,42.421270,151,10067,849,1171,1961,5251,92,7975,5769,166,1726,6017
25,340914,20260624134028346645,success,,,,39.538310,202,10067,783,1150,4943,5032,138,4225,457,188,4840,6450
26,355114,20260624134028346645,success,,,,45.170681,368,9989,772,398,8344,5268,123,8970,2282,342,916,6102
27,369314,20260624134028346645,success,,,,56.366897,390,9940,845,343,8352,5177,105,9034,5606,189,7068,5495
28,383514,20260624134028346645,success,,,,54.132254,170,10133,1409,378,8347,5489,109,8581,3161,282,8109,2825
29,397714,20260624134028346645,success,,,,48.491276,137,9992,1462,773,5031,2908,93,7698,5871,426,8383,4578
30,411914,20260624134028346645,success,,,,41.963458,422,9973,415,701,4848,5369,196,7554,3632,356,4645,710
31,426114,20260624134028346645,memory_limit_exceeded,,,,72.787837,,,,,,,,,,,,
32,440314,20260624134028346645,success,,,,41.390842,480,10072,409,413,4824,5200,96,4434,5796,174,4275,3930
33,454514,20260624134028346645,success,,,,47.230841,280,10058,456,810,8569,3116,263,4886,5468,186,4628,5969
34,468714,20260624134028346645,success,,,,46.415424,287,10093,389,1663,4984,2668,184,8021,5829,224,8578,2356
35,482914,20260624134028346645,success,,,,53.532310,419,9960,436,374,8271,5252,98,8429,5580,295,8660,4446
36,497114,20260624134028346645,success,,,,48.639224,296,10069,424,403,8355,5007,173,4601,3420,222,8441,1229
37,511314,20260624134028346645,java_exception,failure,B8,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Compound_form,34.422498,398,10014,461,1160,8149,2796,99,3965,5785,255,734,
38,525514,20260624134028346645,memory_limit_exceeded,,,,328.968671,,,,,,,,,,,,
39,539714,20260624134028346645,memory_limit_exceeded,,,,60.409259,,,,,,,,,,,,
