trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,83,20260624134028346645,success,,,,21.870770,97,6589,404,367,2436,1431,135,1814,1186,142,4455,1181
2,14283,20260624134028346645,success,,,,27.976417,221,6472,407,340,3643,2796,142,4032,1138,188,4153,1499
3,28483,20260624134028346645,success,,,,25.255356,77,6591,406,345,3614,1423,157,3920,1231,173,2180,2972
4,42683,20260624134028346645,success,,,,23.678868,200,6417,370,353,4490,2176,132,1726,2784,147,2001,1349
5,56883,20260624134028346645,success,,,,21.494613,104,6484,389,347,2519,2184,121,1858,2693,189,1855,1198
6,71083,20260624134028346645,success,,,,21.459723,238,6359,367,356,2455,2145,142,1801,1167,165,1901,2699
7,85283,20260624134028346645,success,,,,23.807495,278,6430,729,330,3676,2158,101,1799,2796,262,1856,1289
8,99483,20260624134028346645,success,,,,21.321195,270,6350,412,353,3641,1364,161,1816,1176,151,2057,1275
9,113683,20260624134028346645,success,,,,23.709578,282,6464,413,338,3566,2196,169,1811,2770,265,1836,1334
10,127883,20260624134028346645,success,,,,27.895074,282,6320,415,349,4513,2211,120,4114,1073,182,4252,1803
11,142083,20260624134028346645,success,,,,27.052176,114,6536,387,344,4621,2157,158,1827,2537,164,4199,1333
12,156283,20260624134028346645,success,,,,22.798734,108,6469,377,348,3612,2790,113,1808,1217,192,1891,1141
13,170483,20260624134028346645,success,,,,23.829972,112,6561,389,361,3593,2185,128,3995,1175,177,1890,1330
14,184683,20260624134028346645,success,,,,23.146480,125,6418,401,355,3629,2211,173,1757,1223,229,2057,2956
15,198883,20260624134028346645,success,,,,26.133995,288,6429,408,375,4528,2182,166,4108,1058,171,2093,1261
16,213083,20260624134028346645,success,,,,24.117724,59,6454,409,341,2538,1358,104,1839,2608,151,4332,1277
17,227283,20260624134028346645,success,,,,24.630938,39,6585,412,345,4599,2780,148,1777,1142,167,1892,1265
18,241483,20260624134028346645,success,,,,24.933607,303,6357,383,381,2440,2818,152,1814,2557,230,2135,2918
19,255683,20260624134028346645,success,,,,22.106127,173,6514,379,370,2382,2200,140,1967,1080,218,3881,1253
20,269883,20260624134028346645,success,,,,24.034588,105,6555,615,342,2483,1395,145,1760,2595,147,1998,2909
21,284083,20260624134028346645,success,,,,27.143766,184,6510,377,349,4492,1507,139,3694,1204,166,1813,2706
22,298283,20260624134028346645,success,,,,26.384595,138,6430,411,325,3624,2759,165,4182,2755,187,2507,1200
23,312483,20260624134028346645,success,,,,26.127197,154,6543,384,345,4622,1427,110,1799,1232,257,4191,2963
24,326683,20260624134028346645,success,,,,32.185495,164,6525,408,368,3685,2845,169,4148,2672,194,4223,1932
25,340883,20260624134028346645,success,,,,27.201132,150,6432,401,376,4577,2788,104,2046,1204,172,4078,1388
26,355083,20260624134028346645,success,,,,24.949883,270,6369,666,354,4528,2822,146,1749,1188,152,1864,1248
27,369283,20260624134028346645,success,,,,23.667909,72,6407,406,333,3640,2827,146,1946,1239,252,1909,2812
28,383483,20260624134028346645,success,,,,25.245559,270,6422,384,359,4531,1340,135,1709,1120,260,1928,2619
29,397683,20260624134028346645,success,,,,25.512083,285,6410,416,378,4501,2235,149,4049,1094,181,2024,1283
30,411883,20260624134028346645,success,,,,21.040264,101,6430,392,328,2506,2180,162,1754,1155,151,2059,1323
31,426083,20260624134028346645,success,,,,25.421944,134,6519,383,354,4484,2817,172,1956,2574,166,1894,1199
32,440283,20260624134028346645,success,,,,25.834058,120,6526,417,356,4607,2801,160,1883,1080,293,3960,1276
33,454483,20260624134028346645,success,,,,23.570158,221,6380,400,369,3579,1408,145,4085,1200,177,1939,1271
34,468683,20260624134028346645,success,,,,22.663934,103,6432,395,353,2472,1329,155,1843,1184,212,4315,1254
35,482883,20260624134028346645,success,,,,26.160772,236,6524,402,349,4575,2123,147,1746,2530,155,1844,2814
36,497083,20260624134028346645,success,,,,23.322814,137,6481,416,356,2489,2831,150,1742,1193,170,2141,2922
37,511283,20260624134028346645,success,,,,23.609287,276,6445,410,367,4517,2226,117,1767,1209,247,2024,1226
38,525483,20260624134028346645,success,,,,27.735927,206,6368,371,352,2487,2203,114,3947,1300,172,4042,2716
39,539683,20260624134028346645,success,,,,22.529952,92,6451,378,329,2464,1381,136,1774,1125,195,4272,1266
40,553883,20260624134028346645,success,,,,28.420701,148,6544,397,347,3660,2832,117,1795,1307,192,4360,2832
41,568083,20260624134028346645,success,,,,24.949780,317,6330,395,335,4548,2227,172,1728,2830,181,2032,1276
42,582283,20260624134028346645,success,,,,24.947004,102,6500,381,361,2485,2237,138,3950,2648,285,1848,1310
43,596483,20260624134028346645,success,,,,25.848032,113,6439,397,658,4533,2191,149,1910,1269,174,1780,2688
44,610683,20260624134028346645,success,,,,24.071634,103,6558,716,341,2531,2819,162,1738,1143,242,4243,1315
45,624883,20260624134028346645,success,,,,30.004460,124,6413,405,355,4476,1414,103,4088,1171,172,4052,3009
46,639083,20260624134028346645,success,,,,21.177669,221,6443,406,322,3603,2165,152,1768,1054,233,1982,1272
47,653283,20260624134028346645,success,,,,23.530955,53,6489,407,321,2540,2814,142,3971,1265,256,1781,1330
48,667483,20260624134028346645,success,,,,21.554906,142,6518,406,353,3614,1365,124,1872,1109,162,2182,1209
49,681683,20260624134028346645,success,,,,26.127211,284,6358,385,344,4624,2843,159,3881,1105,155,1836,1331
50,695883,20260624134028346645,success,,,,21.992005,271,6508,402,575,3590,2194,131,1787,1195,182,2060,1266
51,710083,20260624134028346645,success,,,,24.828166,277,6394,409,356,2436,2800,166,3925,1274,152,1967,2935
52,724283,20260624134028346645,success,,,,24.516609,69,6556,393,356,4470,1386,167,1860,1305,178,4254,1166
53,738483,20260624134028346645,success,,,,26.740138,52,6512,751,312,3630,2243,143,1718,2550,170,3954,1248
54,752683,20260624134028346645,success,,,,21.327234,188,6488,639,362,2512,2774,129,1766,1105,148,2067,1302
55,766883,20260624134028346645,success,,,,25.553993,130,6439,373,348,4586,2244,166,2006,2458,174,2015,1303
56,781083,20260624134028346645,success,,,,27.208053,261,6476,409,357,2399,2758,159,3943,1114,175,4068,1129
57,795283,20260624134028346645,success,,,,23.145398,141,6444,376,349,2409,2892,115,1857,1266,150,2151,2777
58,809483,20260624134028346645,success,,,,20.653589,163,6457,384,358,2549,1476,126,1813,1166,173,1995,1328
59,823683,20260624134028346645,success,,,,24.709981,158,6408,404,341,4645,1427,113,1929,1214,148,1797,2744
60,837883,20260624134028346645,success,,,,23.719550,274,6479,395,358,2485,1403,141,1758,2757,160,4175,1640
61,852083,20260624134028346645,success,,,,28.909375,159,6520,395,334,3665,2175,163,4090,2832,179,1940,2881
62,866283,20260624134028346645,success,,,,26.457610,216,6524,407,351,4289,2815,136,3566,1214,157,1744,1251
63,880483,20260624134028346645,success,,,,25.496491,175,6394,389,338,4502,2854,177,1958,2796,168,1882,1494
64,894683,20260624134028346645,success,,,,30.596487,131,6433,388,336,4503,1412,144,3859,1291,198,4289,3383
65,908883,20260624134028346645,success,,,,28.690922,301,6426,794,343,4504,1408,136,4072,2582,380,1873,1240
66,923083,20260624134028346645,success,,,,21.521408,268,6523,408,346,2446,2126,139,1893,2553,174,1942,1069
67,937283,20260624134028346645,success,,,,23.469773,130,6474,678,336,2409,2186,140,4001,1308,195,1797,1154
68,951483,20260624134028346645,success,,,,24.919978,140,6597,696,347,4419,1404,133,1798,2686,262,1985,1266
69,965683,20260624134028346645,success,,,,22.143496,61,6527,413,586,3530,1346,111,1848,1163,200,2059,1326
70,979883,20260624134028346645,success,,,,27.019352,35,6478,406,355,3572,2171,155,4024,2822,214,1891,3111
71,994083,20260624134028346645,success,,,,24.483848,138,6536,658,344,2515,2232,121,1857,2597,184,1932,2885
72,1008283,20260624134028346645,success,,,,24.904936,234,6402,756,347,3665,1457,145,3858,1178,153,1871,1225
73,1022483,20260624134028346645,success,,,,24.242438,61,6445,395,380,3547,2796,130,1754,1278,189,4193,1340
74,1036683,20260624134028346645,java_exception,failure,A3,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,7.434686,140,6512,397,,,,,,,,,
75,1050883,20260624134028346645,success,,,,27.682231,86,6553,385,373,3590,2815,150,4050,1161,205,4048,1281
76,1065083,20260624134028346645,success,,,,21.273874,135,6420,377,325,2568,2868,155,1753,1203,155,2151,1322
77,1079283,20260624134028346645,success,,,,26.451927,151,6527,430,362,3615,2220,154,4110,1128,150,4731,1152
78,1093483,20260624134028346645,success,,,,23.829529,159,6538,413,344,2398,2261,142,1759,1147,226,4208,1298
79,1107683,20260624134028346645,success,,,,30.662577,68,6489,400,372,4505,2824,153,1802,2504,153,4084,3248
80,1121883,20260624134028346645,success,,,,25.522729,274,6338,394,331,4430,2776,162,1854,2780,201,2032,1241
81,1136083,20260624134028346645,success,,,,22.867346,195,6472,376,358,2486,2837,142,1908,1178,178,3945,1227
82,1150283,20260624134028346645,success,,,,23.215112,107,6572,392,347,2406,2197,111,1768,2608,205,2005,2682
83,1164483,20260624134028346645,success,,,,20.630994,82,6552,391,335,3535,1400,176,1803,1170,187,2007,1294
84,1178683,20260624134028346645,success,,,,29.022102,66,6569,405,344,4606,2781,127,1782,2538,278,4106,1527
85,1192883,20260624134028346645,success,,,,29.693645,247,6475,423,351,4505,2843,126,4180,1244,149,4203,1301
86,1207083,20260624134028346645,success,,,,28.154328,194,6422,393,358,4526,2237,130,1742,1296,192,4146,2985
87,1221283,20260624134028346645,success,,,,26.134081,241,6387,376,541,3621,2794,153,4238,1100,169,2049,1125
88,1235483,20260624134028346645,success,,,,28.948352,219,6332,415,326,4562,2233,158,1830,2492,149,4282,1096
89,1249683,20260624134028346645,success,,,,23.288388,294,6396,390,325,4539,2202,147,1959,1237,194,1887,1263
90,1263883,20260624134028346645,success,,,,26.360242,153,6388,373,354,2449,2825,135,1938,2772,184,1901,2563
91,1278083,20260624134028346645,success,,,,29.679179,180,6562,405,340,4509,1430,147,1768,2524,156,3889,2924
92,1292283,20260624134028346645,success,,,,20.397181,256,6412,415,350,2340,2255,137,1722,1173,194,2083,1289
93,1306483,20260624134028346645,success,,,,23.483778,193,6378,418,358,3576,2233,123,1715,2554,151,1861,1232
94,1320683,20260624134028346645,success,,,,25.034057,270,6468,410,368,2509,1410,138,3851,2763,154,1920,2965
95,1334883,20260624134028346645,success,,,,25.853709,59,6479,410,343,4511,2880,128,1963,1161,168,3906,1318
96,1349083,20260624134028346645,success,,,,22.381896,189,6394,414,328,3576,2924,153,1810,1205,152,1809,1285
97,1363283,20260624134028346645,success,,,,26.240681,307,6445,405,655,2467,1421,128,4012,2644,251,4042,1361
98,1377483,20260624134028346645,success,,,,27.507221,183,6497,385,356,4412,2809,119,4120,1140,165,2136,1266
99,1391683,20260624134028346645,success,,,,23.294350,322,6338,393,306,2437,2194,119,3919,1221,270,1768,1153
100,1405883,20260624134028346645,success,,,,23.839214,71,6447,418,351,2465,2755,122,4016,1167,210,2078,1311
101,1420083,20260624134028346645,success,,,,24.972849,177,6543,404,362,3635,2197,124,1845,1122,184,2101,2939
