trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,22,20260624134028346645,success,,,,3.056377,55,240,180,103,714,507,28,334,200,36,96,204
2,14222,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,2.578183,31,249,410,71,359,353,38,538,165,29,,
3,28422,20260624134028346645,success,,,,2.976974,37,241,180,244,612,365,29,282,171,24,96,347
4,42622,20260624134028346645,success,,,,2.877817,59,230,366,153,594,393,28,245,78,24,123,232
5,56822,20260624134028346645,success,,,,3.249243,44,233,274,243,359,423,25,392,233,25,410,216
6,71022,20260624134028346645,success,,,,2.914197,76,230,421,80,539,262,24,382,179,38,130,202
7,85222,20260624134028346645,success,,,,3.127521,81,214,273,171,704,366,22,381,158,39,218,159
8,99422,20260624134028346645,java_exception,failure,B1,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,0.883832,76,213,174,91,,,,,,,,
9,113622,20260624134028346645,success,,,,3.150097,39,248,181,85,1108,327,22,252,70,23,289,154
10,127822,20260624134028346645,success,,,,2.909129,35,245,181,95,809,354,20,293,166,23,237,70
11,142022,20260624134028346645,success,,,,2.785456,37,244,189,98,578,356,23,121,187,36,468,88
12,156222,20260624134028346645,success,,,,2.499645,47,233,181,260,342,273,27,344,75,47,111,191
13,170422,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,2.089095,43,230,282,182,609,366,35,,,,,
14,184622,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,2.053695,26,251,343,101,646,322,21,,,,,
15,198822,20260624134028346645,success,,,,2.866230,37,246,178,90,385,463,27,508,76,40,234,218
16,213022,20260624134028346645,success,,,,2.853896,84,209,178,183,798,167,65,115,90,28,368,204
17,227222,20260624134028346645,success,,,,2.727363,61,226,278,175,623,371,22,105,76,38,325,72
18,241422,20260624134028346645,success,,,,2.659445,48,233,177,90,683,413,20,311,70,51,120,84
19,255622,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: NCIT_C27157 ⊑ NCIT_C185253,1.625406,52,229,174,279,356,192,,,,,,
20,269822,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,1.694394,56,219,247,86,376,324,38,,,,,
21,284022,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,2.120178,75,219,263,85,550,550,38,,,,,
22,298222,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,2.045262,26,262,169,197,696,270,74,,,,,
23,312422,20260624134028346645,success,,,,2.903246,66,223,264,84,536,456,23,371,245,20,93,157
24,326622,20260624134028346645,success,,,,2.844763,47,245,264,86,355,305,26,404,229,32,334,141
25,340822,20260624134028346645,success,,,,3.101228,65,219,273,87,1032,270,25,226,88,30,221,203
26,355022,20260624134028346645,java_exception,failure,B1,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,1.117652,49,233,178,321,,,,,,,,
27,369222,20260624134028346645,success,,,,2.517894,61,225,178,87,579,358,26,127,178,26,132,171
28,383422,20260624134028346645,success,,,,3.116582,41,239,276,415,607,411,33,275,72,34,124,231
29,397622,20260624134028346645,success,,,,2.710320,34,252,182,91,653,446,23,121,181,29,112,239
30,411822,20260624134028346645,success,,,,3.213184,43,237,173,302,1197,295,19,233,62,21,108,153
31,426022,20260624134028346645,success,,,,2.975087,36,237,171,114,576,440,49,348,301,22,108,204
32,440222,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,2.014059,67,218,180,331,352,468,57,,,,,
33,454422,20260624134028346645,success,,,,2.903013,43,237,265,90,721,292,22,124,169,25,282,270
34,468622,20260624134028346645,success,,,,2.764418,50,231,181,371,348,394,24,369,78,28,259,71
35,482822,20260624134028346645,success,,,,3.306175,37,244,199,116,1047,334,33,118,215,38,475,98
36,497022,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,2.483979,33,249,178,194,776,284,24,273,78,45,,
37,511222,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,2.559233,28,254,370,88,580,277,24,321,234,38,,
38,525422,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,1.902807,58,225,179,89,598,378,38,,,,,
39,539622,20260624134028346645,success,,,,2.608073,26,250,183,92,384,396,61,116,218,29,293,197
40,553822,20260624134028346645,success,,,,2.520860,73,220,284,223,523,246,24,119,111,32,120,184
41,568022,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,2.015521,49,243,196,162,576,416,38,,,,,
42,582222,20260624134028346645,success,,,,2.568618,55,232,184,178,362,383,41,140,257,30,260,73
43,596422,20260624134028346645,success,,,,2.703910,32,246,275,87,584,394,60,128,195,29,119,157
44,610622,20260624134028346645,success,,,,2.727324,44,239,259,171,361,266,35,486,162,35,114,190
45,624822,20260624134028346645,success,,,,3.193597,32,250,272,90,824,350,38,359,165,24,275,153
46,639022,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,2.087096,57,232,177,99,726,433,24,,,,,
47,653222,20260624134028346645,success,,,,2.930545,25,253,279,89,812,172,28,346,83,28,310,138
48,667422,20260624134028346645,success,,,,2.736481,62,225,181,104,704,342,49,293,82,39,114,166
49,681622,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,2.646341,36,244,196,96,1124,160,52,105,255,35,,
50,695822,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,1.867734,48,230,175,273,593,169,37,,,,,
51,710022,20260624134028346645,success,,,,2.940563,48,229,264,81,848,347,24,362,85,44,93,150
52,724222,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,2.580929,46,245,180,93,699,420,31,306,190,26,,
53,738422,20260624134028346645,success,,,,2.961850,34,243,181,170,767,353,19,343,204,23,111,137
54,752622,20260624134028346645,success,,,,2.700938,38,240,185,91,573,354,24,128,263,32,322,69
55,766822,20260624134028346645,success,,,,2.671936,51,231,178,98,562,376,26,321,90,22,126,242
56,781022,20260624134028346645,success,,,,2.962000,75,226,172,163,372,827,52,340,62,23,103,178
57,795222,20260624134028346645,success,,,,2.912434,38,242,439,297,338,341,23,256,110,25,107,335
58,809422,20260624134028346645,success,,,,2.957800,34,242,178,97,395,392,32,630,164,38,217,178
59,823622,20260624134028346645,success,,,,3.279387,51,244,268,92,978,160,22,258,193,26,491,135
60,837822,20260624134028346645,success,,,,2.761986,59,224,185,96,394,454,49,124,239,27,344,211
61,852022,20260624134028346645,success,,,,2.748744,51,240,173,99,852,258,30,384,78,25,121,81
62,866222,20260624134028346645,success,,,,2.585993,76,207,185,177,533,289,28,143,184,28,114,267
63,880422,20260624134028346645,java_exception,failure,B1,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,0.965442,27,253,262,86,,,,,,,,
64,894622,20260624134028346645,success,,,,2.944678,25,243,276,91,959,156,27,277,167,26,251,84
65,908822,20260624134028346645,success,,,,2.923315,63,229,173,100,699,528,24,112,195,66,281,86
66,923022,20260624134028346645,success,,,,3.092150,40,241,331,91,733,259,21,257,171,30,418,132
67,937222,20260624134028346645,success,,,,2.982893,45,233,180,90,590,374,50,489,153,23,233,173
68,951422,20260624134028346645,success,,,,3.313866,72,220,344,154,638,588,21,356,137,24,307,95
69,965622,20260624134028346645,success,,,,3.001824,49,233,418,85,541,436,20,295,247,22,231,71
70,979822,20260624134028346645,success,,,,2.992940,32,245,171,91,1253,237,23,110,160,24,195,88
71,994022,20260624134028346645,success,,,,3.003963,82,213,177,96,894,272,25,259,171,43,322,91
72,1008222,20260624134028346645,success,,,,2.808886,72,207,278,161,350,348,85,390,92,26,231,212
73,1022422,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,1.722023,46,236,194,91,386,397,29,,,,,
74,1036622,20260624134028346645,success,,,,2.841773,80,210,260,90,820,168,19,349,168,34,115,154
75,1050822,20260624134028346645,success,,,,2.856487,81,214,372,282,551,166,28,258,238,26,121,180
76,1065022,20260624134028346645,success,,,,3.240515,47,236,263,88,949,151,39,592,207,20,197,99
77,1079222,20260624134028346645,success,,,,3.183254,49,246,192,92,681,424,22,253,396,22,240,205
78,1093422,20260624134028346645,success,,,,2.520507,47,234,174,94,561,449,22,253,84,23,124,84
79,1107622,20260624134028346645,success,,,,2.494006,59,226,183,86,563,355,24,316,78,43,113,93
80,1121822,20260624134028346645,success,,,,3.115530,64,215,180,199,1106,245,23,237,71,40,303,68
81,1136022,20260624134028346645,success,,,,2.372111,75,212,175,266,349,273,33,152,246,33,107,101
82,1150222,20260624134028346645,success,,,,2.834967,36,239,285,92,798,275,35,333,188,27,99,85
83,1164422,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: NCIT_C27157 ⊑ NCIT_C185253,2.177818,50,233,181,100,1042,247,,,,,,
84,1178622,20260624134028346645,success,,,,3.181371,48,232,185,90,714,436,23,489,149,24,280,155
