trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,85,20260624134028346645,success,,,,23.852208,155,1330,404,350,3836,1040,144,4205,3040,159,4896,2659
2,14285,20260624134028346645,success,,,,30.254526,212,1232,1229,335,3801,2422,107,4729,2456,154,5820,3007
3,28485,20260624134028346645,success,,,,26.927963,117,1339,426,626,1861,2032,132,4982,2955,140,4900,3378
4,42685,20260624134028346645,success,,,,28.090618,114,1314,1389,584,4138,2603,117,4942,2765,209,4636,3694
5,56885,20260624134028346645,success,,,,26.623851,200,1275,418,332,4155,2627,130,4162,2933,148,4530,3901
6,71085,20260624134028346645,success,,,,26.851507,61,1356,390,336,5143,1077,142,5199,2421,322,5342,2875
7,85285,20260624134028346645,success,,,,26.010182,82,1289,394,334,1911,2180,106,4886,2742,157,5405,3180
8,99485,20260624134028346645,success,,,,23.442747,85,1342,415,367,3423,1030,214,4224,2551,215,5160,3238
9,113685,20260624134028346645,success,,,,28.825933,167,1289,395,697,5214,2491,110,4928,3744,185,5279,2645
10,127885,20260624134028346645,success,,,,28.384699,298,1216,379,353,5199,2537,131,4364,2911,296,5546,3185
11,142085,20260624134028346645,success,,,,29.067305,136,1336,418,359,3706,1048,111,4747,3160,146,5491,4195
12,156285,20260624134028346645,success,,,,27.355806,233,1215,787,833,3715,2280,178,4810,2442,160,5282,4049
13,170485,20260624134028346645,success,,,,28.413390,125,1303,437,381,3649,2115,162,4349,2429,143,5203,3671
14,184685,20260624134028346645,success,,,,27.260085,212,1275,399,720,4143,2466,122,4081,2518,247,4332,2628
15,198885,20260624134028346645,success,,,,26.053022,80,1314,405,341,3650,2611,153,4150,2892,191,4475,3146
16,213085,20260624134028346645,success,,,,22.786806,86,1296,394,355,1854,2079,134,4334,2458,175,5128,2784
17,227285,20260624134028346645,success,,,,26.104563,68,1308,730,333,3409,2086,154,4715,2403,164,5086,3878
18,241485,20260624134028346645,success,,,,27.336690,190,1267,763,339,4104,2076,143,4105,2843,153,4339,3053
19,255685,20260624134028346645,success,,,,25.848361,140,1322,405,376,3766,2104,120,4376,2478,152,4343,3692
20,269885,20260624134028346645,success,,,,28.223463,68,1311,1270,557,3004,2135,114,4780,2378,139,6038,3001
21,284085,20260624134028346645,success,,,,27.398882,293,1248,412,360,3710,2133,99,4090,2380,143,6403,2978
22,298285,20260624134028346645,success,,,,29.469671,119,1313,835,327,3672,2291,137,4530,2917,281,5594,2445
23,312485,20260624134028346645,java_exception,failure,B8,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ BCTT#00274,20.546461,140,1258,721,352,4192,2539,110,4868,2808,157,2403,
24,326685,20260624134028346645,success,,,,25.556278,178,1288,386,350,3715,2147,120,4390,2863,167,5317,3246
25,340885,20260624134028346645,success,,,,26.209024,83,1332,395,370,3667,2167,112,4939,2709,145,5261,2705
26,355085,20260624134028346645,success,,,,24.661419,144,1293,750,346,1921,2291,103,4298,2807,149,4520,3567
27,369285,20260624134028346645,success,,,,24.813192,210,1298,397,374,1929,2127,138,4758,3005,157,5044,4235
28,383485,20260624134028346645,success,,,,24.663133,132,1334,394,860,4161,1030,153,4743,2841,193,5121,2572
29,397685,20260624134028346645,success,,,,27.246576,228,1230,390,339,3707,1019,159,6293,3021,142,5608,2415
30,411885,20260624134028346645,success,,,,25.221545,88,1364,402,353,3591,2052,134,4337,2394,177,4719,3304
31,426085,20260624134028346645,success,,,,26.095199,271,1277,835,331,3715,2254,156,4874,2635,141,5463,2876
32,440285,20260624134028346645,success,,,,26.388828,112,1294,692,699,3627,2516,149,4426,2711,134,5086,3539
33,454485,20260624134028346645,success,,,,26.912245,107,1286,681,687,3821,2332,143,4790,2787,140,5184,3590
34,468685,20260624134028346645,success,,,,26.614763,119,1336,393,337,1883,2256,131,5114,2293,254,4930,3200
35,482885,20260624134028346645,success,,,,25.891903,67,1319,388,339,3725,2524,115,4917,2394,179,5038,3453
36,497085,20260624134028346645,success,,,,25.430630,131,1295,793,346,3774,2234,125,4072,3037,277,5443,2629
37,511285,20260624134028346645,java_exception,failure,B1,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,2.658005,271,1230,413,365,,,,,,,,
38,525485,20260624134028346645,success,,,,25.897219,64,1350,422,363,2068,1024,141,4879,2530,216,5460,3370
39,539685,20260624134028346645,success,,,,26.579627,56,1311,1187,351,1925,2147,117,4700,2397,152,5076,3689
40,553885,20260624134028346645,success,,,,24.674417,55,1326,412,362,3673,1031,129,5061,2897,154,4452,3691
41,568085,20260624134028346645,success,,,,28.085851,157,1311,415,364,4155,2112,113,4712,2979,147,5691,4595
42,582285,20260624134028346645,success,,,,26.161643,123,1260,408,346,3818,2180,133,5073,2880,150,4264,3857
43,596485,20260624134028346645,success,,,,26.500209,114,1313,407,339,3495,2190,195,4749,2716,148,5354,4055
44,610685,20260624134028346645,success,,,,23.459853,107,1289,382,676,1911,2141,173,4892,2582,162,4929,2985
45,624885,20260624134028346645,success,,,,27.731710,195,1268,404,370,3699,2209,142,5119,3803,232,5490,3489
46,639085,20260624134028346645,success,,,,25.259994,104,1332,392,374,1947,1873,96,4819,2485,214,5214,3040
47,653285,20260624134028346645,success,,,,25.113907,273,1239,380,347,1973,2142,128,4732,2974,191,5425,3730
48,667485,20260624134028346645,success,,,,26.985663,40,1399,394,336,3757,2465,123,5274,2977,229,5745,2996
49,681685,20260624134028346645,success,,,,27.757616,67,1298,385,351,5131,2210,114,4631,2729,249,4858,2850
50,695885,20260624134028346645,success,,,,26.349537,32,1377,398,334,3520,3071,110,4222,2991,187,6037,2821
51,710085,20260624134028346645,success,,,,28.535427,152,1318,392,1036,5221,2074,140,4336,2803,137,5908,3199
52,724285,20260624134028346645,success,,,,27.408614,227,1281,400,323,3726,1837,108,4446,2895,154,5697,3197
53,738485,20260624134028346645,success,,,,27.531367,119,1283,408,668,3820,2246,140,5076,3162,164,5428,3815
54,752685,20260624134028346645,success,,,,26.924628,34,1381,753,350,3093,1037,117,5069,2949,162,5266,2498
55,766885,20260624134028346645,success,,,,26.563803,174,1287,421,366,4069,2136,186,4822,2859,168,5170,3265
56,781085,20260624134028346645,success,,,,28.792831,151,1302,780,336,1938,2197,102,4992,2711,149,5229,4308
57,795285,20260624134028346645,success,,,,26.864003,172,1254,1343,1070,4070,2136,201,4355,2557,172,5732,2569
58,809485,20260624134028346645,success,,,,28.570703,134,1322,432,379,3696,2207,171,4359,2936,154,5305,3009
59,823685,20260624134028346645,success,,,,26.893633,155,1243,903,345,3891,2306,147,4912,2426,145,5107,3896
60,837885,20260624134028346645,success,,,,25.583101,112,1314,719,361,3664,2228,136,4621,3101,170,5630,2331
61,852085,20260624134028346645,success,,,,27.155121,71,1322,403,357,3116,2964,104,5141,2917,244,5653,2876
62,866285,20260624134028346645,success,,,,25.502337,207,1292,380,698,3714,2054,151,4601,2459,196,5823,2620
63,880485,20260624134028346645,success,,,,27.767079,143,1257,1255,799,4111,2183,153,4338,2950,181,4744,3540
64,894685,20260624134028346645,success,,,,27.191118,207,1251,423,345,2021,2178,114,4625,3051,140,5553,3105
65,908885,20260624134028346645,success,,,,27.644077,53,1328,1246,364,3694,2498,118,4769,2749,153,4770,3550
66,923085,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,9.546013,215,1300,393,880,3676,2514,180,,,,,
67,937285,20260624134028346645,success,,,,24.968234,39,1397,1040,339,1893,2484,140,4977,2833,133,4540,3760
68,951485,20260624134028346645,success,,,,24.841266,110,1342,390,742,3663,1079,119,4645,2975,228,5636,2773
69,965685,20260624134028346645,success,,,,23.983113,116,1297,375,358,4097,1055,117,4391,2423,138,4675,3198
70,979885,20260624134028346645,success,,,,29.251533,163,1286,747,321,5221,2104,115,4716,3893,175,5384,3760
71,994085,20260624134028346645,success,,,,25.356834,97,1279,775,352,1919,3204,93,5074,2508,292,4188,3711
72,1008285,20260624134028346645,success,,,,28.093917,197,1228,417,348,5266,2101,240,5309,2583,274,5213,2451
73,1022485,20260624134028346645,success,,,,26.500175,80,1305,406,366,2022,2480,197,4019,3117,142,4527,3636
74,1036685,20260624134028346645,success,,,,26.566458,102,1353,408,360,3598,2156,165,4887,2846,145,5109,3008
75,1050885,20260624134028346645,success,,,,28.499755,283,1218,1082,325,5104,2015,118,5025,2930,167,5069,3615
