ontology,b_repair,a_repair,mean,n,ci_low,ci_high
ADCAD,B2,A1,0.9787534745250526,100,0.9592612772788555,0.9982456717712497
ASSAYNODE,B2,A1,0.8568296940282096,100,0.8267712157074574,0.8868881723489619
BAO,B2,A1,0.93890703223437,100,0.9087446343572186,0.9690694301115214
BCLION,B2,A1,0.8172585962548993,100,0.7628701369041295,0.871647055605669
BCON,B2,A1,0.8555286350187005,100,0.8198798874118909,0.89117738262551
BFO,B2,A1,0.7751398742928969,100,0.7177741318626367,0.832505616723157
CKDO,B2,A1,0.9596273067423082,100,0.9443393117656512,0.9749153017189652
COPDO,B2,A1,0.733640270305503,100,0.6690299797183248,0.7982505608926813
COVID19,B2,A1,0.7537047092087373,100,0.6998759317267714,0.8075334866907032
CRO,B2,A1,0.6310651981271539,100,0.5594501952494997,0.7026802010048081
CWD,B2,A1,0.8430968899586404,100,0.8108566505469997,0.8753371293702811
CXSO,B2,A1,0.945,100,0.9138015578613781,0.9761984421386218
DCAT,B2,A1,0.7785757575757577,100,0.7073815584718265,0.8497699566796889
DCT,B2,A1,0.7909271192081496,100,0.7523925665584731,0.8294616718578262
DCTERMS,B2,A1,0.7724199296577706,100,0.7235961900849166,0.8212436692306246
DFO,B2,A1,0.7287401857737789,100,0.6645938438142149,0.7928865277333428
DISDRIV,B2,A1,0.9490676084605336,100,0.9144725878213679,0.9836626290996994
DMDSONT,B2,A1,0.5,100,0.5,0.5
DSEO,B2,A1,0.9752864859365273,100,0.9564712009667304,0.9941017709063242
FG,B2,A1,0.8607105263157895,100,0.8258791184829364,0.8955419341486426
FL8DSIP,B2,A1,0.848191124059441,100,0.813429059661751,0.8829531884571309
GB,B2,A1,0.755461260519412,100,0.7144557812243979,0.7964667398144261
GENAI,B2,A1,0.8074683610986557,100,0.7601916894548522,0.8547450327424593
HCM-D,B2,A1,0.797398825232265,100,0.7524339580118211,0.8423636924527089
HOM,B2,A1,0.7181628673783522,100,0.6789064513837906,0.7574192833729139
INFRARISK,B2,A1,0.8497257135865603,100,0.8195870157730321,0.8798644114000886
ISO19115TCC,B2,A1,0.8796439711178116,100,0.8391989545382685,0.9200889876973546
ISSVA,B2,A1,0.711734787769501,100,0.6446714960132596,0.7787980795257425
IXNO,B2,A1,0.7801741675184403,100,0.7126566897181593,0.8476916453187212
LONGCOVID,B2,A1,0.6099780879816343,100,0.57191183224033,0.6480443437229386
MCRO,B2,A1,0.7083950484301635,100,0.627084097524843,0.7897059993354841
MEDEON,B2,A1,0.6901675766731904,100,0.6131944597233925,0.7671406936229883
MLTX,B2,A1,0.8163766552916357,100,0.7494477738411089,0.8833055367421625
OA,B2,A1,0.7536249645690991,100,0.6998532935930776,0.8073966355451206
OFSMR,B2,A1,0.8890575089878304,100,0.852024710178557,0.9260903077971039
OGR,B2,A1,0.6809495534340754,100,0.6078734193067654,0.7540256875613853
PATCT,B2,A1,0.9698549689886619,100,0.9544024157688433,0.9853075222084804
PE,B2,A1,0.6653770679998381,100,0.582292616126916,0.7484615198727602
PLIO,B2,A1,0.7118344364489201,100,0.674455158587019,0.7492137143108212
PREGONTO,B2,A1,0.9489016137897822,100,0.9190553518722447,0.9787478757073197
PTRANS,B2,A1,0.9601633541188135,100,0.934869859509033,0.985456848728594
REPO,B2,A1,0.8647902655611319,100,0.8149730011902901,0.9146075299319737
SENSO,B2,A1,0.5469246031746031,100,0.4986144800136893,0.5952347263355169
SLEEP,B2,A1,0.6543494449261548,100,0.5707983070684784,0.7379005827838311
TAXRANK,B2,A1,0.9985658720080334,100,0.9981682527233529,0.9989634912927139
TESTEX,B2,A1,0.9848724448983707,100,0.967867460416109,1.0018774293806323
VIMM,B2,A1,0.8657524851024716,100,0.8249160665987503,0.9065889036061929
VRD,B2,A1,0.8572534172511574,100,0.8193695678243985,0.8951372666779164
