ontology,total_trials,success_count,success_rate,time_limit_exceeded_count,time_limit_exceeded_rate,memory_limit_exceeded_count,memory_limit_exceeded_rate
ADCAD,104,100,0.9615384615384616,0,0.0,0,0.0
ASSAYNODE,115,100,0.8695652173913043,0,0.0,14,0.12173913043478261
BAO,128,100,0.78125,0,0.0,0,0.0
BCLION,102,100,0.9803921568627451,0,0.0,0,0.0
BCON,124,100,0.8064516129032258,0,0.0,24,0.1935483870967742
BFO,100,100,1.0,0,0.0,0,0.0
CKDO,141,100,0.7092198581560284,0,0.0,41,0.2907801418439716
COPDO,101,100,0.9900990099009901,0,0.0,0,0.0
COVID19,107,100,0.9345794392523364,0,0.0,0,0.0
CRO,101,100,0.9900990099009901,0,0.0,0,0.0
CWD,107,100,0.9345794392523364,0,0.0,0,0.0
CXSO,115,100,0.8695652173913043,14,0.12173913043478261,1,0.008695652173913044
DCAT,267,100,0.37453183520599254,12,0.0449438202247191,0,0.0
DCT,108,100,0.9259259259259259,0,0.0,0,0.0
DCTERMS,134,100,0.746268656716418,0,0.0,0,0.0
DFO,107,100,0.9345794392523364,0,0.0,0,0.0
DISDRIV,137,100,0.7299270072992701,0,0.0,0,0.0
DMDSONT,124,100,0.8064516129032258,24,0.1935483870967742,0,0.0
DSEO,112,100,0.8928571428571429,0,0.0,0,0.0
FG,116,100,0.8620689655172413,0,0.0,0,0.0
FL8DSIP,181,100,0.5524861878453039,52,0.287292817679558,0,0.0
GB,100,100,1.0,0,0.0,0,0.0
GENAI,108,100,0.9259259259259259,0,0.0,0,0.0
HCM-D,138,100,0.7246376811594203,0,0.0,0,0.0
HOM,101,100,0.9900990099009901,0,0.0,1,0.009900990099009901
INFRARISK,114,100,0.8771929824561403,1,0.008771929824561403,1,0.008771929824561403
ISO19115TCC,107,100,0.9345794392523364,0,0.0,0,0.0
ISSVA,203,100,0.49261083743842365,0,0.0,99,0.4876847290640394
IXNO,123,100,0.8130081300813008,0,0.0,0,0.0
LONGCOVID,103,100,0.970873786407767,0,0.0,0,0.0
MCRO,129,100,0.7751937984496124,0,0.0,0,0.0
MEDEON,194,100,0.5154639175257731,94,0.4845360824742268,0,0.0
MLTX,144,100,0.6944444444444444,0,0.0,0,0.0
OA,114,100,0.8771929824561403,2,0.017543859649122806,0,0.0
OFSMR,172,100,0.5813953488372093,0,0.0,0,0.0
OGR,100,100,1.0,0,0.0,0,0.0
PATCT,122,100,0.819672131147541,0,0.0,3,0.02459016393442623
PE,102,100,0.9803921568627451,0,0.0,0,0.0
PLIO,212,100,0.4716981132075472,16,0.07547169811320754,0,0.0
PREGONTO,161,100,0.6211180124223602,0,0.0,0,0.0
PTRANS,123,100,0.8130081300813008,0,0.0,0,0.0
REPO,104,100,0.9615384615384616,0,0.0,0,0.0
SENSO,125,100,0.8,17,0.136,0,0.0
SLEEP,101,100,0.9900990099009901,0,0.0,0,0.0
TAXRANK,149,100,0.6711409395973155,0,0.0,0,0.0
TESTEX,134,100,0.746268656716418,0,0.0,19,0.1417910447761194
VIMM,101,100,0.9900990099009901,0,0.0,0,0.0
VRD,141,100,0.7092198581560284,0,0.0,0,0.0
bctt,104,100,0.9615384615384616,0,0.0,0,0.0
overall,6260,4900,0.7827476038338658,232,0.03706070287539936,203,0.03242811501597444
