ontology,repair_id,succeeded,failed,not_reached,success_rate
ADCAD,A1,104,0,0,1.0
ADCAD,A2,104,0,0,1.0
ADCAD,A3,103,1,0,0.9903846153846154
ADCAD,B2,102,1,1,0.9902912621359223
ADCAD,B3,101,1,2,0.9901960784313726
ADCAD,B4,101,0,3,1.0
ADCAD,B5,101,0,3,1.0
ADCAD,B6,101,0,3,1.0
ADCAD,B7,100,1,3,0.9900990099009901
ADCAD,B8,100,0,4,1.0
ADCAD,B9,100,0,4,1.0
ASSAYNODE,A1,101,0,0,1.0
ASSAYNODE,A2,101,0,0,1.0
ASSAYNODE,A3,100,1,0,0.9900990099009901
ASSAYNODE,B2,100,0,1,1.0
ASSAYNODE,B3,100,0,1,1.0
ASSAYNODE,B4,100,0,1,1.0
ASSAYNODE,B5,100,0,1,1.0
ASSAYNODE,B6,100,0,1,1.0
ASSAYNODE,B7,100,0,1,1.0
ASSAYNODE,B8,100,0,1,1.0
ASSAYNODE,B9,100,0,1,1.0
BAO,A1,127,0,0,1.0
BAO,A2,127,0,0,1.0
BAO,A3,126,1,0,0.9921259842519685
BAO,B2,126,0,1,1.0
BAO,B3,126,0,1,1.0
BAO,B4,109,17,1,0.8650793650793651
BAO,B5,109,0,18,1.0
BAO,B6,109,0,18,1.0
BAO,B7,100,9,18,0.9174311926605505
BAO,B8,100,0,27,1.0
BAO,B9,100,0,27,1.0
BCLION,A1,102,0,0,1.0
BCLION,A2,102,0,0,1.0
BCLION,A3,102,0,0,1.0
BCLION,B2,102,0,0,1.0
BCLION,B3,102,0,0,1.0
BCLION,B4,101,1,0,0.9901960784313726
BCLION,B5,101,0,1,1.0
BCLION,B6,101,0,1,1.0
BCLION,B7,100,1,1,0.9900990099009901
BCLION,B8,100,0,2,1.0
BCLION,B9,100,0,2,1.0
BCON,A1,100,0,0,1.0
BCON,A2,100,0,0,1.0
BCON,A3,100,0,0,1.0
BCON,B2,100,0,0,1.0
BCON,B3,100,0,0,1.0
BCON,B4,100,0,0,1.0
BCON,B5,100,0,0,1.0
BCON,B6,100,0,0,1.0
BCON,B7,100,0,0,1.0
BCON,B8,100,0,0,1.0
BCON,B9,100,0,0,1.0
BFO,A1,100,0,0,1.0
BFO,A2,100,0,0,1.0
BFO,A3,100,0,0,1.0
BFO,B2,100,0,0,1.0
BFO,B3,100,0,0,1.0
BFO,B4,100,0,0,1.0
BFO,B5,100,0,0,1.0
BFO,B6,100,0,0,1.0
BFO,B7,100,0,0,1.0
BFO,B8,100,0,0,1.0
BFO,B9,100,0,0,1.0
CKDO,A1,100,0,0,1.0
CKDO,A2,100,0,0,1.0
CKDO,A3,100,0,0,1.0
CKDO,B2,100,0,0,1.0
CKDO,B3,100,0,0,1.0
CKDO,B4,100,0,0,1.0
CKDO,B5,100,0,0,1.0
CKDO,B6,100,0,0,1.0
CKDO,B7,100,0,0,1.0
CKDO,B8,100,0,0,1.0
CKDO,B9,100,0,0,1.0
COPDO,A1,101,0,0,1.0
COPDO,A2,101,0,0,1.0
COPDO,A3,100,1,0,0.9900990099009901
COPDO,B2,100,0,1,1.0
COPDO,B3,100,0,1,1.0
COPDO,B4,100,0,1,1.0
COPDO,B5,100,0,1,1.0
COPDO,B6,100,0,1,1.0
COPDO,B7,100,0,1,1.0
COPDO,B8,100,0,1,1.0
COPDO,B9,100,0,1,1.0
COVID19,A1,105,0,0,1.0
COVID19,A2,105,0,0,1.0
COVID19,A3,105,0,0,1.0
COVID19,B2,105,0,0,1.0
COVID19,B3,105,0,0,1.0
COVID19,B4,104,1,0,0.9904761904761905
COVID19,B5,104,0,1,1.0
COVID19,B6,104,0,1,1.0
COVID19,B7,100,4,1,0.9615384615384616
COVID19,B8,100,0,5,1.0
COVID19,B9,100,0,5,1.0
CRO,A1,101,0,0,1.0
CRO,A2,101,0,0,1.0
CRO,A3,101,0,0,1.0
CRO,B2,101,0,0,1.0
CRO,B3,101,0,0,1.0
CRO,B4,100,1,0,0.9900990099009901
CRO,B5,100,0,1,1.0
CRO,B6,100,0,1,1.0
CRO,B7,100,0,1,1.0
CRO,B8,100,0,1,1.0
CRO,B9,100,0,1,1.0
CWD,A1,106,0,0,1.0
