ontology,repair_id,mean_ms,n
ADCAD,A1,170.81,100
ADCAD,A2,882.69,100
ADCAD,A3,546.64,100
ADCAD,B2,2512.3,100
ADCAD,B3,1749.46,100
ADCAD,B4,73.09,100
ADCAD,B5,2276.59,100
ADCAD,B6,1435.0,100
ADCAD,B7,109.81,100
ADCAD,B8,2476.92,100
ADCAD,B9,1788.42,100
ASSAYNODE,A1,162.43,100
ASSAYNODE,A2,5279.9,100
ASSAYNODE,A3,685.21,100
ASSAYNODE,B2,3564.11,100
ASSAYNODE,B3,2285.95,100
ASSAYNODE,B4,314.27,100
ASSAYNODE,B5,8396.61,100
ASSAYNODE,B6,5802.07,100
ASSAYNODE,B7,338.33,100
ASSAYNODE,B8,8839.07,100
ASSAYNODE,B9,6060.81,100
BAO,A1,97.4,100
BAO,A2,1500.86,100
BAO,A3,414.79,100
BAO,B2,2299.16,100
BAO,B3,1388.97,100
BAO,B4,102.56,100
BAO,B5,1274.21,100
BAO,B6,812.11,100
BAO,B7,100.85,100
BAO,B8,1278.89,100
BAO,B9,718.9,100
BCLION,A1,119.97,100
BCLION,A2,2952.55,100
BCLION,A3,355.18,100
BCLION,B2,1925.05,100
BCLION,B3,1141.24,100
BCLION,B4,84.24,100
BCLION,B5,1669.97,100
BCLION,B6,961.55,100
BCLION,B7,106.94,100
BCLION,B8,1758.25,100
BCLION,B9,1175.73,100
BCON,A1,298.16,100
BCON,A2,38867.35,100
BCON,A3,1236.22,100
BCON,B2,7679.64,100
BCON,B3,4584.11,100
BCON,B4,242.46,100
BCON,B5,6085.28,100
BCON,B6,3707.15,100
BCON,B7,384.47,100
BCON,B8,7065.67,100
BCON,B9,4177.03,100
BFO,A1,76.82,100
BFO,A2,1327.26,100
BFO,A3,402.58,100
BFO,B2,2079.68,100
BFO,B3,1028.8,100
BFO,B4,203.29,100
BFO,B5,2143.3,100
BFO,B6,1304.9,100
BFO,B7,217.63,100
BFO,B8,2304.52,100
BFO,B9,1416.16,100
CKDO,A1,378.1,100
CKDO,A2,77806.08,100
CKDO,A3,1342.24,100
CKDO,B2,7407.1,100
CKDO,B3,4713.76,100
CKDO,B4,307.3,100
CKDO,B5,2550.21,100
CKDO,B6,1735.22,100
CKDO,B7,442.19,100
CKDO,B8,3770.69,100
CKDO,B9,2306.36,100
COPDO,A1,149.68,100
COPDO,A2,9109.12,100
COPDO,A3,638.7,100
COPDO,B2,4562.1,100
COPDO,B3,3012.05,100
COPDO,B4,105.84,100
COPDO,B5,3714.02,100
COPDO,B6,2096.97,100
COPDO,B7,161.94,100
COPDO,B8,4109.98,100
COPDO,B9,2642.27,100
COVID19,A1,63.95,100
COVID19,A2,268.33,100
COVID19,A3,248.54,100
COVID19,B2,902.64,100
COVID19,B3,443.83,100
COVID19,B4,32.41,100
COVID19,B5,294.61,100
COVID19,B6,193.35,100
COVID19,B7,40.31,100
COVID19,B8,314.44,100
COVID19,B9,224.94,100
CRO,A1,95.91,100
CRO,A2,6135.17,100
CRO,A3,589.24,100
CRO,B2,3868.07,100
CRO,B3,2161.07,100
CRO,B4,95.7,100
CRO,B5,1667.6,100
CRO,B6,993.58,100
CRO,B7,142.56,100
CRO,B8,1667.46,100
CRO,B9,1054.8,100
CWD,A1,96.97,100
CWD,A2,1175.69,100
CWD,A3,451.36,100
CWD,B2,2478.23,100
CWD,B3,1122.93,100
CWD,B4,55.18,100
CWD,B5,2680.29,100
CWD,B6,1607.69,100
CWD,B7,77.89,100
CWD,B8,2637.59,100
CWD,B9,1683.84,100
CXSO,A1,135.15,100
CXSO,A2,569.26,100
CXSO,A3,346.02,100
CXSO,B2,7085.42,100
CXSO,B3,3919.42,100
CXSO,B4,272.87,100
CXSO,B5,22324.61,100
CXSO,B6,12908.56,100
CXSO,B7,295.86,100
CXSO,B8,22745.16,100
CXSO,B9,13487.66,100
DCAT,A1,67.54,100
DCAT,A2,157.88,100
DCAT,A3,515.16,100
DCAT,B2,2990.45,100
DCAT,B3,1734.3,100
DCAT,B4,337.81,100
DCAT,B5,6046.14,100
DCAT,B6,5007.75,100
DCAT,B7,554.42,100
DCAT,B8,6224.99,100
DCAT,B9,5200.75,100
DCT,A1,38.5,100
DCT,A2,105.46,100
DCT,A3,221.92,100
DCT,B2,552.42,100
DCT,B3,299.88,100
DCT,B4,29.5,100
DCT,B5,212.61,100
DCT,B6,143.63,100
DCT,B7,25.69,100
DCT,B8,189.79,100
DCT,B9,143.7,100
DCTERMS,A1,40.6,100
DCTERMS,A2,194.65,100
DCTERMS,A3,246.04,100
DCTERMS,B2,649.7,100
DCTERMS,B3,364.32,100
DCTERMS,B4,34.23,100
DCTERMS,B5,231.36,100
DCTERMS,B6,144.4,100
DCTERMS,B7,37.86,100
DCTERMS,B8,207.87,100
DCTERMS,B9,132.77,100
DFO,A1,47.51,100
DFO,A2,154.76,100
DFO,A3,233.62,100
DFO,B2,754.32,100
DFO,B3,378.49,100
DFO,B4,23.26,100
DFO,B5,330.64,100
DFO,B6,221.91,100
DFO,B7,26.03,100
DFO,B8,282.44,100
DFO,B9,220.24,100
DISDRIV,A1,210.1,100
DISDRIV,A2,13828.97,100
DISDRIV,A3,566.14,100
DISDRIV,B2,5078.48,100
DISDRIV,B3,3031.13,100
DISDRIV,B4,92.1,100
DISDRIV,B5,3889.03,100
